date,hour,fr_mw,pt_mw,eufr_mw,fr_import_ntc_mw,fr_export_ntc_mw,pt_import_ntc_mw,pt_export_ntc_mw,price_es,price_fr,price_pt,price_eu
2024-08-20,0,3907.7,-694.0,-20200.0,3907.7,4807.8,7251.2,7279.8,15.91,15.41,16.41,50.56
2024-08-20,1,3906.3,-308.0,-20200.0,3906.3,4800.8,7248.4,7279.9,15.91,15.41,16.41,50.56
2024-08-20,2,3729.9,-1015.1,-20200.0,3901.7,4796.4,7246.5,7279.9,15.91,15.41,16.41,50.56
2024-08-20,3,2362.8,-747.4,-20200.0,3900.5,4794.6,7245.7,7280.0,15.91,15.41,16.41,50.56
2024-08-20,4,3612.2,-693.0,-20200.0,3901.8,4796.9,7246.7,7279.9,15.91,15.41,16.41,50.56
2024-08-20,5,295.3,-352.9,-20200.0,3903.6,4798.6,7247.4,7279.9,15.91,15.41,16.41,50.56
2024-08-20,6,3908.4,-1395.6,-20200.0,3908.4,4806.3,7250.9,7279.6,15.91,15.41,16.41,50.56
2024-08-20,7,3876.2,-171.6,-20200.0,3876.2,4824.2,7262.7,7275.9,15.91,15.41,16.41,50.56
2024-08-20,8,319.8,-1139.5,-8785.3,3796.9,4843.7,7271.2,7275.1,15.91,15.41,16.41,15.91
2024-08-20,9,-4853.1,209.3,0.0,3784.2,4853.1,7272.1,7275.7,11.94,15.41,11.44,15.41
2024-08-20,10,-4858.9,0.0,0.0,3812.7,4858.9,7273.1,7276.0,0.18,15.41,0.0,15.41
2024-08-20,11,-4864.0,0.0,0.0,3797.3,4864.0,7273.3,7276.7,0.18,15.41,0.0,15.41
2024-08-20,12,-4864.0,0.0,0.0,3815.5,4864.0,7271.6,7278.3,0.0,15.41,0.0,15.41
2024-08-20,13,-4860.0,0.0,0.0,3832.0,4860.0,7269.8,7279.3,0.0,15.41,0.0,15.41
2024-08-20,14,-4855.9,0.0,-18346.4,3838.7,4855.9,7268.6,7279.4,0.0,15.41,0.0,15.91
2024-08-20,15,-4853.3,0.0,-20200.0,3827.3,4853.3,7268.0,7279.4,0.18,15.41,0.0,50.56
2024-08-20,16,-4850.7,-1240.2,-20200.0,3827.1,4850.7,7267.3,7279.4,0.18,15.41,0.68,50.56
2024-08-20,17,-4848.0,-3038.0,-20200.0,3788.0,4848.0,7266.6,7279.4,11.94,15.41,12.44,50.56
2024-08-20,18,367.6,-5032.8,-20200.0,3857.9,4845.1,7265.3,7279.4,15.91,15.41,16.41,50.56
2024-08-20,19,2886.1,-539.2,-20200.0,3871.8,4853.3,7271.5,7274.5,15.91,15.41,16.41,50.56
2024-08-20,20,2862.1,-914.4,-20200.0,3869.5,4846.7,7266.7,7277.3,15.91,15.41,16.41,50.56
2024-08-20,21,2760.1,-1398.1,-20200.0,3872.7,4833.0,7259.8,7279.6,15.91,15.41,16.41,50.56
2024-08-20,22,2695.2,-380.5,-20200.0,3872.8,4819.9,7255.3,7279.7,15.91,15.41,16.41,50.56
2024-08-20,23,3909.9,-852.2,-20200.0,3909.9,4807.4,7250.7,7279.8,15.91,15.41,16.41,50.56
2024-08-21,0,0.0,0.0,-20200.0,3904.4,4795.6,7246.0,7280.0,15.41,15.41,15.91,15.91
2024-08-21,1,0.0,0.0,0.0,3919.6,4788.2,7242.7,7280.0,15.41,15.41,15.91,15.91
2024-08-21,2,0.0,0.0,-20200.0,3926.8,4784.9,7241.3,7280.1,15.41,15.41,15.91,15.91
2024-08-21,3,0.0,0.0,-20200.0,3930.3,4783.9,7240.9,7280.1,15.41,15.41,15.91,15.91
2024-08-21,4,0.0,-704.9,0.0,3929.0,4784.8,7241.3,7280.1,15.41,15.41,15.91,15.91
2024-08-21,5,0.0,-250.4,-2548.0,3934.5,4781.8,7240.0,7280.1,15.41,15.41,15.91,15.91
2024-08-21,6,0.0,0.0,0.0,3929.8,4783.3,7240.6,7280.1,15.41,15.41,15.91,15.91
2024-08-21,7,0.0,0.0,-442.5,3942.0,4796.5,7247.7,7280.0,15.41,15.41,15.91,15.91
2024-08-21,8,-4811.3,-1354.1,0.0,3829.0,4811.3,7255.7,7279.9,11.56,15.41,12.06,15.41
2024-08-21,9,-4823.5,-567.2,9931.4,3859.1,4823.5,7261.3,7279.8,0.18,15.41,0.68,14.91
2024-08-21,10,-4830.0,-122.1,1768.9,3860.8,4830.0,7264.3,7279.7,0.0,15.41,0.5,14.91
2024-08-21,11,-4837.3,-40.6,11036.2,3860.6,4837.3,7266.1,7279.6,0.0,15.41,0.5,14.91
2024-08-21,12,-4840.3,-129.9,2549.2,3890.1,4840.3,7266.7,7279.6,0.0,15.41,0.5,14.91
2024-08-21,13,-4836.6,-452.4,0.0,3897.9,4836.6,7265.9,7279.6,0.0,15.41,0.5,15.41
2024-08-21,14,-4833.2,-1150.4,0.0,3900.3,4833.2,7265.0,7279.7,0.0,15.41,0.5,15.91
2024-08-21,15,-4830.4,-2188.4,-671.5,3867.9,4830.4,7264.1,7279.7,0.0,15.41,0.5,15.91
2024-08-21,16,-4828.6,-3609.5,-20200.0,3862.4,4828.6,7263.4,7279.7,0.18,15.41,0.68,50.56
2024-08-21,17,-4829.0,-5302.2,-20200.0,3826.2,4829.0,7262.8,7279.7,11.56,15.41,12.06,63.95
2024-08-21,18,0.0,-1044.9,-20200.0,3867.9,4829.6,7261.3,7279.6,15.41,15.41,15.91,63.95
2024-08-21,19,-282.6,-1114.4,-20200.0,3886.5,4844.4,7268.6,7275.4,15.41,15.91,15.91,63.95
2024-08-21,20,-850.4,-975.1,-20200.0,3882.6,4844.7,7267.7,7276.2,15.41,15.91,15.91,58.69
2024-08-21,21,-781.7,-1615.2,-20200.0,3872.5,4832.5,7260.7,7278.9,15.41,15.91,15.91,50.56
2024-08-21,22,0.0,0.0,-20200.0,3882.7,4817.2,7254.4,7279.7,15.41,15.91,15.91,49.84
2024-08-21,23,0.0,0.0,-17901.6,3906.8,4803.5,7249.2,7279.9,15.41,15.91,15.91,16.41
2024-08-22,0,3904.5,-1779.3,-20200.0,3904.5,4794.3,7245.4,7280.0,114.76,63.45,115.26,63.95
2024-08-22,1,3912.3,-1225.5,-20200.0,3912.3,4790.0,7243.6,7280.0,114.76,63.45,115.26,63.95
2024-08-22,2,3917.7,-723.0,-20200.0,3917.7,4786.8,7242.2,7280.0,114.76,63.45,115.26,63.95
2024-08-22,3,3910.8,0.0,-5704.5,3910.8,4789.1,7243.3,7280.0,115.26,63.45,115.26,63.95
2024-08-22,4,3909.5,0.0,-6057.6,3909.5,4803.4,7251.4,7278.4,115.26,63.45,115.26,63.95
2024-08-22,5,3867.0,0.0,-18236.2,3867.0,4817.5,7262.0,7274.0,115.26,63.45,115.26,63.95
2024-08-22,6,3899.0,0.0,-20200.0,3899.0,4833.1,7272.1,7271.6,115.26,63.45,115.26,63.95
2024-08-22,7,3831.5,0.0,-20200.0,3831.5,4852.9,7284.5,7266.8,115.26,63.45,115.26,63.95
2024-08-22,8,3774.5,0.0,-20200.0,3774.5,4864.2,7285.3,7265.0,115.26,63.45,115.26,63.95
2024-08-22,9,3691.3,-2335.3,-9861.6,3691.3,4873.3,7285.4,7264.3,86.46,58.19,86.96,58.69
2024-08-22,10,-1150.7,-2211.4,-6102.8,3723.0,4881.3,7285.5,7263.9,49.56,50.06,50.06,50.56
2024-08-22,11,-4887.4,-1655.5,0.0,3766.8,4887.4,7285.6,7264.1,0.18,50.06,0.68,50.56
2024-08-22,12,-4886.5,-1502.0,0.0,3780.2,4886.5,7285.5,7265.4,0.0,50.06,0.5,50.56
2024-08-22,13,-4883.0,-1968.2,-11511.5,3793.3,4883.0,7285.4,7267.2,0.0,50.06,0.5,50.56
2024-08-22,14,-4881.3,-2793.3,-20200.0,3788.6,4881.3,7285.4,7267.0,0.18,63.45,0.68,63.95
2024-08-22,15,-4879.4,-3449.5,-20200.0,3764.2,4879.4,7285.4,7266.2,50.56,63.45,51.06,63.95
2024-08-22,16,2983.1,-4482.9,-20200.0,3714.1,4875.2,7285.4,7265.2,63.95,63.45,64.45,63.95
2024-08-22,17,3669.5,-4620.9,-20200.0,3669.5,4869.4,7285.3,7264.9,114.76,63.45,115.26,63.95
2024-08-22,18,3786.3,0.0,-20200.0,3786.3,4864.3,7285.3,7265.5,115.26,63.45,115.26,63.95
2024-08-22,19,3857.7,0.0,-16697.7,3857.7,4867.2,7285.4,7268.4,115.26,63.45,115.26,63.95
2024-08-22,20,3908.3,0.0,-20200.0,3908.3,4861.2,7285.1,7268.9,115.26,63.45,115.26,63.95
2024-08-22,21,3875.8,0.0,-20200.0,3875.8,4845.4,7275.7,7270.3,115.26,63.45,115.26,63.95
2024-08-22,22,3883.1,0.0,-20200.0,3883.1,4829.8,7267.8,7272.5,115.26,50.56,115.26,63.95
2024-08-22,23,3869.5,0.0,-20200.0,3869.5,4817.3,7258.5,7276.6,115.26,50.56,115.26,63.95
2024-08-23,0,3907.1,-722.0,-20200.0,3907.1,4808.6,7251.5,7279.8,114.76,15.41,115.26,63.95
2024-08-23,1,3908.0,-1444.6,-20200.0,3908.0,4803.4,7249.3,7279.9,114.76,15.41,115.26,63.95
2024-08-23,2,3905.4,-302.6,-20200.0,3905.4,4800.8,7248.3,7279.9,114.76,15.41,115.26,63.95
2024-08-23,3,3906.9,-329.7,-20200.0,3906.9,4801.7,7248.7,7279.9,114.76,15.41,115.26,63.95
2024-08-23,4,3888.4,-1273.0,-20200.0,3888.4,4812.8,7256.0,7277.4,114.76,50.56,115.26,63.95
2024-08-23,5,3872.7,-732.4,-20200.0,3872.7,4825.3,7265.3,7273.2,114.76,50.56,115.26,63.95
2024-08-23,6,3872.2,0.0,-20200.0,3872.2,4839.8,7275.2,7270.9,115.26,50.56,115.26,63.95
2024-08-23,7,3842.1,0.0,-20200.0,3842.1,4856.8,7285.2,7266.1,115.26,50.56,115.26,63.95
2024-08-23,8,3758.4,-4266.0,-20200.0,3758.4,4867.2,7285.3,7264.1,114.76,50.56,115.26,63.95
2024-08-23,9,3716.7,-3042.2,-20200.0,3716.7,4877.0,7285.4,7263.7,86.08,50.56,86.58,58.69
2024-08-23,10,-2381.3,-2464.2,-20200.0,3711.2,4884.8,7285.5,7264.0,50.06,50.56,50.56,58.69
2024-08-23,11,-4890.9,-2218.6,-20200.0,3767.9,4890.9,7285.6,7264.5,0.18,50.56,0.68,58.69
2024-08-23,12,-4890.0,-1958.3,-20200.0,3780.2,4890.0,7285.5,7266.8,0.0,50.56,0.5,58.69
2024-08-23,13,-4887.1,-2480.0,-20200.0,3790.7,4887.1,7285.1,7269.1,0.0,50.56,0.5,58.69
2024-08-23,14,-4886.8,-3214.8,-20200.0,3782.5,4886.8,7284.4,7269.3,0.18,50.56,0.68,63.95
2024-08-23,15,-4885.7,-4265.2,-20200.0,3759.5,4885.7,7284.3,7268.8,0.18,50.56,0.68,63.95
2024-08-23,16,-1285.2,-4617.1,-20200.0,3701.7,4882.3,7284.2,7268.1,58.69,59.19,59.19,63.95
2024-08-23,17,3675.3,-5644.2,-13397.2,3675.3,4876.0,7282.8,7268.2,86.08,63.45,86.58,63.95
2024-08-23,18,3770.9,-742.6,-20200.0,3770.9,4870.7,7282.1,7268.7,114.76,63.45,115.26,63.95
2024-08-23,19,3890.9,0.0,-19352.7,3890.9,4875.2,7285.4,7266.4,114.76,63.45,115.26,63.95
2024-08-23,20,3920.7,0.0,0.0,3920.7,4866.1,7279.4,7270.0,114.76,63.45,115.26,63.95
2024-08-23,21,3878.1,0.0,0.0,3878.1,4850.8,7270.9,7274.6,114.76,63.45,115.26,63.95
2024-08-23,22,3884.1,-1165.7,-20200.0,3884.1,4836.2,7262.4,7278.5,114.76,63.45,115.26,63.95
2024-08-23,23,3869.7,-1848.6,-20200.0,3869.7,4821.3,7255.7,7279.7,114.76,63.45,115.26,63.95
2024-08-24,0,3906.9,-3699.4,-19218.2,3906.9,4811.5,7252.1,7279.8,83.93,63.45,84.43,63.95
2024-08-24,1,3909.2,-3269.6,-5262.8,3909.2,4806.0,7250.2,7279.8,83.93,63.45,84.43,63.95
2024-08-24,2,3907.2,-3019.4,0.0,3907.2,4803.8,7249.4,7279.9,83.93,63.45,84.43,63.95
2024-08-24,3,3907.8,-3308.3,-19656.8,3907.8,4803.9,7249.4,7279.9,83.93,63.45,84.43,63.95
2024-08-24,4,3882.9,-661.4,-408.9,3882.9,4815.2,7255.5,7278.4,83.93,63.45,84.43,63.95
2024-08-24,5,3872.6,-1976.6,-20200.0,3872.6,4827.8,7264.1,7274.8,83.93,63.45,84.43,63.95
