date,hour,country,bus_id,da_share_mw,redispatch_mw,delta_mw,lower_bound_mw,upper_bound_mw
2024-08-20,0,PT,ES00277,-492.425,-492.315,0.11,-11439.849,0.0
2024-08-20,0,FR,ES00859,2342.883,2337.765,-5.118,0.0,4629.981
2024-08-20,0,PT,ES00813,-16.927,-16.872,0.055,-393.245,0.0
2024-08-20,0,PT,ES01092,-61.553,-61.617,-0.064,-1429.981,0.0
2024-08-20,0,PT,ES00817,-61.553,-61.595,-0.042,-1429.981,0.0
2024-08-20,0,FR,ES00742,203.514,206.638,3.124,0.0,402.182
2024-08-20,0,FR,ES01126,1157.768,1158.736,0.968,0.0,2287.97
2024-08-20,0,FR,ES00981,203.514,204.541,1.027,0.0,402.182
2024-08-20,0,PT,ES00818,-61.553,-61.613,-0.06,-1429.981,0.0
2024-08-20,1,PT,ES00277,-218.556,-218.267,0.289,-11439.849,0.0
2024-08-20,1,FR,ES00859,2342.048,2328.588,-13.459,0.0,4629.981
2024-08-20,1,PT,ES00813,-7.513,-7.367,0.146,-393.245,0.0
2024-08-20,1,PT,ES01092,-27.319,-27.487,-0.168,-1429.981,0.0
2024-08-20,1,PT,ES00817,-27.319,-27.43,-0.11,-1429.981,0.0
2024-08-20,1,FR,ES00742,203.441,211.657,8.215,0.0,402.182
2024-08-20,1,FR,ES01126,1157.355,1159.9,2.544,0.0,2287.97
2024-08-20,1,FR,ES00981,203.441,206.141,2.7,0.0,402.182
2024-08-20,1,PT,ES00818,-27.319,-27.476,-0.157,-1429.981,0.0
2024-08-20,2,PT,ES00277,-720.244,-720.244,0.0,-11439.849,0.0
2024-08-20,2,FR,ES00859,2236.28,2236.28,-0.0,0.0,4629.981
2024-08-20,2,PT,ES00813,-24.758,-24.758,-0.0,-393.245,0.0
2024-08-20,2,PT,ES01092,-90.03,-90.03,0.0,-1429.981,0.0
2024-08-20,2,PT,ES00817,-90.03,-90.03,0.0,-1429.981,0.0
2024-08-20,2,FR,ES00742,194.254,194.254,0.0,0.0,402.182
2024-08-20,2,FR,ES01126,1105.089,1105.089,0.0,0.0,2287.97
2024-08-20,2,FR,ES00981,194.254,194.254,0.0,0.0,402.182
2024-08-20,2,PT,ES00818,-90.03,-90.03,0.0,-1429.981,0.0
2024-08-20,3,PT,ES00277,-530.326,-530.326,0.0,-11439.849,0.0
2024-08-20,3,FR,ES00859,1416.634,1416.634,-0.0,0.0,4629.981
2024-08-20,3,PT,ES00813,-18.23,-18.23,-0.0,-393.245,0.0
2024-08-20,3,PT,ES01092,-66.291,-66.291,0.0,-1429.981,0.0
