line_id,factor
LTGES1367,2.784
LTGES1433,2.784
LTGES1368,2.784
LTGES1369,2.584
TR_24f95bfa,2.44
TR_14c8e677,1.848
LTGES0017,1.728
LTGES1190,1.696
LTGES1342,1.584
LTGES0645,1.552
LTGES0617,1.544
LTGES0304,1.496
LTGES0024,1.4
TR_df0161bf,1.368
TR_65a15878,1.344
LTGES0967,1.28
LTGES0134,1.272
TR_871b5827,1.272
TR_1567d725,1.272
LTGES0460,1.264
LTGES1340,1.248
LTGES0779,1.232
LTGES0808,1.216
TR_2ba8192a,1.216
LTGES0809,1.208
LTGES1328,1.192
LTGES0807,1.192
TR_b592de8e,1.184
LTGES0790,1.176
LTGES0666,1.176
LTGES0804,1.168
TR_59f3a3c3,1.144
LTGES0348,1.144
LTGES1186,1.12
TR_65fab876,1.104
LTGES1000,1.096
LTGES0441,1.056
LTGES0992,1.056
LTGES1133,1.048
LTGES0829,1.048
LTGES1374,1.048
LTGES0426,1.048
LTGES0814,1.04
LTGES0333,1.032
TR_ad3ea85c,1.032
TR_a4e0ba25,1.016
LTGES0970,1.0
LTGES0969,1.0
TR_cc6607e7,0.96
LTGES0109,0.936
TR_cdc06a8b,0.936
LTGES1134,0.928
LTGES1416,0.928
TR_4cb0b32d,0.928
LTGES0315,0.928
TR_10cbc112,0.92
TR_71f49079,0.92
LTGES0941,0.92
LTGES0343,0.92
LTGES0313,0.92
LTGES1022,0.92
LTGES0070,0.912
LTGES1254,0.912
LTGES0314,0.904
TR_023fe59e,0.88
LTGES0596,0.88
TR_5b9e4f80,0.872
LTGES0077,0.864
LTGES0542b,0.856
LTGES0542a,0.856
LTGES1298,0.848
LTGES0158,0.848
LTGES0722,0.84
TR_fa1d5cde,0.84
TR_519b8abe,0.84
LTGES1024,0.84
LTGES1002,0.824
LTGES1099,0.808
LTGES1100,0.808
TR_4422f4c8,0.808
