date,hour,status,objective_eur_h,total_gen_mw,total_load_mw,load_shed_mw,mismatch_mw
2024-08-20,0,OPTIMAL,213797.99,28561.4,28561.4,0.0,0.0
2024-08-20,1,OPTIMAL,219881.42,27467.3,27467.3,0.0,0.0
2024-08-20,2,OPTIMAL,216858.87,26805.4,26805.4,0.0,-0.0
2024-08-20,3,OPTIMAL,213160.25,26458.0,26458.0,0.0,-0.0
2024-08-20,4,OPTIMAL,218046.8,26330.5,26330.5,0.0,0.0
2024-08-20,5,OPTIMAL,215978.74,26847.6,26847.6,0.0,-0.0
2024-08-20,6,OPTIMAL,218443.23,28114.5,28114.5,0.0,-0.0
2024-08-20,7,OPTIMAL,350418.14,30159.7,30159.7,0.0,-0.0
2024-08-20,8,OPTIMAL,215297.61,32559.9,32559.9,0.0,-0.0
2024-08-20,9,OPTIMAL,196640.02,33290.9,33290.9,0.0,0.0
2024-08-20,10,OPTIMAL,194273.78,33639.9,33639.9,0.0,0.01
2024-08-20,11,OPTIMAL,116840.82,34990.7,34990.7,0.0,0.0
2024-08-20,12,OPTIMAL,116171.21,34741.7,34741.7,0.0,0.0
2024-08-20,13,OPTIMAL,115895.09,33822.3,33822.3,0.0,0.0
2024-08-20,14,OPTIMAL,115947.44,33230.7,33230.7,0.0,0.0
2024-08-20,15,OPTIMAL,116866.7,32667.2,32667.2,0.0,0.0
2024-08-20,16,OPTIMAL,118058.92,32639.4,32639.4,0.0,0.0
2024-08-20,17,OPTIMAL,180113.15,32687.1,32687.1,0.0,0.0
2024-08-20,18,OPTIMAL,212722.86,32844.2,32844.2,0.0,0.0
2024-08-20,19,OPTIMAL,213366.09,34225.6,34225.6,0.0,0.0
2024-08-20,20,OPTIMAL,213144.05,33474.6,33474.6,0.0,-0.0
2024-08-20,21,OPTIMAL,212259.06,31259.0,31259.0,0.0,-0.0
2024-08-20,22,OPTIMAL,188009.33,29207.5,29207.5,0.0,-0.0
2024-08-20,23,OPTIMAL,212778.39,28092.6,28092.6,0.0,0.0
2024-08-21,0,OPTIMAL,143632.37,26304.1,26304.1,0.0,-0.0
2024-08-21,1,OPTIMAL,156560.0,25115.1,25115.1,0.0,-0.0
2024-08-21,2,OPTIMAL,153410.7,24640.7,24640.7,0.0,-0.0
2024-08-21,3,OPTIMAL,150342.33,24519.5,24519.5,0.0,-0.0
2024-08-21,4,OPTIMAL,143953.81,24236.6,24236.6,0.0,-0.0
2024-08-21,5,OPTIMAL,143220.75,24080.5,24080.5,0.0,0.0
2024-08-21,6,OPTIMAL,156592.95,24482.3,24482.3,0.0,0.0
2024-08-21,7,OPTIMAL,167208.5,26024.3,26024.3,0.0,-0.0
2024-08-21,8,OPTIMAL,135011.02,27131.9,27131.9,0.0,-0.0
2024-08-21,9,OPTIMAL,117998.28,28519.3,28519.3,0.0,-0.0
2024-08-21,10,OPTIMAL,116347.36,29361.2,29361.2,0.0,0.0
2024-08-21,11,OPTIMAL,115881.56,30022.8,30022.8,0.0,-0.0
2024-08-21,12,OPTIMAL,115884.23,30659.4,30659.4,0.0,-0.0
2024-08-21,13,OPTIMAL,115883.46,30166.9,30166.9,0.0,-0.0
2024-08-21,14,LOCALLY_SOLVED,115887.18,29282.9,29282.9,0.0,0.0
2024-08-21,15,OPTIMAL,116116.23,28968.8,28968.3,0.0,0.46
2024-08-21,16,LOCALLY_SOLVED,117795.7,29005.0,29004.5,0.0,0.56
2024-08-21,17,OPTIMAL,126224.4,29285.5,29285.5,0.0,0.0
2024-08-21,18,OPTIMAL,139434.71,29915.8,29915.8,0.0,0.0
2024-08-21,19,OPTIMAL,167441.91,32519.5,32519.5,0.0,0.0
2024-08-21,20,OPTIMAL,198501.83,32684.8,32684.8,0.0,0.0
2024-08-21,21,OPTIMAL,195040.33,30973.4,30973.4,0.0,0.0
2024-08-21,22,OPTIMAL,304077.27,29040.8,29040.8,0.0,-0.0
2024-08-21,23,OPTIMAL,191062.04,27291.7,27291.7,0.0,0.01
2024-08-22,0,OPTIMAL,369945.27,26069.4,26069.4,0.0,-0.0
2024-08-22,1,OPTIMAL,388008.22,25625.6,25625.6,0.0,-0.0
2024-08-22,2,OPTIMAL,330509.29,25152.6,25152.6,0.0,-0.0
2024-08-22,3,OPTIMAL,244861.86,25429.6,25429.6,0.0,-0.0
2024-08-22,4,OPTIMAL,210562.52,27189.6,27189.6,0.0,-0.0
2024-08-22,5,OPTIMAL,213237.19,29729.1,29729.1,0.0,-0.0
2024-08-22,6,OPTIMAL,215118.73,31856.3,31856.3,0.0,-0.0
2024-08-22,7,OPTIMAL,220456.0,34599.5,34599.5,0.0,0.0
2024-08-22,8,OPTIMAL,225582.83,36672.3,36672.3,0.0,0.0
2024-08-22,9,OPTIMAL,210223.8,37875.1,37875.1,0.0,0.0
2024-08-22,10,OPTIMAL,210114.51,38910.6,38910.6,0.0,-0.0
2024-08-22,11,OPTIMAL,180849.83,39497.6,39497.6,0.0,-0.0
2024-08-22,12,OPTIMAL,116084.84,39543.3,39543.3,0.0,0.0
2024-08-22,13,OPTIMAL,116023.6,38979.0,38979.0,0.0,0.0
2024-08-22,14,OPTIMAL,116318.34,38714.1,38714.0,0.0,0.0
2024-08-22,15,OPTIMAL,210388.05,38387.8,38387.8,0.0,0.0
2024-08-22,16,OPTIMAL,211214.49,37832.5,37832.5,0.0,0.0
2024-08-22,17,OPTIMAL,210369.29,36801.0,36801.0,0.0,-0.0
2024-08-22,18,OPTIMAL,212194.35,36092.7,36092.7,0.0,0.0
2024-08-22,19,OPTIMAL,223178.53,37654.9,37654.9,0.0,0.0
2024-08-22,20,OPTIMAL,211969.42,36041.8,36041.8,0.0,-0.0
2024-08-22,21,OPTIMAL,213451.57,33554.9,33554.9,0.0,-0.0
2024-08-22,22,OPTIMAL,212907.53,31160.1,31160.1,0.0,-0.0
2024-08-22,23,OPTIMAL,211170.34,29371.7,29371.7,0.0,-0.0
2024-08-23,0,OPTIMAL,211572.29,28067.8,28067.8,0.0,-0.0
2024-08-23,1,OPTIMAL,212243.54,27229.1,27229.1,0.0,-0.0
2024-08-23,2,OPTIMAL,211385.4,26792.9,26792.9,0.0,-0.0
2024-08-23,3,OPTIMAL,211664.86,26879.5,26879.5,0.0,0.0
2024-08-23,4,OPTIMAL,211262.48,28156.7,28156.7,0.0,0.0
2024-08-23,5,OPTIMAL,217269.94,30534.6,30534.6,0.0,-0.0
2024-08-23,6,OPTIMAL,225691.91,33205.1,33205.1,0.0,0.0
2024-08-23,7,OPTIMAL,260791.11,35530.8,35530.8,0.0,-0.0
2024-08-23,8,OPTIMAL,239672.53,37406.4,37406.4,0.0,-0.0
2024-08-23,9,OPTIMAL,210542.18,38727.4,38727.4,0.0,-0.0
2024-08-23,10,OPTIMAL,210743.33,39972.5,39972.5,0.0,0.0
2024-08-23,11,OPTIMAL,133763.72,41023.4,41023.4,0.0,0.0
2024-08-23,12,OPTIMAL,116423.83,40107.8,40107.8,0.0,0.0
2024-08-23,13,OPTIMAL,116194.35,39590.3,39590.3,0.0,0.0
2024-08-23,14,OPTIMAL,116725.83,39440.4,39440.4,0.0,0.0
