date,hour,branch_id,branch_name,from_bus,to_bus,from_bus_id,to_bus_id,from_nuts3,to_nuts3,asset_class,reinforcement_eligible,diagnostic_multiplier,capacity_policy,base_line_rating_factor,flow_mw,flow_mvar,limit_mw,loading_pct
2025-06-27,19,266,LTGES0193,707,25,ES00714,ES00025,ES414,ES412,inter_nuts3,false,1.5,inter_allowance,0.8,-589.87,0.0,589.87,100.0
2025-06-25,15,2178,NEWXB_ES220_FR,150,850,ES00153,ES00859,ES220,FR,international,false,1.0,fixed,0.8,1600.0,0.0,1600.0,100.0
2024-08-22,10,1003,LTGES0668,481,908,ES00484,ES00919,ES423,ES300,inter_nuts3,false,1.5,inter_allowance,0.8,589.87,0.0,589.87,100.0
2025-06-25,15,dc1,LTGES0254,674,676,ES00681,ES00683,ES522,ES532,inter_nuts3,false,1.5,inter_allowance,0.8,-609.75,0.0,609.75,100.0
2024-08-20,0,1562,LTGES1027,850,851,ES00859,ES00860,FR,ES212,international,false,1.0,fixed,0.8,1429.98,0.0,1429.98,100.0
2024-08-20,0,2179,NEWES_ES412_ES416,684,905,ES00691,ES00916,ES412,ES416,inter_nuts3,false,1.5,inter_allowance,0.8,226.26,0.0,226.26,100.0
2024-08-21,8,869,LTGES0589,458,276,ES00461,ES00279,ES220,ES243,inter_nuts3,false,1.5,inter_allowance,0.8,-589.87,0.0,589.87,100.0
2025-06-24,13,1312,LTGES0862b,443,372,ES00446,ES00375,ES513,ES514,inter_nuts3,false,1.5,inter_allowance,0.8,1155.84,0.0,1179.73,98.0
2025-06-24,13,1311,LTGES0862a,443,372,ES00446,ES00375,ES513,ES514,inter_nuts3,false,1.5,inter_allowance,0.8,1155.84,0.0,1179.73,98.0
2025-06-25,17,1241,LTGES0815,531,215,ES00536,ES00218,ES212,ES220,inter_nuts3,false,1.5,inter_allowance,0.8,555.63,0.0,589.87,94.2
2025-06-25,17,423,LTGES0290,134,952,ES00135,ES00963,ES220,ES243,inter_nuts3,false,1.5,inter_allowance,0.8,1793.56,0.0,2144.97,83.6
2025-06-25,15,248,LTGES0177,733,735,ES00742,ES00744,FR,ES212,international,false,1.0,fixed,0.8,-335.34,0.0,402.18,83.4
2025-06-25,15,1859,LTGES1219,1055,970,ES01069,ES00981,ES241,FR,international,false,1.0,fixed,0.8,335.34,0.0,402.18,83.4
2025-06-25,15,1783,LTGES1173a,1108,1107,ES01126,ES01125,FR,ES512,international,false,1.0,fixed,0.8,-953.86,0.0,1143.98,83.4
2025-06-25,15,1784,LTGES1174b,1108,1107,ES01126,ES01125,FR,ES512,international,false,1.0,fixed,0.8,-953.86,0.0,1143.98,83.4
2025-06-25,17,1239,LTGES0813,215,97,ES00218,ES00097,ES220,ES212,inter_nuts3,false,1.5,inter_allowance,0.8,-489.9,0.0,589.87,83.1
2024-08-24,20,87,LTGES0059,95,44,ES00095,ES00044,ES211,ES412,inter_nuts3,false,1.5,inter_allowance,0.8,-477.56,0.0,589.87,81.0
2025-06-25,17,106,LTGES0073,109,971,ES00109,ES00982,ES419,ES113,inter_nuts3,false,1.5,inter_allowance,0.8,-476.52,0.0,589.87,80.8
2025-06-29,7,1558,LTGES1023,96,575,ES00096,ES00580,ES412,ES211,inter_nuts3,false,1.5,inter_allowance,0.8,472.92,0.0,589.87,80.2
2025-06-25,15,1896,LTGES1242,494,191,ES00497,ES00194,ES611,ES614,inter_nuts3,false,1.5,inter_allowance,0.8,1706.97,0.0,2144.97,79.6
2024-08-26,17,377,LTGES0257b,124,274,ES00124,ES00277,ES113,PT,international,false,1.0,fixed,0.8,2191.49,0.0,2859.96,76.6
2024-08-26,17,376,LTGES0257a,124,274,ES00124,ES00277,ES113,PT,international,false,1.0,fixed,0.8,2191.49,0.0,2859.96,76.6
2025-06-25,15,1817,LTGES1192,76,14,ES00076,ES00014,ES423,ES300,inter_nuts3,false,1.5,inter_allowance,0.8,1559.07,0.0,2144.97,72.7
2024-08-22,9,242,LTGES0172,963,212,ES00974,ES00215,ES220,ES241,inter_nuts3,false,1.5,inter_allowance,0.8,-429.0,0.0,589.87,72.7
2024-08-24,20,1999,LTGES1317,1023,95,ES01037,ES00095,ES230,ES211,inter_nuts3,false,1.5,inter_allowance,0.8,-401.99,0.0,589.87,68.1
2025-06-25,15,1511,LTGES0993,588,44,ES00593,ES00044,ES211,ES412,inter_nuts3,false,1.5,inter_allowance,0.8,-391.44,0.0,589.87,66.4
2025-06-25,17,305,LTGES0219,753,75,ES00762,ES00075,ES523,ES423,inter_nuts3,false,1.5,inter_allowance,0.8,-1414.43,0.0,2144.97,65.9
2025-06-25,15,1624,LTGES1069,1060,907,ES01075,ES00918,ES423,ES300,inter_nuts3,false,1.5,inter_allowance,0.8,1374.8,0.0,2144.97,64.1
2025-06-25,15,919,LTGES0619a,896,894,ES00905,ES00903,ES424,ES300,inter_nuts3,false,1.5,inter_allowance,0.8,2744.09,0.0,4289.94,64.0
2025-06-25,15,920,LTGES0619b,896,894,ES00905,ES00903,ES424,ES300,inter_nuts3,false,1.5,inter_allowance,0.8,2744.09,0.0,4289.94,64.0
2025-06-24,12,721,LTGES0497,410,266,ES00413,ES00269,ES242,ES243,inter_nuts3,false,1.5,inter_allowance,0.8,372.03,0.0,589.87,63.1
2024-08-26,8,74,LTGES0049,80,82,ES00080,ES00082,ES242,ES243,inter_nuts3,false,1.5,inter_allowance,0.8,-1338.37,0.0,2144.97,62.4
2025-06-30,19,1194,LTGES0783,451,986,ES00454,ES01000,ES513,ES241,inter_nuts3,false,1.5,inter_allowance,0.8,-363.71,0.0,589.87,61.7
2025-06-29,7,1471,LTGES0964,582,575,ES00587,ES00580,ES213,ES211,inter_nuts3,false,1.5,inter_allowance,0.8,-339.64,0.0,589.87,57.6
2025-06-29,7,1472,LTGES0965,582,575,ES00587,ES00580,ES213,ES211,inter_nuts3,false,1.5,inter_allowance,0.8,-338.32,0.0,589.87,57.4
2025-06-25,15,608,LTGES0423,353,830,ES00356,ES00839,ES620,ES521,inter_nuts3,false,1.5,inter_allowance,0.8,337.48,0.0,589.87,57.2
2025-06-25,15,458,LTGES0316,125,201,ES00125,ES00204,ES113,ES112,inter_nuts3,false,1.5,inter_allowance,0.8,-333.32,0.0,589.87,56.5
2025-06-25,15,1903,LTGES1246,1057,923,ES01071,ES00934,ES611,ES614,inter_nuts3,false,1.5,inter_allowance,0.8,332.06,0.0,589.87,56.3
2024-08-24,20,1519,LTGES0999,1023,590,ES01037,ES00595,ES230,ES211,inter_nuts3,false,1.5,inter_allowance,0.8,330.68,0.0,589.87,56.1
2025-06-25,15,459,LTGES0317,310,311,ES00313,ES00314,ES113,ES112,inter_nuts3,false,1.5,inter_allowance,0.8,-327.62,0.0,589.87,55.5
2025-06-30,20,1682,LTGES1110,623,301,ES00629,ES00304,ES243,ES241,inter_nuts3,false,1.5,inter_allowance,0.8,319.9,0.0,589.87,54.2
2025-06-24,12,648,LTGES0448,80,374,ES00080,ES00377,ES242,ES243,inter_nuts3,false,1.5,inter_allowance,0.8,-1149.87,0.0,2144.97,53.6
2025-06-25,15,460,LTGES0318,311,312,ES00314,ES00315,ES112,ES113,inter_nuts3,false,1.5,inter_allowance,0.8,-314.68,0.0,589.87,53.3
2025-06-25,15,2177,NEWXB_ES213_FR,993,850,ES01007,ES00859,ES213,FR,international,false,1.0,fixed,0.8,830.54,0.0,1600.0,51.9
2025-06-24,12,1546,LTGES1016a,600,436,ES00605,ES00439,ES511,ES514,inter_nuts3,false,1.5,inter_allowance,0.8,-594.6,0.0,1179.73,50.4
2025-06-25,15,1058,LTGES0700,193,495,ES00196,ES00498,ES614,ES617,inter_nuts3,false,1.5,inter_allowance,0.8,1081.93,0.0,2144.97,50.4
2025-06-24,12,1547,LTGES1016b,600,436,ES00605,ES00439,ES511,ES514,inter_nuts3,false,1.5,inter_allowance,0.8,-594.6,0.0,1179.73,50.4
2025-06-30,19,267,LTGES0194,54,228,ES00054,ES00231,ES418,ES414,inter_nuts3,false,1.5,inter_allowance,0.8,-295.71,0.0,589.87,50.1
2025-06-29,7,1473,LTGES0966,575,685,ES00580,ES00692,ES211,ES412,inter_nuts3,false,1.5,inter_allowance,0.8,-287.2,0.0,589.87,48.7
2025-06-24,13,1516,LTGES0996,589,590,ES00594,ES00595,ES230,ES211,inter_nuts3,false,1.5,inter_allowance,0.8,275.14,0.0,589.87,46.6
2025-06-25,15,1712,LTGES1126,960,139,ES00971,ES00142,ES220,ES230,inter_nuts3,false,1.5,inter_allowance,0.8,274.97,0.0,589.87,46.6
2024-08-26,8,77,LTGES0052,85,55,ES00085,ES00055,ES417,ES418,inter_nuts3,false,1.5,inter_allowance,0.8,-964.22,0.0,2144.97,45.0
2025-06-29,7,857,LTGES0581,454,452,ES00457,ES00455,ES241,ES513,inter_nuts3,false,1.5,inter_allowance,0.8,254.45,0.0,589.87,43.1
2025-06-24,16,1822,LTGES1197,633,356,ES00639,ES00359,ES421,ES523,inter_nuts3,false,1.5,inter_allowance,0.8,912.96,0.0,2144.97,42.6
2024-08-26,8,862,LTGES0585,85,64,ES00085,ES00064,ES417,ES243,inter_nuts3,false,1.5,inter_allowance,0.8,898.98,0.0,2144.97,41.9
2025-06-25,17,620,LTGES0431,75,357,ES00075,ES00360,ES423,ES523,inter_nuts3,false,1.5,inter_allowance,0.8,895.52,0.0,2144.97,41.7
2025-06-30,18,670,LTGES0462b,389,390,ES00392,ES00393,ES424,ES423,inter_nuts3,false,1.5,inter_allowance,0.8,-1771.57,0.0,4289.94,41.3
2025-06-30,18,669,LTGES0462a,389,390,ES00392,ES00393,ES424,ES423,inter_nuts3,false,1.5,inter_allowance,0.8,-1771.57,0.0,4289.94,41.3
2025-06-25,15,138,LTGES0100,134,66,ES00135,ES00066,ES220,ES230,inter_nuts3,false,1.5,inter_allowance,0.8,882.69,0.0,2144.97,41.2
2025-06-29,7,658,LTGES0455,378,266,ES00381,ES00269,ES514,ES243,inter_nuts3,false,1.5,inter_allowance,0.8,-239.87,0.0,589.87,40.7
2025-06-25,17,55,LTGES0036,66,39,ES00066,ES00039,ES230,ES412,inter_nuts3,false,1.5,inter_allowance,0.8,-857.57,0.0,2144.97,40.0
2025-06-29,20,1493,LTGES0981,1021,1019,ES01035,ES01033,ES212,ES213,inter_nuts3,false,1.5,inter_allowance,0.8,-229.71,0.0,589.87,38.9
2025-06-29,7,1892,LTGES1239,635,548,ES00641,ES00553,ES112,ES120,inter_nuts3,false,1.5,inter_allowance,0.8,828.09,0.0,2144.97,38.6
2024-08-26,17,1868,LTGES1225,804,322,ES00813,ES00325,PT,ES415,international,false,1.0,fixed,0.8,-150.51,0.0,393.24,38.3
2024-08-26,17,524,LTGES0363,808,99,ES00817,ES00099,PT,ES432,international,false,1.0,fixed,0.8,-547.32,0.0,1429.98,38.3
2024-08-26,17,1565,LTGES1029,1076,1122,ES01092,ES01142,PT,ES615,international,false,1.0,fixed,0.8,-547.32,0.0,1429.98,38.3
2024-08-26,17,525,LTGES0364,809,1143,ES00818,ES01163,PT,ES431,international,false,1.0,fixed,0.8,-547.32,0.0,1429.98,38.3
2025-06-24,14,1047,LTGES0691,489,490,ES00492,ES00493,ES425,ES422,inter_nuts3,false,1.5,inter_allowance,0.8,-221.91,0.0,589.87,37.6
2025-06-30,19,272,LTGES0198,224,229,ES00227,ES00232,ES414,ES130,inter_nuts3,false,1.5,inter_allowance,0.8,217.42,0.0,589.87,36.9
2025-06-30,18,491,LTGES0340,313,303,ES00316,ES00306,ES111,ES114,inter_nuts3,false,1.5,inter_allowance,0.8,213.67,0.0,589.87,36.2
2025-06-25,17,1412,LTGES0928,551,571,ES00556,ES00576,ES120,ES413,inter_nuts3,false,1.5,inter_allowance,0.8,-213.58,0.0,589.87,36.2
2025-06-25,17,61,LTGES0041a,68,69,ES00068,ES00069,ES415,ES432,inter_nuts3,false,1.5,inter_allowance,0.8,1503.9,0.0,4289.94,35.1
2025-06-25,17,62,LTGES0041b,68,69,ES00068,ES00069,ES415,ES432,inter_nuts3,false,1.5,inter_allowance,0.8,1503.9,0.0,4289.94,35.1
2025-06-25,17,1930,LTGES1263,651,329,ES00657,ES00332,ES432,ES431,inter_nuts3,false,1.5,inter_allowance,0.8,203.58,0.0,589.87,34.5
2024-08-26,17,452,LTGES0311,126,162,ES00126,ES00165,ES113,ES413,inter_nuts3,false,1.5,inter_allowance,0.8,-736.85,0.0,2144.97,34.4
2025-06-30,20,265,LTGES0192,227,190,ES00230,ES00193,ES611,ES614,inter_nuts3,false,1.5,inter_allowance,0.8,201.57,0.0,589.87,34.2
2025-06-29,7,91,LTGES0063,1007,39,ES01021,ES00039,ES211,ES412,inter_nuts3,false,1.5,inter_allowance,0.8,-731.63,0.0,2144.97,34.1
2025-06-24,14,1119,LTGES0739,364,937,ES00367,ES00948,ES521,ES523,inter_nuts3,false,1.5,inter_allowance,0.8,192.72,0.0,589.87,32.7
2024-08-23,17,925,LTGES0622a,467,385,ES00470,ES00388,ES300,ES424,inter_nuts3,false,1.5,inter_allowance,0.8,-382.65,0.0,1179.73,32.4
2024-08-23,17,926,LTGES0622b,467,385,ES00470,ES00388,ES300,ES424,inter_nuts3,false,1.5,inter_allowance,0.8,-382.65,0.0,1179.73,32.4
2025-06-25,15,1570,LTGES1032a,375,369,ES00378,ES00372,ES243,ES514,inter_nuts3,false,1.5,inter_allowance,0.8,-378.78,0.0,1179.73,32.1
2025-06-25,15,1571,LTGES1032b,375,369,ES00378,ES00372,ES243,ES514,inter_nuts3,false,1.5,inter_allowance,0.8,-378.78,0.0,1179.73,32.1
2025-06-29,7,90,LTGES0062,98,1007,ES00098,ES01021,ES212,ES211,inter_nuts3,false,1.5,inter_allowance,0.8,-684.1,0.0,2144.97,31.9
2025-06-25,17,502,LTGES0349a,802,112,ES00811,ES00112,ES415,ES419,inter_nuts3,false,1.5,inter_allowance,0.8,-375.53,0.0,1179.73,31.8
2025-06-25,17,503,LTGES0349b,802,112,ES00811,ES00112,ES415,ES419,inter_nuts3,false,1.5,inter_allowance,0.8,-375.53,0.0,1179.73,31.8
2024-08-26,8,574,LTGES0397,340,341,ES00343,ES00344,ES618,ES615,inter_nuts3,false,1.5,inter_allowance,0.8,-186.26,0.0,589.87,31.6
2025-06-25,17,229,LTGES0164,717,201,ES00726,ES00204,ES413,ES112,inter_nuts3,false,1.5,inter_allowance,0.8,-186.64,0.0,589.87,31.6
2025-06-29,20,1301,LTGES0856,950,523,ES00961,ES00526,ES513,ES511,inter_nuts3,false,1.5,inter_allowance,0.8,185.99,0.0,589.87,31.5
2025-06-25,17,1066,LTGES0705,176,455,ES00179,ES00458,ES617,ES613,inter_nuts3,false,1.5,inter_allowance,0.8,-671.14,0.0,2144.97,31.3
2025-06-29,20,296,LTGES0213,751,122,ES00760,ES00122,ES522,ES523,inter_nuts3,false,1.5,inter_allowance,0.8,-668.24,0.0,2144.97,31.2
2025-06-25,17,1848,LTGES1211,192,942,ES00195,ES00953,ES614,ES616,inter_nuts3,false,1.5,inter_allowance,0.8,-180.84,0.0,589.87,30.7
2024-08-24,20,1209,LTGES0796,333,964,ES00336,ES00975,ES618,ES613,inter_nuts3,false,1.5,inter_allowance,0.8,177.15,0.0,589.87,30.0
2025-06-24,12,1376,LTGES0904,62,554,ES00062,ES00559,ES413,ES120,inter_nuts3,false,1.5,inter_allowance,0.8,642.1,0.0,2144.97,29.9
2025-06-24,14,1100,LTGES0726,506,930,ES00509,ES00941,ES521,ES523,inter_nuts3,false,1.5,inter_allowance,0.8,638.32,0.0,2144.97,29.8
2024-08-26,8,932,LTGES0626,469,470,ES00472,ES00473,ES425,ES300,inter_nuts3,false,1.5,inter_allowance,0.8,175.88,0.0,589.87,29.8
2024-08-24,20,1948,LTGES1273,653,355,ES00659,ES00358,ES620,ES521,inter_nuts3,false,1.5,inter_allowance,0.8,172.98,0.0,589.87,29.3
2025-06-27,8,170,LTGES0126a,165,899,ES00168,ES00908,ES432,ES425,inter_nuts3,false,1.5,inter_allowance,0.8,343.11,0.0,1179.73,29.1
2025-06-27,8,171,LTGES0126b,165,899,ES00168,ES00908,ES432,ES425,inter_nuts3,false,1.5,inter_allowance,0.8,343.11,0.0,1179.73,29.1
2024-08-26,8,573,LTGES0396,339,902,ES00342,ES00911,ES618,ES615,inter_nuts3,false,1.5,inter_allowance,0.8,-170.97,0.0,589.87,29.0
2025-06-25,15,619,LTGES0430b,361,359,ES00364,ES00362,ES421,ES423,inter_nuts3,false,1.5,inter_allowance,0.8,1233.87,0.0,4289.94,28.8
2025-06-25,15,618,LTGES0430a,361,359,ES00364,ES00362,ES421,ES423,inter_nuts3,false,1.5,inter_allowance,0.8,1233.87,0.0,4289.94,28.8
2025-06-29,7,638,LTGES0443a,205,80,ES00208,ES00080,ES514,ES242,inter_nuts3,false,1.5,inter_allowance,0.8,-1221.57,0.0,4289.94,28.5
2025-06-29,7,639,LTGES0443b,205,80,ES00208,ES00080,ES514,ES242,inter_nuts3,false,1.5,inter_allowance,0.8,-1221.57,0.0,4289.94,28.5
2025-06-25,17,12,LTGES0008,16,920,ES00016,ES00931,ES300,ES425,inter_nuts3,false,1.5,inter_allowance,0.8,166.0,0.0,589.87,28.1
2025-06-25,17,262,LTGES0189,739,220,ES00748,ES00223,ES413,ES414,inter_nuts3,false,1.5,inter_allowance,0.8,165.28,0.0,589.87,28.0
2025-06-25,15,1439,LTGES0945,1082,294,ES01100,ES00297,ES212,ES213,inter_nuts3,false,1.5,inter_allowance,0.8,-597.8,0.0,2144.97,27.9
2025-06-25,17,222,LTGES0159a,56,127,ES00056,ES00127,ES419,ES415,inter_nuts3,false,1.5,inter_allowance,0.8,328.86,0.0,1179.73,27.9
