date,hour,load_mw,solar_mw,wind_mw
2024-07-08,0,39174.24578773326,2699.6285355633827,10909.258372806187
2024-07-08,1,37177.81795906988,3172.746430902363,11453.053624067743
2024-07-08,2,35140.09365724898,2975.901915406028,11008.697347433515
2024-07-08,3,34455.41587468226,3608.1297438452098,10494.914653763979
2024-07-08,4,33901.96842488963,5040.688301430605,10296.898234781864
2024-07-08,5,34513.73797756599,3449.2265143687046,10303.545105000067
2024-07-08,6,38432.07354126399,2695.4928081487665,10139.441816837569
2024-07-08,7,42169.09367008673,9663.051802952721,9096.915022802677
2024-07-08,8,45654.31193319428,31973.93630750811,8606.796933321693
2024-07-08,9,51220.546694689954,66673.74414322729,7863.067110760607
2024-07-08,10,55411.925318478614,87550.67854621648,6415.198651902279
2024-07-08,11,58997.81515200734,90181.02681667994,7361.389200658847
2024-07-08,12,61479.866442245846,93290.64614191234,8343.252561666312
2024-07-08,13,62453.87991951692,94233.04116882318,10206.067120852043
2024-07-08,14,63106.92221304563,96317.99414875756,12228.732396950025
2024-07-08,15,63487.49127043026,96929.08313801812,12581.720854311769
2024-07-08,16,63118.236513436976,94335.04126964831,13003.718960351582
2024-07-08,17,61603.887693266086,86503.30227583744,15444.127148543126
2024-07-08,18,59864.07271514494,79890.37013136159,17510.528582884985
2024-07-08,19,56310.68208221225,58330.176706516686,17353.408391542347
2024-07-08,20,53493.21245193014,32045.99309579797,17824.457988895534
2024-07-08,21,50364.01509759687,8835.09648170439,17637.040147274845
2024-07-08,22,49010.41546220422,4211.60502594554,17491.567787505224
2024-07-08,23,46857.04563265286,4684.792373402646,17799.893280569835
2024-12-02,0,37643.35347580824,0.0,8327.034995210324
2024-12-02,1,35999.45740418526,0.0,7507.5746614843665
2024-12-02,2,35413.0576869413,0.0,7484.889383468526
2024-12-02,3,34463.844274573916,0.0,8158.772930837555
2024-12-02,4,34183.81415630921,0.0,9147.49215061003
2024-12-02,5,34351.747624314834,0.0,10903.684329480808
2024-12-02,6,37713.48568283045,0.0,10621.338689892114
2024-12-02,7,44913.463171978205,0.0,8727.392643780397
2024-12-02,8,48390.6000449308,4041.6313671245307,7204.694451989091
2024-12-02,9,51456.17182709493,18251.948496987046,8494.15546869213
2024-12-02,10,52309.24837675472,39430.48242960891,5927.202974628071
2024-12-02,11,52905.79125625957,49013.08364641626,4280.537387428326
2024-12-02,12,53039.317832235734,50095.07365580351,3622.438047232681
2024-12-02,13,53587.03039889325,46955.608648400994,3739.2187851420044
2024-12-02,14,53620.46062590875,41330.829631167304,4116.020968878139
2024-12-02,15,51548.21486220226,31339.159100362038,4111.2743908784905
2024-12-02,16,50578.881586092975,17992.405738861067,4704.421764917906
2024-12-02,17,51691.67759801771,20838.111238466765,6781.730946678419
2024-12-02,18,53145.74783109212,0.0,8236.230231798125
2024-12-02,19,54422.97761646744,0.0,8227.393559070328
2024-12-02,20,55745.47541979949,0.0,8358.178114680783
2024-12-02,21,55236.63077624493,0.0,7458.4351159793405
2024-12-02,22,51055.30409137957,0.0,7769.331764122856
2024-12-02,23,44699.43551441238,0.0,8234.250014482172
