date,hour,branch_id,branch_name,from_bus,to_bus,flow_mw,flow_mvar,limit_mw,loading_pct
2024-07-08,2,306,LTGES0220a,156,14,210.87,0.0,2859.96,7.4
2024-07-08,2,1886,LTGES1236b,679,648,70.96,0.0,786.49,9.0
2024-07-08,2,1,LTGES0001a,1,2,20.68,0.0,786.49,2.6
2024-07-08,2,519,LTGES0361a,806,511,-24.89,0.0,786.49,3.2
2024-07-08,2,2243,TR_b47b078a,628,629,-105.05,0.0,160.0,65.7
2024-07-08,2,788,LTGES0543b,865,436,-187.1,0.0,786.49,23.8
2024-07-08,2,1164,LTGES0766b,22,992,39.88,0.0,786.49,5.1
2024-07-08,2,774,LTGES0535,424,430,-60.29,0.0,393.24,15.3
2024-07-08,2,1881,LTGES1234a,448,621,-40.08,0.0,786.49,5.1
2024-07-08,2,1907,LTGES1249b,447,1148,52.52,0.0,2859.96,1.8
2024-07-08,2,599,LTGES0415,1064,350,-324.49,0.0,1429.98,22.7
2024-07-08,2,2057,LTGES1360a,667,57,-12.62,0.0,786.49,1.6
2024-07-08,2,491,LTGES0340,313,303,-17.56,0.0,393.24,4.5
2024-07-08,2,1470,LTGES0964,582,575,-163.21,0.0,393.24,41.5
2024-07-08,2,1195,LTGES0784,952,1118,187.87,0.0,1429.98,13.1
2024-07-08,2,1377,LTGES0905b,771,567,128.44,0.0,2859.96,4.5
2024-07-08,2,228,LTGES0163b,675,198,-2.55,0.0,786.49,0.3
2024-07-08,2,332,LTGES0231b,254,114,115.09,0.0,786.49,14.6
2024-07-08,2,190,LTGES0139a,173,130,-116.08,0.0,2859.96,4.1
2024-07-08,2,227,LTGES0163a,675,198,-2.55,0.0,786.49,0.3
2024-07-08,2,980,LTGES0654a,677,142,12.41,0.0,1179.73,1.1
2024-07-08,2,1935,LTGES1267a,416,1067,23.76,0.0,786.49,3.0
2024-07-08,2,1894,LTGES1242,494,191,-82.34,0.0,1429.98,5.8
2024-07-08,2,1305,LTGES0859b,557,451,-255.99,0.0,786.49,32.5
2024-07-08,2,1880,LTGES1233b,647,80,178.5,0.0,2859.96,6.2
2024-07-08,2,297,LTGES0214,237,749,-198.14,0.0,1429.98,13.9
2024-07-08,2,605,LTGES0421a,353,829,3.33,0.0,786.49,0.4
2024-07-08,2,2078,LTGES1376,904,477,-47.43,0.0,1429.98,3.3
2024-07-08,2,1106,LTGES0730b,365,508,-76.33,0.0,786.49,9.7
2024-07-08,2,24,LTGES0015a,13,24,132.47,0.0,786.49,16.8
2024-07-08,2,1783,LTGES1175a,909,485,139.9,0.0,786.49,17.8
2024-07-08,2,928,LTGES0624a,14,683,-64.65,0.0,2859.96,2.3
2024-07-08,2,416,LTGES0286b,153,159,-48.47,0.0,786.49,6.2
2024-07-08,2,859,LTGES0583a,882,452,272.69,0.0,786.49,34.7
2024-07-08,2,23,LTGES0014,23,15,69.23,0.0,393.24,17.6
2024-07-08,2,160,LTGES0118,156,810,77.79,0.0,1429.98,5.4
2024-07-08,2,1825,LTGES1201,473,1122,-15.08,0.0,1429.98,1.1
2024-07-08,2,1863,LTGES1223a,643,645,135.8,0.0,2859.96,4.7
2024-07-08,2,1941,LTGES1270a,684,652,-60.5,0.0,2859.96,2.1
2024-07-08,2,204,LTGES0148a,726,179,-107.22,0.0,2859.96,3.7
2024-07-08,2,561,LTGES0388a,814,337,41.17,0.0,1179.73,3.5
2024-07-08,2,891,LTGES0603b,464,280,194.48,0.0,786.49,24.7
2024-07-08,2,2208,TR_a5f948b9,997,998,-27.62,0.0,160.0,17.3
2024-07-08,2,1879,LTGES1233a,647,80,178.5,0.0,2859.96,6.2
2024-07-08,2,981,LTGES0654b,677,142,12.41,0.0,1179.73,1.1
2024-07-08,2,815,LTGES0556b,446,868,-86.2,0.0,786.49,11.0
2024-07-08,2,253,LTGES0182a,217,219,52.79,0.0,786.49,6.7
2024-07-08,2,1282,LTGES0844a,548,547,110.15,0.0,2859.96,3.9
2024-07-08,2,916,LTGES0617,892,466,245.63,0.0,393.24,62.5
2024-07-08,2,2270,TR_871b5827,190,191,63.87,0.0,384.0,16.6
2024-07-08,2,1429,LTGES0939b,97,1009,-22.86,0.0,786.49,2.9
2024-07-08,2,1588,LTGES1045,606,1047,50.57,0.0,393.24,12.9
2024-07-08,2,843,LTGES0572a,434,863,8.81,0.0,786.49,1.1
2024-07-08,2,39,LTGES0025,39,46,194.79,0.0,1429.98,13.6
2024-07-08,2,112,LTGES0078b,111,55,-79.45,0.0,2859.96,2.8
2024-07-08,2,791,LTGES0545a,437,439,-20.05,0.0,786.49,2.5
2024-07-08,2,1918,LTGES1257a,88,916,-8.08,0.0,786.49,1.0
2024-07-08,2,2075,LTGES1373b,696,87,-4.26,0.0,786.49,0.5
2024-07-08,2,372,LTGES0255a,235,261,-207.64,0.0,2859.96,7.3
2024-07-08,2,34,LTGES0021a,35,36,10.95,0.0,2859.96,0.4
2024-07-08,2,1665,LTGES1098,227,1077,-49.77,0.0,393.24,12.7
