date,hour,bus_id,vm_pu,va_deg
2024-07-08,2,ES00001,1.0,-3.179
2024-07-08,2,ES00522,1.0,-2.228
2024-07-08,2,ES00797,1.0,0.335
2024-07-08,2,ES01184,1.0,3.072
2024-07-08,2,ES00783,1.0,0.381
2024-07-08,2,ES00604,1.0,-2.953
2024-07-08,2,ES00494,1.0,-6.894
2024-07-08,2,ES01215,1.0,-5.024
2024-07-08,2,ES00231,1.0,3.584
2024-07-08,2,ES00335,1.0,0.172
2024-07-08,2,ES00193,1.0,-0.318
2024-07-08,2,ES00230,1.0,-0.19
2024-07-08,2,ES00994,1.0,-4.82
2024-07-08,2,ES00300,1.0,-2.104
2024-07-08,2,ES00610,1.0,3.876
2024-07-08,2,ES01124,1.0,-3.19
2024-07-08,2,ES00024,1.0,-2.667
2024-07-08,2,ES00939,1.0,-2.542
2024-07-08,2,ES00419,1.0,-6.777
2024-07-08,2,ES00868,1.0,-0.131
2024-07-08,2,ES00023,1.0,-2.325
2024-07-08,2,ES00163,1.0,-0.278
2024-07-08,2,ES00207,1.0,-0.849
2024-07-08,2,ES00566,1.0,-2.24
2024-07-08,2,ES00900,1.0,-0.818
2024-07-08,2,ES00995,1.0,-3.071
2024-07-08,2,ES00824,1.0,0.012
2024-07-08,2,ES00256,1.0,-2.301
2024-07-08,2,ES00927,1.0,1.511
2024-07-08,2,ES00039,1.0,-1.14
2024-07-08,2,ES00852,1.0,5.536
2024-07-08,2,ES00112,1.0,4.236
2024-07-08,2,ES00800,1.0,-0.316
2024-07-08,2,ES00375,1.0,-10.803
2024-07-08,2,ES00034,1.0,1.232
2024-07-08,2,ES00140,1.0,1.977
2024-07-08,2,ES00595,1.0,-4.106
2024-07-08,2,ES00055,1.0,0.321
2024-07-08,2,ES00326,1.0,5.552
2024-07-08,2,ES00017,1.0,2.093
2024-07-08,2,ES00246,1.0,6.012
2024-07-08,2,ES00175,1.0,1.815
2024-07-08,2,ES00336,1.0,0.566
2024-07-08,2,ES00366,1.0,8.918
2024-07-08,2,ES00555,1.0,-4.632
2024-07-08,2,ES00344,1.0,-0.567
2024-07-08,2,ES00671,1.0,-3.164
2024-07-08,2,ES00923,1.0,-0.129
2024-07-08,2,ES00603,1.0,-3.494
2024-07-08,2,ES00649,1.0,2.119
2024-07-08,2,ES01066,1.0,-2.96
2024-07-08,2,ES00014,1.0,0.555
2024-07-08,2,ES00170,1.0,-5.395
2024-07-08,2,ES01141,1.0,0.23
2024-07-08,2,ES00618,1.0,-2.58
2024-07-08,2,ES00096,1.0,2.801
2024-07-08,2,ES00459,1.0,1.077
2024-07-08,2,ES01094,1.0,-6.744
2024-07-08,2,ES00260,1.0,-2.34
2024-07-08,2,ES00513,1.0,-1.5
2024-07-08,2,ES00019,1.0,0.156
2024-07-08,2,ES00680,1.0,4.158
2024-07-08,2,ES00936,1.0,-2.356
2024-07-08,2,ES00200,1.0,3.299
2024-07-08,2,ES00404,1.0,-2.908
2024-07-08,2,ES00279,1.0,0.038
2024-07-08,2,ES00787,1.0,-0.447
2024-07-08,2,ES00021,1.0,0.194
2024-07-08,2,ES00247,1.0,-2.894
2024-07-08,2,ES00083,1.0,0.89
2024-07-08,2,ES00587,1.0,-4.08
2024-07-08,2,ES01057,1.0,0.972
2024-07-08,2,ES00877,1.0,-12.35
2024-07-08,2,ES00563,1.0,-1.102
2024-07-08,2,ES00880,1.0,-7.2
2024-07-08,2,ES00550,1.0,0.587
2024-07-08,2,ES00003,1.0,-11.067
2024-07-08,2,ES00081,1.0,-0.766
2024-07-08,2,ES01001,1.0,-0.654
2024-07-08,2,ES00975,1.0,-1.344
2024-07-08,2,ES00760,1.0,-0.276
2024-07-08,2,ES01085,1.0,5.054
2024-07-08,2,ES01189,1.0,0.202
2024-07-08,2,ES01033,1.0,-5.682
2024-07-08,2,ES00306,1.0,-3.903
2024-07-08,2,ES01231,1.0,7.977
2024-07-08,2,ES00711,1.0,3.943
2024-07-08,2,ES00117,1.0,-2.043
2024-07-08,2,ES01186,1.0,-3.186
2024-07-08,2,ES01064,1.0,-4.39
2024-07-08,2,ES00502,1.0,1.471
2024-07-08,2,ES01165,1.0,3.191
2024-07-08,2,ES00861,1.0,-4.562
2024-07-08,2,ES00185,1.0,-0.913
2024-07-08,2,ES00179,1.0,1.552
2024-07-08,2,ES01219,1.0,3.028
2024-07-08,2,ES00903,1.0,0.832
2024-07-08,2,ES01254,1.0,-2.776
2024-07-08,2,ES01101,1.0,-0.898
2024-07-08,2,ES00559,1.0,-2.789
2024-07-08,2,ES00629,1.0,0.602
2024-07-08,2,ES00252,1.0,-2.183
2024-07-08,2,ES00488,1.0,-2.91
2024-07-08,2,ES00642,1.0,-2.941
2024-07-08,2,ES00349,1.0,-0.177
2024-07-08,2,ES01243,1.0,-6.849
2024-07-08,2,ES00547,1.0,0.281
2024-07-08,2,ES00644,1.0,-0.356
2024-07-08,2,ES00977,1.0,-1.167
2024-07-08,2,ES00392,1.0,2.082
2024-07-08,2,ES01246,1.0,-3.303
2024-07-08,2,ES01169,1.0,-1.567
2024-07-08,2,ES00222,1.0,-5.004
2024-07-08,2,ES00564,1.0,3.34
2024-07-08,2,ES01152,1.0,-4.2
2024-07-08,2,ES00206,1.0,-6.864
2024-07-08,2,ES01233,1.0,-3.111
2024-07-08,2,ES00808,1.0,-4.299
2024-07-08,2,ES00160,1.0,5.772
2024-07-08,2,ES01128,1.0,-2.246
2024-07-08,2,ES01063,1.0,-3.119
2024-07-08,2,ES00802,1.0,-0.176
2024-07-08,2,ES00057,1.0,3.21
2024-07-08,2,ES00168,1.0,5.835
2024-07-08,2,ES00885,1.0,-12.677
2024-07-08,2,ES01091,1.0,-0.124
2024-07-08,2,ES01182,1.0,-0.21
2024-07-08,2,ES00984,1.0,-2.132
2024-07-08,2,ES00894,1.0,0.179
2024-07-08,2,ES00203,1.0,-0.101
2024-07-08,2,ES01178,1.0,-2.202
2024-07-08,2,ES01103,1.0,-2.698
2024-07-08,2,ES00431,1.0,-2.236
2024-07-08,2,ES00647,1.0,0.865
2024-07-08,2,ES01090,1.0,-0.064
2024-07-08,2,ES00781,1.0,0.459
2024-07-08,2,ES00743,1.0,-6.765
2024-07-08,2,ES00276,1.0,0.309
2024-07-08,2,ES00726,1.0,-0.078
2024-07-08,2,ES00831,1.0,0.038
2024-07-08,2,ES01155,1.0,0.246
2024-07-08,2,ES01025,1.0,-3.153
2024-07-08,2,ES00588,1.0,-4.638
2024-07-08,2,ES00061,1.0,0.218
2024-07-08,2,ES00250,1.0,-1.507
2024-07-08,2,ES00844,1.0,-2.617
2024-07-08,2,ES00460,1.0,0.461
2024-07-08,2,ES00388,1.0,1.196
2024-07-08,2,ES00616,1.0,-2.776
