date,hour,fuel,dispatch_mw,capacity_mw,utilization_pct
2024-07-08,2,Hydro,14601.1,30805.9,47.4
2024-07-08,2,Wind,10283.5,57409.2,17.9
2024-07-08,2,Nuclear,5035.5,6034.3,83.4
2024-07-08,2,Solar,2975.7,98570.4,3.0
2024-07-08,2,CrossBorder,1366.8,1366.8,100.0
2024-07-08,2,Waste,479.2,545.9,87.8
2024-07-08,2,Battery,389.4,9390.5,4.1
2024-07-08,2,Gas,9.0,25132.8,0.0
2024-07-08,2,Slack,0.0,999900.0,0.0
2024-07-08,2,Biomass,0.0,3224.5,0.0
2024-07-08,2,Coal,0.0,2552.5,0.0
2024-07-08,2,Oil,0.0,554.7,0.0
2024-07-08,2,LoadShed,0.0,35140.1,0.0
2024-07-08,8,Solar,28119.9,98570.4,28.5
2024-07-08,8,Hydro,7481.0,30805.9,24.3
2024-07-08,8,Nuclear,4827.4,6034.3,80.0
2024-07-08,8,Wind,1851.5,57409.2,3.2
2024-07-08,8,Gas,1758.3,25132.8,7.0
2024-07-08,8,CrossBorder,1466.3,1466.2,100.0
2024-07-08,8,Waste,358.3,545.9,65.6
2024-07-08,8,Oil,5.4,554.7,1.0
2024-07-08,8,Slack,0.0,999900.0,0.0
2024-07-08,8,Biomass,0.0,3224.5,0.0
2024-07-08,8,Coal,0.0,2552.5,0.0
2024-07-08,8,LoadShed,0.0,45654.3,0.0
2024-07-08,8,Battery,-213.7,9390.5,-2.3
2024-07-08,9,Solar,38671.1,98570.4,39.2
2024-07-08,9,Nuclear,4827.4,6034.3,80.0
2024-07-08,9,Wind,2762.9,57409.2,4.8
2024-07-08,9,Gas,2183.1,25132.8,8.7
2024-07-08,9,Hydro,1958.7,30805.9,6.4
2024-07-08,9,CrossBorder,1644.5,1644.5,100.0
2024-07-08,9,Waste,470.4,545.9,86.2
2024-07-08,9,Oil,80.6,554.7,14.5
2024-07-08,9,LoadShed,24.5,51220.5,0.0
2024-07-08,9,Slack,0.0,999900.0,0.0
2024-07-08,9,Biomass,0.0,3224.5,0.0
2024-07-08,9,Coal,0.0,2552.5,0.0
2024-07-08,9,Battery,-1402.7,9390.5,-14.9
2024-07-08,10,Solar,39704.7,98570.4,40.3
2024-07-08,10,Nuclear,4827.4,6034.3,80.0
2024-07-08,10,Gas,3807.3,25132.8,15.1
2024-07-08,10,Wind,2937.0,57409.2,5.1
2024-07-08,10,Hydro,2936.9,30805.9,9.5
2024-07-08,10,CrossBorder,1486.2,1486.2,100.0
2024-07-08,10,Waste,483.9,545.9,88.6
2024-07-08,10,Oil,203.6,554.7,36.7
2024-07-08,10,LoadShed,83.6,55411.9,0.2
2024-07-08,10,Slack,0.0,999900.0,0.0
