date,hour,gen_id,unit_name,fuel,technology,bus_i,capacity_mw,dispatch_mw,dispatch_mvar,utilization_pct,cost_eur_per_mwh
2024-07-08,2,2243,LS_ES00270,LoadShed,LoadShed,267,21.15,0.0,0.0,0.0,10000.0
2024-07-08,2,1881,LS_ES00593,LoadShed,LoadShed,588,10.83,0.0,0.0,0.0,10000.0
2024-07-08,2,1907,LS_ES00876,LoadShed,LoadShed,867,14.31,0.0,0.0,0.0,10000.0
2024-07-08,2,599,G0384,Solar,PV,481,716.67,21.64,0.0,100.0,0.0
2024-07-08,2,2491,LS_ES00474,LoadShed,LoadShed,471,76.87,0.0,0.0,0.0,10000.0
2024-07-08,2,228,G0356,Wind,Onshore,458,130.6,25.04,0.0,100.0,0.18
2024-07-08,2,2590,LS_ES00562,LoadShed,LoadShed,557,51.9,0.0,0.0,0.0,10000.0
2024-07-08,2,2579,LS_ES01213,LoadShed,LoadShed,1193,21.13,0.0,0.0,0.0,10000.0
2024-07-08,2,1880,LS_ES00142,LoadShed,LoadShed,139,59.58,0.0,0.0,0.0,10000.0
2024-07-08,2,2562,LS_ES00901,LoadShed,LoadShed,892,6.2,0.0,0.0,0.0,10000.0
2024-07-08,2,1106,NEW_BioCCS_ES511_3,Biomass,BioCCS,48,629.63,0.0,0.0,0.0,91.45
2024-07-08,2,2366,LS_ES00061,LoadShed,LoadShed,61,2.97,0.0,0.0,0.0,10000.0
2024-07-08,2,1783,BESS_ES01134,Battery,Li-Ion,1116,0.0,0.0,0.0,99.8,0.0
2024-07-08,2,928,G0240,Solar,Solar Thermal,330,39.1,1.18,0.0,100.0,0.0
2024-07-08,2,859,G0437,Hydro,reservoir,542,753.27,0.0,0.0,0.0,24.22
2024-07-08,2,1863,LS_ES00080,LoadShed,LoadShed,80,1.17,0.0,0.0,0.0,10000.0
2024-07-08,2,561,G0311,Solar,PV,392,12.38,0.37,0.0,100.0,0.0
2024-07-08,2,1825,BESS_ES01254,Battery,Li-Ion,1231,9.68,1.23,0.0,12.7,0.0
2024-07-08,2,2631,LS_ES01030,LoadShed,LoadShed,1016,24.21,0.0,0.0,0.0,10000.0
2024-07-08,2,2714,LS_ES00236,LoadShed,LoadShed,233,45.07,0.0,0.0,0.0,10000.0
2024-07-08,2,815,G0889,Solar,PV,1197,1160.47,35.04,0.0,100.0,0.0
2024-07-08,2,981,NEW_GasOCGT_ES419_2,Gas,Gas_turbine,1126,11.73,0.0,0.0,0.0,31.72
2024-07-08,2,1429,BESS_ES00485,Battery,Li-Ion,482,9.68,1.23,0.0,12.8,0.0
2024-07-08,2,39,G0114,Gas,Combined_cycle,187,292.29,0.0,0.0,0.0,24.27
2024-07-08,2,2713,LS_ES01235,LoadShed,LoadShed,1214,253.19,0.0,0.0,0.0,10000.0
2024-07-08,2,112,G0818,Gas,Combined_cycle,1124,70.65,0.0,0.0,0.0,24.27
2024-07-08,2,1665,BESS_ES00919,Battery,Li-Ion,908,9.68,1.22,0.0,12.6,0.0
2024-07-08,2,590,G0363,Solar,PV,463,491.64,14.84,0.0,100.0,0.0
2024-07-08,2,17,G0109,Coal,Coal,184,518.42,0.0,0.0,0.0,14.52
2024-07-08,2,333,G0661,Wind,Onshore,886,164.72,31.59,0.0,100.0,0.18
2024-07-08,2,550,G0291,Solar,PV,374,144.39,4.36,0.0,100.0,0.0
2024-07-08,2,341,G0684,Wind,Onshore,906,38.9,7.46,0.0,100.0,0.18
2024-07-08,2,664,G0553,Solar,PV,706,100.58,3.04,0.0,100.0,0.0
2024-07-08,2,912,G0967,Hydro,run_of_river,212,2.0,2.0,0.0,100.0,0.0
2024-07-08,2,1598,BESS_ES00779,Battery,Li-Ion,770,0.0,0.0,0.0,99.9,0.0
2024-07-08,2,2509,LS_ES00835,LoadShed,LoadShed,826,11.82,0.0,0.0,0.0,10000.0
2024-07-08,2,598,G0382,Solar,PV,478,105.73,3.19,0.0,100.0,0.0
2024-07-08,2,613,G0414,Solar,PV,519,109.54,3.31,0.0,100.0,0.0
2024-07-08,2,1052,NEW_GasOCGT_ES521_3,Gas,Gas_turbine,933,2.82,0.0,0.0,0.0,31.72
2024-07-08,2,14,G0040,Coal,Coal,72,324.78,0.0,0.0,0.0,14.52
2024-07-08,2,2334,LS_ES01153,LoadShed,LoadShed,1133,3.53,0.0,0.0,0.0,10000.0
2024-07-08,2,510,G0182,Solar,PV,277,12.84,0.39,0.0,100.0,0.0
2024-07-08,2,2166,LS_ES00674,LoadShed,LoadShed,667,1.02,0.0,0.0,0.0,10000.0
2024-07-08,2,2585,LS_ES00739,LoadShed,LoadShed,730,24.17,0.0,0.0,0.0,10000.0
2024-07-08,2,2127,LS_ES00746,LoadShed,LoadShed,737,24.22,0.0,0.0,0.0,10000.0
2024-07-08,2,2288,LS_ES00310,LoadShed,LoadShed,307,78.66,0.0,0.0,0.0,10000.0
2024-07-08,2,197,G0216,Wind,Onshore,304,15.86,3.04,0.0,100.0,0.18
2024-07-08,2,1545,BESS_ES00662,Battery,Li-Ion,656,0.0,0.0,0.0,99.8,0.0
2024-07-08,2,401,G0848,Wind,Onshore,1152,101.61,19.48,0.0,100.0,0.18
2024-07-08,2,276,G0490,Wind,Onshore,634,90.66,17.39,0.0,100.0,0.18
2024-07-08,2,1973,LS_ES00555,LoadShed,LoadShed,550,12.45,0.0,0.0,0.0,10000.0
2024-07-08,2,21,G0742,Coal,Coal,999,44.01,0.0,0.0,0.0,14.52
2024-07-08,2,2096,LS_ES00472,LoadShed,LoadShed,469,47.29,0.0,0.0,0.0,10000.0
2024-07-08,2,83,G0413,Gas,Combined_cycle,518,320.55,0.0,0.0,0.0,24.27
2024-07-08,2,2025,LS_ES00655,LoadShed,LoadShed,649,130.35,0.0,0.0,0.0,10000.0
2024-07-08,2,1540,BESS_ES00652,Battery,Li-Ion,646,0.0,0.0,0.0,99.9,0.0
2024-07-08,2,871,G0912,Hydro,reservoir,1220,255.36,0.0,0.0,0.0,24.22
2024-07-08,2,1615,BESS_ES00823,Battery,Li-Ion,814,0.0,0.0,0.0,99.9,0.0
2024-07-08,2,2437,LS_ES01173,LoadShed,LoadShed,1153,0.43,0.0,0.0,0.0,10000.0
2024-07-08,2,2606,LS_ES00232,LoadShed,LoadShed,229,19.97,0.0,0.0,0.0,10000.0
2024-07-08,2,2276,LS_ES00931,LoadShed,LoadShed,920,12.95,0.0,0.0,0.0,10000.0
2024-07-08,2,751,G0757,Solar,PV,1035,127.3,3.84,0.0,100.0,0.0
2024-07-08,2,1070,NEW_GasOCGT_ES613_3,Gas,Gas_turbine,391,4.84,0.0,0.0,0.0,31.72
2024-07-08,2,1019,NEW_GasOCGT_ES421_3,Gas,Gas_turbine,633,13.46,0.0,0.0,0.0,31.72
2024-07-08,2,1334,BESS_ES00324,Battery,Li-Ion,321,0.0,0.0,0.0,99.9,0.0
2024-07-08,2,2001,LS_ES00370,LoadShed,LoadShed,367,123.82,0.0,0.0,0.0,10000.0
2024-07-08,2,2752,LS_ES00804,LoadShed,LoadShed,795,0.51,0.0,0.0,0.0,10000.0
2024-07-08,2,2548,LS_ES01254,LoadShed,LoadShed,1231,54.79,0.0,0.0,0.0,10000.0
2024-07-08,2,1882,LS_ES00657,LoadShed,LoadShed,651,10.18,0.0,0.0,0.0,10000.0
2024-07-08,2,1468,BESS_ES00545,Battery,Li-Ion,540,0.01,0.01,0.0,100.0,0.0
2024-07-08,2,117,G0117,Gas,Gas_turbine,187,54.73,0.0,0.0,0.0,31.72
2024-07-08,2,1166,BESS_ES00029,Battery,Li-Ion,29,112.66,-71.6,0.0,-63.6,0.0
2024-07-08,2,852,G0233,Hydro,reservoir,323,515.34,0.0,0.0,0.0,24.22
2024-07-08,2,2539,LS_ES00151,LoadShed,LoadShed,148,48.9,0.0,0.0,0.0,10000.0
2024-07-08,2,176,G0124,Wind,Onshore,192,11.91,2.28,0.0,100.0,0.18
2024-07-08,2,1231,BESS_ES00132,Battery,Li-Ion,132,0.0,-0.0,0.0,-100.0,0.0
2024-07-08,2,1758,BESS_ES01088,Battery,Li-Ion,1072,9.68,1.24,0.0,12.8,0.0
2024-07-08,2,1675,BESS_ES00929,Battery,Li-Ion,918,0.03,0.03,0.0,100.0,0.0
2024-07-08,2,1939,LS_ES00560,LoadShed,LoadShed,555,5.89,0.0,0.0,0.0,10000.0
2024-07-08,2,1720,BESS_ES01016,Battery,Li-Ion,1002,1.6,1.6,0.0,100.0,0.0
2024-07-08,2,2863,LS_ES01134,LoadShed,LoadShed,1116,18.17,0.0,0.0,0.0,10000.0
2024-07-08,2,249,G0429,Wind,Onshore,533,23.81,4.57,0.0,100.0,0.18
2024-07-08,2,2179,LS_ES00530,LoadShed,LoadShed,525,12.64,0.0,0.0,0.0,10000.0
2024-07-08,2,1290,BESS_ES00226,Battery,Li-Ion,223,0.0,0.0,0.0,99.8,0.0
2024-07-08,2,1220,BESS_ES00104,Battery,Li-Ion,104,7.28,7.28,0.0,100.0,0.0
2024-07-08,2,966,G0860,Solar,Solar Thermal,1161,30.04,0.91,0.0,100.0,0.0
2024-07-08,2,2628,LS_ES00711,LoadShed,LoadShed,704,5.25,0.0,0.0,0.0,10000.0
2024-07-08,2,1923,LS_ES00517,LoadShed,LoadShed,514,23.58,0.0,0.0,0.0,10000.0
2024-07-08,2,1132,NEW_Waste_ES213_2,Waste,Waste,1081,19.61,19.61,0.0,100.0,2.95
2024-07-08,2,1997,LS_ES01195,LoadShed,LoadShed,1175,60.43,0.0,0.0,0.0,10000.0
2024-07-08,2,1942,LS_ES00906,LoadShed,LoadShed,897,39.62,0.0,0.0,0.0,10000.0
2024-07-08,2,1110,NEW_BioCCS_ES120_1,Biomass,BioCCS,171,245.87,0.0,0.0,0.0,91.45
2024-07-08,2,1969,LS_ES00368,LoadShed,LoadShed,365,7.74,0.0,0.0,0.0,10000.0
2024-07-08,2,1460,BESS_ES00533,Battery,Li-Ion,528,0.0,0.0,0.0,99.9,0.0
2024-07-08,2,2707,LS_ES00910,LoadShed,LoadShed,901,17.87,0.0,0.0,0.0,10000.0
2024-07-08,2,641,G0498,Solar,PV,643,544.99,16.45,0.0,100.0,0.0
2024-07-08,2,1085,NEW_GasOCGT_ES242_3,Gas,Gas_turbine,1141,17.77,0.0,0.0,0.0,31.72
2024-07-08,2,1356,BESS_ES00354,Battery,Li-Ion,351,321.13,1.13,0.0,0.4,0.0
2024-07-08,2,1361,BESS_ES00365,Battery,Li-Ion,362,0.01,0.01,0.0,100.0,0.0
2024-07-08,2,717,G0669,Solar,PV,892,47.39,1.43,0.0,100.0,0.0
2024-07-08,2,2453,LS_ES00716,LoadShed,LoadShed,709,24.22,0.0,0.0,0.0,10000.0
2024-07-08,2,61,G0261,Gas,Combined_cycle,344,299.73,0.0,0.0,0.0,24.27
2024-07-08,2,247,G0422,Wind,Onshore,527,108.75,20.85,0.0,100.0,0.18
2024-07-08,2,611,G0409,Solar,PV,515,742.39,22.41,0.0,100.0,0.0
2024-07-08,2,1949,LS_ES01020,LoadShed,LoadShed,1006,25.16,0.0,0.0,0.0,10000.0
2024-07-08,2,1836,LS_ES00450,LoadShed,LoadShed,447,90.31,0.0,0.0,0.0,10000.0
2024-07-08,2,2126,LS_ES01097,LoadShed,LoadShed,1081,128.06,0.0,0.0,0.0,10000.0
2024-07-08,2,1704,BESS_ES00987,Battery,Li-Ion,976,5.61,1.39,0.0,24.7,0.0
2024-07-08,2,2220,LS_ES00331,LoadShed,LoadShed,328,5.22,0.0,0.0,0.0,10000.0
2024-07-08,2,1285,BESS_ES00220,Battery,Li-Ion,217,0.01,0.01,0.0,100.0,0.0
2024-07-08,2,1807,BESS_ES01188,Battery,Li-Ion,1168,0.0,0.0,0.0,99.9,0.0
