from,to,initial_mw,installed_mw,factor,n_lines,kind,note
ES418,ES419,15953.2271681939,15953.227251667051,1.0000000052323677,13,intra,
ES511,ES514,15953.2271681939,15953.227206106087,1.0000000023764588,14,intra,
ES521,ES620,14478.5591106297,14478.5591713051,1.0000000041907071,9,intra,
ES431,ES618,14158.93818624345,14158.93820532367,1.0000000013475743,6,intra,
ES242,ES243,12691.0826772186,12691.082716366709,1.0000000030846943,10,intra,
ES431,ES432,11330.4942054315,11330.494273497834,1.000000006007358,8,intra,
ES300,ES432,10724.8586004664,10724.858640427337,1.0000000037260106,6,intra,
ES615,ES618,9466.12981039651,9466.12985744503,1.000000004970196,8,intra,
ES612,ES618,9116.12981039651,9116.12984517359,1.0000000038148953,8,intra,
ES242,ES522,8937.3821670554,8937.382221429954,1.0000000060839465,5,intra,
ES220,ES230,8803.32143454957,8803.32147604593,1.0000000047137163,3,intra,
ES113,Portugal,8666.90573364432,8666.90573364432,1.0,0,xborder,cross-border: enters the chain as zonal NTC; bus-grid border flows stay the fixed crossborder.csv schedule
ES413,ES418,8133.01777202042,8133.017811796235,1.0000000048906588,6,intra,
ES511,ES513,8094.65337698543,8094.6534113928665,1.0000000042506374,7,intra,
ES415,ES419,7820.20939617348,7820.209451464125,1.0000000070702257,8,intra,
ES111,ES112,7641.46175283237,7641.461841975415,1.000000011665706,5,intra,
ES511,ES512,7392.42930023324,7392.429322812734,1.0000000030544078,3,intra,
ES113,ES114,6863.73296276239,6863.732992716369,1.0000000043640944,7,intra,
ES113,ES419,6618.06490519825,6618.064918722451,1.000000002043528,5,intra,
ES612,ES617,6524.28898195044,6524.289013491307,1.0000000048343762,8,intra,
ES413,ES414,6345.54133860933,6345.541373091299,1.000000005434047,4,intra,
ES613,ES616,6345.54133860933,6345.54136887123,1.000000004769002,5,intra,
ES300,ES423,6036.50888601021,6036.508925930702,1.0000000066131756,3,intra,
ES416,ES418,5853.98531942129,5853.985368493764,1.0000000083827463,4,intra,
ES120,ES413,5853.98531942129,5853.985350472485,1.000000005304283,3,intra,
ES414,ES415,5817.476433411081,5817.476446499469,1.0000000022498394,1,intra,
ES412,ES414,5541.17694357435,5541.176974408469,1.0000000055645433,8,intra,
ES421,ES423,5514.95286682216,5514.952882147268,1.0000000027788285,2,intra,
ES300,ES416,5362.42930023324,5362.429325529361,1.0000000047172877,3,intra,
ES611,ES620,5362.42930023324,5362.429324477433,1.0000000045211213,3,intra,
ES130,ES213,5362.42930023324,5362.4293190623475,1.000000003511302,2,intra,
ES212,ES213,5049.6209243863,5049.6209511089355,1.0000000052920082,5,intra,
ES111,ES114,5049.6209243863,5049.620950448961,1.0000000051613103,5,intra,
ES414,ES418,5049.6209243863,5049.620950309421,1.0000000051336764,6,intra,
ES243,ES514,5049.6209243863,5049.620947759071,1.0000000046286188,3,intra,
ES120,ES130,5049.6209243863,5049.620946971695,1.000000004472691,3,intra,
ES522,ES523,4896.43835096491,4896.438371205954,1.0000000041338302,8,intra,
ES211,ES414,4867.476433411081,4867.476448507403,1.0000000031014677,1,intra,
ES211,ES212,4558.06490519825,4558.064924799986,1.0000000043004513,4,intra,
ES300,ES424,4558.06490519825,4558.064917446401,1.0000000026871383,4,intra,
ES220,ES243,4279.03245259912,4279.0324673409905,1.000000003445141,2,intra,
ES613,ES618,4066.50888601021,4066.508909411633,1.0000000057546714,5,intra,
ES422,ES616,4066.50888601021,4066.5089070530607,1.0000000051746722,3,intra,
ES423,ES424,4066.50888601021,4066.508906432778,1.0000000050221378,3,intra,
ES112,ES413,4066.50888601021,4066.5089034825505,1.000000004296644,3,intra,
ES521,ES523,4066.50888601021,4066.5088948136463,1.0000000021648634,4,intra,
ES112,ES120,4027.47643341108,4027.4764472679904,1.0000000034405938,1,intra,
ES300,ES425,3579.33611512828,3579.336132414864,1.0000000048295503,6,intra,
ES413,ES419,3574.95286682216,3574.952889107318,1.0000000062336927,2,intra,
ES415,ES432,3574.95286682216,3574.9528864039903,1.0000000054775073,2,intra,
ES423,ES523,3574.95286682216,3574.9528860766472,1.0000000053859415,2,intra,
ES243,ES424,3574.95286682216,3574.952885529471,1.0000000052328832,2,intra,border mismatch: applied to ES417-ES424 lines
ES300,ES418,3574.95286682216,3574.952882348673,1.0000000043431378,2,intra,
ES422,ES431,3574.95286682216,3574.952881370083,1.0000000040694028,2,intra,
ES421,ES620,3574.95286682216,3574.9528776294824,1.0000000030230671,2,intra,
ES241,ES243,3440.89213431633,3440.892153042813,1.0000000054423335,5,intra,
ES211,ES412,3262.14449097522,3262.1445004908464,1.000000002916985,5,intra,
ES243,ES513,3108.96191755383,3108.9619374047584,1.0000000063850665,5,intra,
ES512,France,2859.96229345773,2859.96229345773,1.0,0,xborder,cross-border: enters the chain as zonal NTC; bus-grid border flows stay the fixed crossborder.csv schedule
ES614,ES617,2770.58847178717,2770.588491709006,1.000000007190471,3,intra,
ES113,ES413,2770.58847178717,2770.5884859192297,1.000000005100743,4,intra,
ES611,ES614,2770.58847178717,2770.5884852275813,1.0000000048511035,3,intra,
ES243,ES417,2770.58847178717,2770.5884821293007,1.0000000037328283,5,intra,
ES241,ES513,1873.112038376094,2532.4588337963664,1.3520060636585824,2,intra,
ES212,France,2290.20418030794,2290.20418030794,1.0,0,xborder,cross-border: enters the chain as zonal NTC; bus-grid border flows stay the fixed crossborder.csv schedule
ES130,ES413,2279.03245259912,2279.0324652642403,1.0000000055572356,0,intra,no physical line found between regions
ES230,ES412,2279.03245259912,2279.032461613846,1.0000000039555057,1,intra,
ES422,ES432,2140.0,2140.0000097165484,1.0000000045404431,0,intra,no physical line found between regions
