tech,region,existing_mw,target_mw,factor,new_units,new_mw
Bio,ES111,100.0,120.4712563441073,1.2047125634410731,0,0.0
Bio,ES120,77.0,92.76292569925826,1.2047133207695877,0,0.0
Bio,ES213,57.0,68.66850666093625,1.2047106431743202,0,0.0
Bio,ES220,30.0,36.14162843019911,1.2047209476733038,0,0.0
Bio,ES413,50.0,60.236047605066474,1.2047209521013296,0,0.0
Bio,ES422,50.0,60.236047597962724,1.2047209519592545,0,0.0
Bio,ES532,38.0,45.77872450466559,1.2047032764385681,0,0.0
Bio,ES615,91.0,109.62868289260858,1.2047108010176768,0,0.0
Bio CCS,ES120,0.0,420.0129802286547,0.0,3,420.0129802286547
Bio CCS,ES300,0.0,1144.7353563678,0.0,3,1144.7353563677998
Bio CCS,ES511,0.0,531.2835542273742,0.0,3,531.2835542273742
Bio CCS,ES613,0.0,297.47453443327515,0.0,3,297.47453443327515
Bio CCS,ES614,0.0,237.08255025684517,0.0,3,237.08255025684508
Coal,ES111,735.0,646.9291877341803,0.8801757656247352,0,0.0
Coal,ES120,1316.0,1158.3121675259927,0.8801764190926996,0,0.0
Coal,ES532,260.0,228.8460061888706,0.8801769468802716,0,0.0
Coal,ES612,589.0,518.4236520352524,0.8801759796863369,0,0.0
Gas CCGT,ES111,1272.0,946.0320185870662,0.7437358636690772,0,0.0
Gas CCGT,ES120,878.0,653.0005153852343,0.7437363500970777,0,0.0
Gas CCGT,ES130,40.0,29.749166017257412,0.7437291504314353,0,0.0
Gas CCGT,ES211,47.0,34.95575176295957,0.7437393992119058,0,0.0
Gas CCGT,ES212,50.0,37.18666676819829,0.7437333353639659,0,0.0
Gas CCGT,ES213,1967.0,1462.9291155450774,0.7437362051576397,0,0.0
Gas CCGT,ES220,1222.0,1492.6782821356383,1.2215043225332556,0,0.0
Gas CCGT,ES230,806.0,15.618081853250137,0.019377272770781807,0,0.0
Gas CCGT,ES242,825.0,18.593752252175264,0.0225378815177882,0,0.0
Gas CCGT,ES243,1234.0,1512.7590319863434,1.2258987293244274,0,0.0
Gas CCGT,ES300,102.0,75.86116903220979,0.7437369512961743,0,0.0
Gas CCGT,ES412,32.0,23.79950030673865,0.7437343845855828,0,0.0
Gas CCGT,ES414,50.0,37.186666768072016,0.7437333353614403,0,0.0
Gas CCGT,ES417,23.0,17.105917036980316,0.7437355233469702,0,0.0
Gas CCGT,ES418,46.0,34.21183399075069,0.7437355215380584,0,0.0
Gas CCGT,ES423,23.0,17.105917050435288,0.7437355239319691,0,0.0
Gas CCGT,ES425,759.0,564.4960980902827,0.7437366246248783,0,0.0
Gas CCGT,ES511,2641.0,1964.207292921349,0.7437361957294014,0,0.0
Gas CCGT,ES512,25.0,18.593752506061435,0.7437501002424574,0,0.0
Gas CCGT,ES514,1291.0,960.1631028347246,0.743735943326665,0,0.0
Gas CCGT,ES522,1666.0,1239.0643599620732,0.7437361104214125,0,0.0
Gas CCGT,ES523,1233.0,917.026770204069,0.7437362288759684,0,0.0
Gas CCGT,ES532,994.0,739.2740176002998,0.7437364362176054,0,0.0
