unit_id,bus_id,region,primary_fuel,technology,cap_2024_mw,factor,cap_scen_mw
G0001,ES00007,ES612,Solar,PV,161.0,4.4348474800916415,714.0104442947543
G0090,ES00157,ES413,Biomass,Biomass,50.0,1.2047209521013296,60.23604760506648
G0190,ES00287,ES532,Biomass,Biomass,38.0,1.2047032764385681,45.77872450466559
G0315,ES00399,ES422,Biomass,Biomass,50.0,1.2047209519592545,60.236047597962724
G0443,ES00553,ES120,Biomass,Biomass,37.0,1.2047133207695877,44.574392868474746
G0445,ES00553,ES120,Biomass,Biomass,40.0,1.2047133207695877,48.18853283078351
G0455,ES00570,ES111,Biomass,Biomass,50.0,1.2047125634410731,60.23562817205366
G0567,ES00740,ES220,Biomass,Biomass,30.0,1.2047209476733038,36.14162843019911
G0704,ES00960,ES111,Biomass,Biomass,50.0,1.2047125634410731,60.23562817205366
G0746,ES01032,ES213,Biomass,Biomass,57.0,1.2047106431743202,68.66850666093625
G0845,ES01171,ES615,Biomass,Biomass,50.0,1.2047108010176768,60.23554005088384
G0846,ES01171,ES615,Biomass,Biomass,41.0,1.2047108010176768,49.393142841724746
G0039,ES00072,ES111,Coal,Coal,366.0,0.8801757656247352,322.14433021865307
G0040,ES00072,ES111,Coal,Coal,369.0,0.8801757656247352,324.7848575155273
G0058,ES00101,ES120,Coal,Coal,556.0,0.8801764190926996,489.378089015541
G0059,ES00101,ES120,Coal,Coal,360.0,0.8801764190926996,316.86351087337187
G0109,ES00187,ES612,Coal,Coal,589.0,0.8801759796863369,518.4236520352524
G0204,ES00291,ES532,Coal,Coal,130.0,0.8801769468802716,114.4230030944353
G0206,ES00291,ES532,Coal,Coal,130.0,0.8801769468802716,114.4230030944353
G0446,ES00558,ES120,Coal,Coal,350.0,0.8801764190926996,308.0617466824449
G0742,ES01013,ES120,Coal,Coal,50.0,0.8801764190926996,44.00882095463498
G0004,ES00007,ES612,Gas,Combined_cycle,389.0,0.7437361094498965,289.31334657600974
G0005,ES00007,ES612,Gas,Combined_cycle,373.0,0.7437361094498965,277.4135688248114
G0006,ES00007,ES612,Gas,Combined_cycle,823.0,0.7437361094498965,612.0948180772649
G0041,ES00072,ES111,Gas,Combined_cycle,856.0,0.7437358636690772,636.63789930073
G0045,ES00080,ES242,Gas,Combined_cycle,800.0,0.0225378815177882,18.03030521423056
G0065,ES00117,ES523,Gas,Combined_cycle,412.0,0.7437362288759684,306.419326296899
G0066,ES00117,ES523,Gas,Combined_cycle,411.0,0.7437362288759684,305.675590068023
G0067,ES00117,ES523,Gas,Combined_cycle,410.0,0.7437362288759684,304.93185383914704
G0077,ES00136,ES230,Gas,Combined_cycle,395.0,0.019377272770781807,7.654022744458814
G0078,ES00136,ES230,Gas,Combined_cycle,390.0,0.019377272770781807,7.557136380604905
G0085,ES00153,ES220,Gas,Combined_cycle,425.0,1.2215043225332556,519.1393370766336
G0086,ES00153,ES220,Gas,Combined_cycle,379.0,1.2215043225332556,462.95013824010385
G0088,ES00153,ES220,Gas,Combined_cycle,418.0,1.2215043225332556,510.5888068189008
G0107,ES00187,ES612,Gas,Combined_cycle,390.0,0.7437361094498965,290.05708268545965
G0108,ES00187,ES612,Gas,Combined_cycle,402.0,0.7437361094498965,298.9819159988584
G0111,ES00190,ES612,Gas,Combined_cycle,36.0,0.7437361094498965,26.774499940196275
G0113,ES00190,ES612,Gas,Combined_cycle,821.0,0.7437361094498965,610.6073458583651
G0114,ES00190,ES612,Gas,Combined_cycle,393.0,0.7437361094498965,292.2882910138093
G0115,ES00190,ES612,Gas,Combined_cycle,388.0,0.7437361094498965,288.5696104665599
G0140,ES00212,ES511,Gas,Combined_cycle,25.0,0.7437361957294014,18.593404893235036
G0145,ES00222,ES211,Gas,Combined_cycle,47.0,0.7437393992119058,34.95575176295957
G0168,ES00267,ES522,Gas,Combined_cycle,782.0,0.7437361104214125,581.6016383495446
G0169,ES00267,ES522,Gas,Combined_cycle,858.0,0.7437361104214125,638.125582741572
G0170,ES00267,ES522,Gas,Combined_cycle,26.0,0.7437361104214125,19.337138870956725
G0171,ES00269,ES243,Gas,Combined_cycle,804.0,1.2258987293244274,985.6225783768397
G0172,ES00269,ES243,Gas,Combined_cycle,275.0,1.2258987293244274,337.1221505642176
G0176,ES00273,ES130,Gas,Combined_cycle,40.0,0.7437291504314353,29.749166017257412
G0184,ES00281,ES243,Gas,Combined_cycle,21.0,1.2258987293244274,25.743873315812976
G0189,ES00287,ES532,Gas,Combined_cycle,233.0,0.7437364362176054,173.29058963870207
G0192,ES00287,ES532,Gas,Combined_cycle,226.0,0.7437364362176054,168.08443458517883
G0209,ES00300,ES243,Gas,Combined_cycle,43.0,1.2258987293244274,52.71364536095038
G0210,ES00303,ES243,Gas,Combined_cycle,41.0,1.2258987293244274,50.261847902301525
G0211,ES00303,ES243,Gas,Combined_cycle,50.0,1.2258987293244274,61.29493646622137
G0255,ES00347,ES620,Gas,Combined_cycle,418.0,0.7437362234540594,310.88174140379687
G0256,ES00347,ES620,Gas,Combined_cycle,401.0,0.7437362234540594,298.23822560507784
G0257,ES00347,ES620,Gas,Combined_cycle,395.0,0.7437362234540594,293.7758082643535
G0258,ES00347,ES620,Gas,Combined_cycle,816.0,0.7437362234540594,606.8887583385125
G0259,ES00347,ES620,Gas,Combined_cycle,418.0,0.7437362234540594,310.88174140379687
G0260,ES00347,ES620,Gas,Combined_cycle,22.0,0.7437362234540594,16.36219691598931
G0261,ES00347,ES620,Gas,Combined_cycle,403.0,0.7437362234540594,299.72569805198594
G0262,ES00347,ES620,Gas,Combined_cycle,413.0,0.7437362234540594,307.16306028652656
G0263,ES00347,ES620,Gas,Combined_cycle,45.0,0.7437362234540594,33.468130055432674
G0264,ES00347,ES620,Gas,Combined_cycle,42.0,0.7437362234540594,31.236921385070495
G0284,ES00370,ES514,Gas,Combined_cycle,414.0,0.743735943326665,307.9066805372393
G0286,ES00370,ES514,Gas,Combined_cycle,420.0,0.743735943326665,312.3690961971993
G0308,ES00393,ES423,Gas,Combined_cycle,23.0,0.7437355239319691,17.105917050435288
G0314,ES00399,ES422,Oil,Combined_cycle,70.0,2.4545240541237328,171.8166837886613
G0329,ES00422,ES511,Gas,Combined_cycle,46.0,0.7437361957294014,34.21186500355247
G0334,ES00427,ES111,Gas,Combined_cycle,391.0,0.7437358636690772,290.8007226946092
G0335,ES00428,ES111,Oil,Combined_cycle,80.0,2.4545226465811654,196.36181172649322
G0346,ES00448,ES514,Gas,Combined_cycle,417.0,0.743735943326665,310.1378883672193
G0373,ES00477,ES615,Gas,Combined_cycle,391.0,0.7437363463197462,290.80091141102076
G0376,ES00478,ES615,Gas,Combined_cycle,83.0,0.7437363463197462,61.73011674453893
G0377,ES00478,ES615,Gas,Combined_cycle,391.0,0.7437363463197462,290.80091141102076
G0378,ES00478,ES615,Gas,Combined_cycle,389.0,0.7437363463197462,289.31343871838124
G0379,ES00478,ES615,Gas,Combined_cycle,387.0,0.7437363463197462,287.82596602574176
G0380,ES00478,ES615,Gas,Combined_cycle,28.0,0.7437363463197462,20.824617696952892
G0385,ES00490,ES425,Gas,Combined_cycle,386.0,0.7437366246248783,287.082337105203
G0386,ES00490,ES425,Gas,Combined_cycle,373.0,0.7437366246248783,277.4137609850796
G0408,ES00518,ES616,Gas,Combined_cycle,26.0,0.7437243200433541,19.336832321127208
G0412,ES00521,ES511,Gas,Combined_cycle,435.0,0.7437361957294014,323.52524514228963
G0413,ES00521,ES511,Gas,Combined_cycle,431.0,0.7437361957294014,320.550300359372
G0441,ES00553,ES120,Gas,Combined_cycle,24.0,0.7437363500970777,17.849672402329865
G0447,ES00558,ES120,Gas,Combined_cycle,426.0,0.7437363500970777,316.83168514135514
G0448,ES00558,ES120,Gas,Combined_cycle,428.0,0.7437363500970777,318.31915784154927
G0456,ES00570,ES111,Gas,Combined_cycle,25.0,0.7437358636690772,18.59339659172693
G0459,ES00578,ES212,Gas,Combined_cycle,50.0,0.7437333353639659,37.18666676819829
G0461,ES00583,ES213,Gas,Combined_cycle,396.0,0.7437362051576397,294.5195372424253
G0462,ES00585,ES213,Gas,Combined_cycle,785.0,0.7437362051576397,583.8329210487472
G0523,ES00683,ES532,Gas,Combined_cycle,25.0,0.7437364362176054,18.593410905440138
G0528,ES00683,ES532,Gas,Combined_cycle,25.0,0.7437364362176054,18.593410905440138
G0530,ES00683,ES532,Gas,Combined_cycle,25.0,0.7437364362176054,18.593410905440138
G0546,ES00708,ES418,Gas,Combined_cycle,46.0,0.7437355215380584,34.21183399075069
G0552,ES00713,ES414,Gas,Combined_cycle,50.0,0.7437333353614403,37.186666768072016
G0565,ES00737,ES512,Gas,Combined_cycle,25.0,0.7437501002424574,18.593752506061435
G0586,ES00784,ES532,Gas,Combined_cycle,230.0,0.7437364362176054,171.05938033004924
G0587,ES00784,ES532,Gas,Combined_cycle,230.0,0.7437364362176054,171.05938033004924
G0627,ES00843,ES514,Gas,Combined_cycle,40.0,0.743735943326665,29.7494377330666
G0686,ES00918,ES300,Gas,Combined_cycle,25.0,0.7437369512961743,18.593423782404358
G0697,ES00933,ES614,Gas,Combined_cycle,49.0,0.7437295791198295,36.442749376871646
G0736,ES00998,ES511,Gas,Combined_cycle,33.0,0.7437361957294014,24.543294459070246
G0745,ES01025,ES213,Gas,Combined_cycle,786.0,0.7437362051576397,584.5766572539048
G0749,ES01038,ES230,Gas,Combined_cycle,21.0,0.019377272770781807,0.40692272818641795
G0754,ES01047,ES130,Oil,Combined_cycle,76.0,2.454521091217372,186.5436029325203
G0780,ES01089,ES617,Gas,Combined_cycle,416.0,0.7437364000618624,309.39434242573475
G0788,ES01113,ES511,Gas,Combined_cycle,412.0,0.7437361957294014,306.4193126405134
G0789,ES01113,ES511,Gas,Combined_cycle,400.0,0.7437361957294014,297.4944782917606
G0790,ES01113,ES511,Gas,Combined_cycle,859.0,0.7437361957294014,638.8693921315559
G0802,ES01131,ES412,Gas,Combined_cycle,32.0,0.7437343845855828,23.79950030673865
G0814,ES01141,ES417,Gas,Combined_cycle,23.0,0.7437355233469702,17.105917036980316
G0818,ES01144,ES620,Gas,Combined_cycle,95.0,0.7437362234540594,70.65494122813564
G0910,ES01240,ES300,Gas,Combined_cycle,34.0,0.7437369512961743,25.287056344069928
G0911,ES01240,ES300,Gas,Combined_cycle,43.0,0.7437369512961743,31.980688905735498
G0110,ES00190,ES612,Gas,Gas_turbine,45.0,1.3347893788299168,60.065522047346256
G0112,ES00190,ES612,Gas,Gas_turbine,74.0,1.3347893788299168,98.77441403341385
G0117,ES00190,ES612,Gas,Gas_turbine,41.0,1.3347893788299168,54.72636453202659
G0195,ES00290,ES532,Gas,Gas_turbine,52.0,0.13249498380848287,6.88973915804111
G0197,ES00290,ES532,Gas,Gas_turbine,52.0,0.13249498380848287,6.88973915804111
G0198,ES00290,ES532,Gas,Gas_turbine,39.0,0.13249498380848287,5.167304368530832
G0200,ES00290,ES532,Gas,Gas_turbine,38.0,0.13249498380848287,5.034809384722349
G0201,ES00290,ES532,Gas,Gas_turbine,45.0,0.13249498380848287,5.962274271381729
G0202,ES00291,ES532,Gas,Gas_turbine,38.0,0.13249498380848287,5.034809384722349
G0203,ES00291,ES532,Gas,Gas_turbine,38.0,0.13249498380848287,5.034809384722349
G0338,ES00438,ES513,Gas,Gas_turbine,23.0,1.2900923068384336,29.672123057283972
G0503,ES00655,ES514,Gas,Gas_turbine,65.0,1.0960622894211562,71.24404881237515
G0504,ES00655,ES514,Gas,Gas_turbine,85.0,1.0960622894211562,93.16529460079828
G0526,ES00683,ES532,Gas,Gas_turbine,25.0,0.13249498380848287,3.312374595212072
