date,hour,status,objective_eur_h,total_gen_mw,total_load_mw,load_shed_mw,mismatch_mw
2024-07-08,0,INFEASIBLE,NaN,NaN,39174.24578773326,NaN,NaN
2024-07-08,1,INFEASIBLE,NaN,NaN,37177.81795906988,NaN,NaN
2024-07-08,2,OPTIMAL,75944.73,35140.1,35140.1,0.0,0.0
2024-07-08,3,INFEASIBLE,NaN,NaN,34455.41587468226,NaN,NaN
2024-07-08,4,INFEASIBLE,NaN,NaN,33901.96842488963,NaN,NaN
2024-07-08,5,INFEASIBLE,NaN,NaN,34513.73797756599,NaN,NaN
2024-07-08,6,INFEASIBLE,NaN,NaN,38432.07354126399,NaN,NaN
2024-07-08,7,INFEASIBLE,NaN,NaN,42169.09367008673,NaN,NaN
2024-07-08,8,OPTIMAL,127763.55,45654.3,45654.3,0.0,0.0
2024-07-08,9,OPTIMAL,406714.9,51196.1,51220.5,24.5,-0.0
2024-07-08,10,OPTIMAL,1.07161308e6,55328.3,55411.9,83.6,-0.0
2024-07-08,11,OPTIMAL,1.82312647e6,58841.6,58997.8,156.2,-0.0
2024-07-08,12,INFEASIBLE,NaN,NaN,61479.866442245846,NaN,NaN
2024-07-08,13,OPTIMAL,2.62079267e6,62220.6,62453.9,233.3,0.0
2024-07-08,14,OPTIMAL,2.75485762e6,62857.4,63106.9,249.5,-0.0
2024-07-08,15,OPTIMAL,2.89451966e6,63228.2,63487.5,259.3,-0.0
2024-07-08,16,OPTIMAL,2.79534028e6,62869.1,63118.2,249.2,-0.0
2024-07-08,17,OPTIMAL,2.32532059e6,61396.9,61603.9,207.0,0.0
2024-07-08,18,OPTIMAL,1.8952653e6,59696.7,59864.1,167.4,-0.0
2024-07-08,19,OPTIMAL,1.15777004e6,56215.2,56310.7,95.5,-0.0
2024-07-08,20,OPTIMAL,540958.81,53454.4,53493.2,38.8,0.0
2024-07-08,21,OPTIMAL,333140.7,50344.3,50364.0,19.7,0.0
2024-07-08,22,LOCALLY_SOLVED,261813.23,48998.2,49010.4,12.2,-0.0
2024-07-08,23,INFEASIBLE,NaN,NaN,46857.04563265286,NaN,NaN
2024-12-02,0,INFEASIBLE,NaN,NaN,37643.35347580824,NaN,NaN
2024-12-02,1,INFEASIBLE,NaN,NaN,35999.45740418526,NaN,NaN
2024-12-02,2,INFEASIBLE,NaN,NaN,35413.0576869413,NaN,NaN
2024-12-02,3,INFEASIBLE,NaN,NaN,34463.844274573916,NaN,NaN
2024-12-02,4,INFEASIBLE,NaN,NaN,34183.81415630921,NaN,NaN
2024-12-02,5,INFEASIBLE,NaN,NaN,34351.747624314834,NaN,NaN
2024-12-02,6,INFEASIBLE,NaN,NaN,37713.48568283045,NaN,NaN
2024-12-02,7,INFEASIBLE,NaN,NaN,44913.463171978205,NaN,NaN
2024-12-02,8,INFEASIBLE,NaN,NaN,48390.6000449308,NaN,NaN
2024-12-02,9,INFEASIBLE,NaN,NaN,51456.17182709493,NaN,NaN
2024-12-02,10,INFEASIBLE,NaN,NaN,52309.24837675472,NaN,NaN
2024-12-02,11,INFEASIBLE,NaN,NaN,52905.79125625957,NaN,NaN
2024-12-02,12,INFEASIBLE,NaN,NaN,53039.317832235734,NaN,NaN
2024-12-02,13,INFEASIBLE,NaN,NaN,53587.03039889325,NaN,NaN
2024-12-02,14,INFEASIBLE,NaN,NaN,53620.46062590875,NaN,NaN
2024-12-02,15,INFEASIBLE,NaN,NaN,51548.21486220226,NaN,NaN
2024-12-02,16,INFEASIBLE,NaN,NaN,50578.881586092975,NaN,NaN
2024-12-02,17,INFEASIBLE,NaN,NaN,51691.67759801771,NaN,NaN
2024-12-02,18,INFEASIBLE,NaN,NaN,53145.74783109212,NaN,NaN
2024-12-02,19,INFEASIBLE,NaN,NaN,54422.97761646744,NaN,NaN
2024-12-02,20,INFEASIBLE,NaN,NaN,55745.47541979949,NaN,NaN
2024-12-02,21,INFEASIBLE,NaN,NaN,55236.63077624493,NaN,NaN
2024-12-02,22,INFEASIBLE,NaN,NaN,51055.30409137957,NaN,NaN
2024-12-02,23,INFEASIBLE,NaN,NaN,44699.43551441238,NaN,NaN
