date,hour,load_mw,solar_mw,wind_mw
2024-07-08,0,34407.768443379355,1759.7463879407408,9017.988849280862
2024-07-08,1,32654.253472988315,2068.147153610951,9467.509737372833
2024-07-08,2,30864.466726144165,1939.8345281636387,9100.18871417805
2024-07-08,3,30263.096256153924,2351.9507222233856,8675.477295296003
2024-07-08,4,29776.988832383016,3285.760583104265,8511.789737688372
2024-07-08,5,30314.322090137503,2248.3700330953375,8517.284281814285
2024-07-08,6,33755.89907644916,1757.0505239418592,8381.630548791638
2024-07-08,7,37038.22195657578,6298.837148415923,7519.840069328932
2024-07-08,8,40099.38064796255,20842.1337173496,7114.690671017135
2024-07-08,9,44988.35075890733,43461.12025447386,6499.896611005494
2024-07-08,10,48669.74863258404,57069.69988791931,5303.036002244309
2024-07-08,11,51819.32980701368,58784.28610116967,6085.191445482455
2024-07-08,12,53999.380611868226,60811.284002311084,6896.835329832506
2024-07-08,13,54854.882217904706,61425.581940999014,8436.705442808281
2024-07-08,14,55428.46640740569,62784.65354182579,10108.713959092713
2024-07-08,15,55762.730200872415,63182.990434252075,10400.507027295042
2024-07-08,16,55438.40405445252,61492.07046215369,10749.34597533673
2024-07-08,17,54108.31173233663,56386.97017739278,12766.675941933172
2024-07-08,18,52580.1865649528,52076.3462150075,14474.838353732337
2024-07-08,19,49459.150291547216,38022.385826432495,14344.957101945622
2024-07-08,20,46984.49275352369,20889.103762024,14734.34379270163
2024-07-08,21,44236.03657226266,5759.136457469193,14579.41740374519
2024-07-08,22,43047.13447898439,2745.3246378928443,14459.164672216608
2024-07-08,23,41155.77322930941,3053.770675759728,14714.037713388374
2024-12-02,0,33063.145538170545,0.0,6883.4293008922505
2024-12-02,1,31619.26846434323,0.0,6206.03365222106
2024-12-02,2,31104.21819903572,0.0,6187.281178203245
2024-12-02,3,30270.49914103375,0.0,6744.337772539321
2024-12-02,4,30024.541337056282,0.0,7561.648958531915
2024-12-02,5,30172.041710448044,0.0,9013.38114279561
2024-12-02,6,33124.744496647465,0.0,8779.983991271463
2024-12-02,7,39448.67373287322,0.0,7214.379461494278
2024-12-02,8,42502.73432714131,2634.527715940424,5955.661880047729
2024-12-02,9,45195.306498123355,11897.48886461172,7021.57714878833
2024-12-02,10,45944.58602590848,25702.665428295553,4899.641066881341
2024-12-02,11,46468.54529689913,31949.061055030987,3538.4475378255192
2024-12-02,12,46585.82519380181,32654.353648335808,2994.4387419208324
2024-12-02,13,47066.895519168014,30607.900910833534,3090.9739376498314
2024-12-02,14,47096.258165136795,26941.402195121813,3402.4522962326128
2024-12-02,15,45276.150312091326,20428.355716892478,3398.5286026129097
2024-12-02,16,44424.75944959578,11728.306540039403,3888.845746297147
2024-12-02,17,45402.157399016214,13583.27284673877,5606.024897936062
2024-12-02,18,46679.30545570455,0.0,6808.366788306242
2024-12-02,19,47801.129904918125,0.0,6801.062073961712
2024-12-02,20,48962.71444263949,0.0,6909.173333577048
2024-12-02,21,48515.78283446129,0.0,6165.413120716584
2024-12-02,22,44843.213842615616,0.0,6422.411571979393
2024-12-02,23,39260.68762276641,0.0,6806.7298688141755
