date,hour,branch_id,branch_name,from_bus,to_bus,flow_mw,flow_mvar,limit_mw,loading_pct
2024-07-08,0,306,LTGES0220a,156,14,250.96,-166.76,2859.96,10.5
2024-07-08,0,1886,LTGES1236b,679,648,72.88,6.19,786.49,9.3
2024-07-08,0,1,LTGES0001a,1,2,-0.12,-9.93,786.49,1.3
2024-07-08,0,519,LTGES0361a,806,511,-24.37,-1.2,786.49,3.1
2024-07-08,0,2243,TR_9238fc7c,199,200,-73.13,-18.52,160.0,47.1
2024-07-08,0,788,LTGES0543b,865,436,-179.91,0.23,786.49,22.9
2024-07-08,0,1164,LTGES0766b,22,992,42.85,-0.68,786.49,5.4
2024-07-08,0,774,LTGES0535,424,430,-56.84,-1.93,393.24,14.5
2024-07-08,0,1881,LTGES1234a,448,621,-36.79,-1.83,786.49,4.7
2024-07-08,0,1907,LTGES1249b,447,1148,26.4,1.36,2859.96,0.9
2024-07-08,0,599,LTGES0415,1064,350,-181.67,-12.41,1429.98,12.7
2024-07-08,0,2057,LTGES1360a,667,57,-12.6,-9.87,786.49,2.0
2024-07-08,0,491,LTGES0340,313,303,-0.04,-1.31,393.24,0.3
2024-07-08,0,1470,LTGES0964,582,575,-146.15,12.4,393.24,37.3
2024-07-08,0,1195,LTGES0784,952,1118,274.0,-45.93,1429.98,19.4
2024-07-08,0,1377,LTGES0905b,771,567,43.32,-7.91,2859.96,1.5
2024-07-08,0,228,LTGES0163b,675,198,-6.29,-0.91,786.49,0.8
2024-07-08,0,332,LTGES0231b,254,114,88.14,3.63,786.49,11.2
2024-07-08,0,190,LTGES0139a,173,130,-34.88,-66.91,2859.96,2.6
2024-07-08,0,227,LTGES0163a,675,198,-6.29,-0.91,786.49,0.8
2024-07-08,0,980,LTGES0654a,677,142,7.77,1.38,1179.73,0.7
2024-07-08,0,1935,LTGES1267a,416,1067,37.43,-1.13,786.49,4.8
2024-07-08,0,1894,LTGES1242,494,191,-146.09,-10.46,1429.98,10.2
2024-07-08,0,1305,LTGES0859b,557,451,-206.86,8.7,786.49,26.3
2024-07-08,0,1880,LTGES1233b,647,80,144.19,18.55,2859.96,5.1
2024-07-08,0,297,LTGES0214,237,749,-65.7,118.08,1429.98,9.4
2024-07-08,0,605,LTGES0421a,353,829,3.37,-0.17,786.49,0.4
2024-07-08,0,2078,LTGES1376,904,477,-71.11,-5.9,1429.98,5.0
2024-07-08,0,1106,LTGES0730b,365,508,-52.52,-6.63,786.49,6.7
2024-07-08,0,24,LTGES0015a,13,24,167.25,11.45,786.49,21.3
2024-07-08,0,1783,LTGES1175a,909,485,135.99,15.21,786.49,17.4
2024-07-08,0,928,LTGES0624a,14,683,-61.39,17.15,2859.96,2.2
2024-07-08,0,416,LTGES0286b,153,159,-31.31,4.78,786.49,4.0
2024-07-08,0,859,LTGES0583a,882,452,167.28,-5.17,786.49,21.3
2024-07-08,0,23,LTGES0014,23,15,51.71,3.63,393.24,13.2
2024-07-08,0,160,LTGES0118,156,810,28.56,-51.19,1429.98,4.1
2024-07-08,0,1825,LTGES1201,473,1122,-39.27,-2.15,1429.98,2.8
2024-07-08,0,1863,LTGES1223a,643,645,54.17,4.85,2859.96,1.9
2024-07-08,0,1941,LTGES1270a,684,652,-59.96,16.92,2859.96,2.2
2024-07-08,0,204,LTGES0148a,726,179,-106.27,24.58,2859.96,3.8
2024-07-08,0,561,LTGES0388a,814,337,37.87,21.69,1179.73,3.7
2024-07-08,0,891,LTGES0603b,464,280,158.52,-9.09,786.49,20.2
2024-07-08,0,2208,TR_3ab3b8f1,103,104,-14.22,-2.68,160.0,9.0
2024-07-08,0,1879,LTGES1233a,647,80,144.19,18.55,2859.96,5.1
2024-07-08,0,981,LTGES0654b,677,142,7.77,1.38,1179.73,0.7
2024-07-08,0,815,LTGES0556b,446,868,-81.23,-1.26,786.49,10.3
2024-07-08,0,253,LTGES0182a,217,219,48.89,1.81,786.49,6.2
2024-07-08,0,1282,LTGES0844a,548,547,131.64,-50.46,2859.96,4.9
2024-07-08,0,916,LTGES0617,892,466,326.22,4.39,393.24,83.0
2024-07-08,0,2270,TR_d11f8e41,45,46,-125.32,-0.46,384.0,32.6
2024-07-08,0,1429,LTGES0939b,97,1009,-14.94,5.86,786.49,2.0
2024-07-08,0,1588,LTGES1045,606,1047,49.58,41.34,393.24,16.4
2024-07-08,0,843,LTGES0572a,434,863,6.19,10.58,786.49,1.6
2024-07-08,0,39,LTGES0025,39,46,141.11,-16.07,1429.98,9.9
2024-07-08,0,112,LTGES0078b,111,55,-16.51,35.37,2859.96,1.4
2024-07-08,0,791,LTGES0545a,437,439,-19.89,-5.64,786.49,2.6
2024-07-08,0,1918,LTGES1257a,88,916,2.39,8.41,786.49,1.1
2024-07-08,0,2075,LTGES1373b,696,87,1.47,-7.62,786.49,1.0
2024-07-08,0,372,LTGES0255a,235,261,-148.02,35.13,2859.96,5.3
2024-07-08,0,34,LTGES0021a,35,36,68.88,-190.93,2859.96,7.1
2024-07-08,0,1665,LTGES1098,227,1077,-52.26,-0.93,393.24,13.3
2024-07-08,0,137,LTGES0099,710,712,-40.12,-1.55,393.24,10.2
2024-07-08,0,590,LTGES0409a,271,350,-159.67,-18.24,2859.96,5.6
2024-07-08,0,55,LTGES0036,66,39,-67.5,-40.58,1429.98,5.5
2024-07-08,0,323,LTGES0227a,249,251,-8.55,-0.69,270.7,3.2
2024-07-08,0,2128,LTGES1413a,929,506,161.45,-5.42,2859.96,5.6
2024-07-08,0,17,LTGES0011a,18,1065,65.59,14.18,786.49,8.5
2024-07-08,0,243,LTGES0173a,731,963,-19.66,-0.71,786.49,2.5
2024-07-08,0,1628,LTGES1073a,1067,417,33.29,-1.95,786.49,4.2
2024-07-08,0,172,LTGES0127a,899,1043,224.2,-37.31,786.49,28.9
2024-07-08,0,333,LTGES0232a,253,113,-4.5,1.83,270.7,1.8
2024-07-08,0,363,LTGES0248,269,763,30.62,-21.53,1429.98,2.6
2024-07-08,0,2062,LTGES1362b,126,542,-81.83,148.04,2859.96,5.9
2024-07-08,0,1296,LTGES0854a,209,3,192.45,-23.35,786.49,24.6
2024-07-08,0,1721,LTGES1132b,182,627,-2.28,5.96,786.49,0.8
2024-07-08,0,2165,LTGES1443b,1236,638,208.12,12.38,2859.96,7.3
2024-07-08,0,550,LTGES0381b,817,815,-2.15,-0.2,270.7,0.8
2024-07-08,0,341,LTGES0236a,257,757,5.73,0.42,270.7,2.1
