date,hour,bus_id,vm_pu,va_deg
2024-07-08,0,ES00001,1.0,-3.458
2024-07-08,0,ES00522,1.0,0.244
2024-07-08,0,ES00797,1.0,10.507
2024-07-08,0,ES01184,1.0,7.259
2024-07-08,0,ES00783,1.0,5.458
2024-07-08,0,ES00604,1.0,-3.233
2024-07-08,0,ES00494,1.0,-0.662
2024-07-08,0,ES01215,1.0,-0.296
2024-07-08,0,ES00231,1.0,0.025
2024-07-08,0,ES00335,1.0,0.274
2024-07-08,0,ES00193,1.0,4.517
2024-07-08,0,ES00230,1.0,5.124
2024-07-08,0,ES00994,1.0,-1.994
2024-07-08,0,ES00300,1.0,4.45
2024-07-08,0,ES00610,1.0,4.112
2024-07-08,0,ES01124,1.0,-0.091
2024-07-08,0,ES00024,1.0,-2.757
2024-07-08,0,ES00939,1.0,-0.392
2024-07-08,0,ES00419,1.0,-5.572
2024-07-08,0,ES00868,1.0,2.718
2024-07-08,0,ES00023,1.0,-2.454
2024-07-08,0,ES00163,1.0,1.151
2024-07-08,0,ES00207,1.0,4.934
2024-07-08,0,ES00566,1.0,-2.727
2024-07-08,0,ES00900,1.0,5.247
2024-07-08,0,ES00995,1.0,-2.102
2024-07-08,0,ES00824,1.0,0.124
2024-07-08,0,ES00256,1.0,-0.755
2024-07-08,0,ES00927,1.0,1.827
2024-07-08,0,ES00039,1.0,-1.379
2024-07-08,0,ES00852,1.0,6.234
2024-07-08,0,ES00112,1.0,3.401
2024-07-08,0,ES00800,1.0,7.56
2024-07-08,0,ES00375,1.0,-6.096
2024-07-08,0,ES00034,1.0,1.094
2024-07-08,0,ES00140,1.0,1.154
2024-07-08,0,ES00595,1.0,-0.606
2024-07-08,0,ES00055,1.0,0.878
2024-07-08,0,ES00326,1.0,4.322
2024-07-08,0,ES00017,1.0,2.326
2024-07-08,0,ES00246,1.0,4.571
2024-07-08,0,ES00175,1.0,3.616
2024-07-08,0,ES00336,1.0,0.629
2024-07-08,0,ES00366,1.0,7.668
2024-07-08,0,ES00555,1.0,-1.804
2024-07-08,0,ES00344,1.0,-1.0
2024-07-08,0,ES00671,1.0,-1.815
2024-07-08,0,ES00923,1.0,-0.171
2024-07-08,0,ES00603,1.0,-3.844
2024-07-08,0,ES00649,1.0,2.564
2024-07-08,0,ES01066,1.0,-3.234
2024-07-08,0,ES00014,1.0,0.588
2024-07-08,0,ES00170,1.0,-0.974
2024-07-08,0,ES01141,1.0,7.005
2024-07-08,0,ES00618,1.0,-0.421
2024-07-08,0,ES00096,1.0,-2.864
2024-07-08,0,ES00459,1.0,2.954
2024-07-08,0,ES01094,1.0,-1.435
2024-07-08,0,ES00260,1.0,-0.564
2024-07-08,0,ES00513,1.0,-0.897
2024-07-08,0,ES00019,1.0,0.179
2024-07-08,0,ES00680,1.0,4.68
2024-07-08,0,ES00936,1.0,-0.3
2024-07-08,0,ES00200,1.0,2.779
2024-07-08,0,ES00404,1.0,-1.643
2024-07-08,0,ES00279,1.0,5.114
2024-07-08,0,ES00787,1.0,0.821
2024-07-08,0,ES00021,1.0,0.243
2024-07-08,0,ES00247,1.0,-1.577
2024-07-08,0,ES00083,1.0,1.004
2024-07-08,0,ES00587,1.0,-5.592
2024-07-08,0,ES01057,1.0,1.249
2024-07-08,0,ES00877,1.0,-7.447
2024-07-08,0,ES00563,1.0,0.571
2024-07-08,0,ES00880,1.0,-2.076
2024-07-08,0,ES00550,1.0,4.758
2024-07-08,0,ES00003,1.0,-5.829
2024-07-08,0,ES00081,1.0,5.673
2024-07-08,0,ES01001,1.0,0.473
2024-07-08,0,ES00975,1.0,-0.954
2024-07-08,0,ES00760,1.0,2.081
2024-07-08,0,ES01085,1.0,-1.719
2024-07-08,0,ES01189,1.0,1.032
2024-07-08,0,ES01033,1.0,-5.586
2024-07-08,0,ES00306,1.0,6.225
2024-07-08,0,ES01231,1.0,0.6
2024-07-08,0,ES00711,1.0,2.86
2024-07-08,0,ES00117,1.0,-0.169
2024-07-08,0,ES01186,1.0,-3.473
2024-07-08,0,ES01064,1.0,0.688
2024-07-08,0,ES00502,1.0,2.33
2024-07-08,0,ES01165,1.0,3.89
2024-07-08,0,ES00861,1.0,-5.828
2024-07-08,0,ES00185,1.0,0.898
2024-07-08,0,ES00179,1.0,2.385
2024-07-08,0,ES01219,1.0,7.17
2024-07-08,0,ES00903,1.0,1.047
2024-07-08,0,ES01254,1.0,-2.871
2024-07-08,0,ES01101,1.0,4.01
2024-07-08,0,ES00559,1.0,-1.858
2024-07-08,0,ES00629,1.0,9.819
2024-07-08,0,ES00252,1.0,-0.705
2024-07-08,0,ES00488,1.0,-3.186
2024-07-08,0,ES00642,1.0,-1.913
2024-07-08,0,ES00349,1.0,2.363
2024-07-08,0,ES01243,1.0,-5.577
2024-07-08,0,ES00547,1.0,2.993
2024-07-08,0,ES00644,1.0,0.68
2024-07-08,0,ES00977,1.0,-0.966
2024-07-08,0,ES00392,1.0,2.896
2024-07-08,0,ES01246,1.0,0.767
2024-07-08,0,ES01169,1.0,-1.036
2024-07-08,0,ES00222,1.0,-4.769
2024-07-08,0,ES00564,1.0,2.468
2024-07-08,0,ES01152,1.0,-0.598
2024-07-08,0,ES00206,1.0,-1.936
2024-07-08,0,ES01233,1.0,-3.091
2024-07-08,0,ES00808,1.0,1.569
2024-07-08,0,ES00160,1.0,6.432
2024-07-08,0,ES01128,1.0,0.151
2024-07-08,0,ES01063,1.0,-1.818
2024-07-08,0,ES00802,1.0,15.176
2024-07-08,0,ES00057,1.0,3.523
2024-07-08,0,ES00168,1.0,6.326
2024-07-08,0,ES00885,1.0,-8.698
2024-07-08,0,ES01091,1.0,3.061
2024-07-08,0,ES01182,1.0,0.878
2024-07-08,0,ES00984,1.0,-1.806
2024-07-08,0,ES00894,1.0,5.835
2024-07-08,0,ES00203,1.0,-0.127
2024-07-08,0,ES01178,1.0,-0.748
2024-07-08,0,ES01103,1.0,-2.793
2024-07-08,0,ES00431,1.0,-2.749
2024-07-08,0,ES00647,1.0,1.542
2024-07-08,0,ES01090,1.0,3.184
2024-07-08,0,ES00781,1.0,2.869
2024-07-08,0,ES00743,1.0,-5.522
2024-07-08,0,ES00276,1.0,2.53
2024-07-08,0,ES00726,1.0,4.022
2024-07-08,0,ES00831,1.0,0.264
2024-07-08,0,ES01155,1.0,1.217
2024-07-08,0,ES01025,1.0,-3.262
2024-07-08,0,ES00588,1.0,-5.853
2024-07-08,0,ES00061,1.0,1.047
2024-07-08,0,ES00250,1.0,-0.133
2024-07-08,0,ES00844,1.0,-1.352
2024-07-08,0,ES00460,1.0,2.871
2024-07-08,0,ES00388,1.0,0.538
2024-07-08,0,ES00616,1.0,-2.864
2024-07-08,0,ES01199,1.0,7.122
2024-07-08,0,ES01006,1.0,-2.911
2024-07-08,0,ES00056,1.0,3.367
2024-07-08,0,ES00533,1.0,1.461
2024-07-08,0,ES00441,1.0,3.541
2024-07-08,0,ES00732,1.0,-2.178
2024-07-08,0,ES00267,1.0,2.087
2024-07-08,0,ES01097,1.0,-5.965
2024-07-08,0,ES01198,1.0,7.139
2024-07-08,0,ES00106,1.0,-6.516
2024-07-08,0,ES00438,1.0,-6.944
2024-07-08,0,ES00492,1.0,-3.039
2024-07-08,0,ES00855,1.0,4.785
2024-07-08,0,ES00581,1.0,-5.499
2024-07-08,0,ES00589,1.0,-5.573
2024-07-08,0,ES00290,1.0,-232.806
2024-07-08,0,ES00216,1.0,-7.404
2024-07-08,0,ES00477,1.0,-1.027
2024-07-08,0,ES00359,1.0,6.337
2024-07-08,0,ES00268,1.0,3.806
2024-07-08,0,ES00218,1.0,-1.678
2024-07-08,0,ES01037,1.0,-2.027
2024-07-08,0,ES00446,1.0,-6.833
2024-07-08,0,ES00427,1.0,-0.505
2024-07-08,0,ES00157,1.0,1.15
2024-07-08,0,ES01171,1.0,-1.113
2024-07-08,0,ES00689,1.0,-2.26
2024-07-08,0,ES00049,1.0,1.434
2024-07-08,0,ES00005,1.0,-5.966
2024-07-08,0,ES01004,1.0,1.012
2024-07-08,0,ES00199,1.0,1.094
2024-07-08,0,ES00090,1.0,-1.472
2024-07-08,0,ES00714,1.0,0.033
2024-07-08,0,ES01008,1.0,6.974
2024-07-08,0,ES00407,1.0,6.979
2024-07-08,0,ES00751,1.0,0.952
2024-07-08,0,ES01107,1.0,-3.432
2024-07-08,0,ES00204,1.0,7.072
2024-07-08,0,ES00314,1.0,10.507
2024-07-08,0,ES00318,1.0,13.586
2024-07-08,0,ES00451,1.0,-6.903
2024-07-08,0,ES00464,1.0,5.552
2024-07-08,0,ES00369,1.0,3.234
2024-07-08,0,ES00766,1.0,-0.586
2024-07-08,0,ES00850,1.0,-1.521
2024-07-08,0,ES00663,1.0,7.122
2024-07-08,0,ES01250,1.0,3.453
2024-07-08,0,ES00071,1.0,1.392
2024-07-08,0,ES00998,1.0,-4.729
2024-07-08,0,ES01002,1.0,-0.926
2024-07-08,0,ES01011,1.0,-2.177
2024-07-08,0,ES00945,1.0,0.034
2024-07-08,0,ES00619,1.0,-0.993
2024-07-08,0,ES00740,1.0,2.92
2024-07-08,0,ES00269,1.0,4.012
2024-07-08,0,ES00006,1.0,2.182
2024-07-08,0,ES00444,1.0,3.575
2024-07-08,0,ES00931,1.0,-3.07
2024-07-08,0,ES01127,1.0,2.817
2024-07-08,0,ES00820,1.0,1.601
2024-07-08,0,ES00813,1.0,4.038
2024-07-08,0,ES00125,1.0,5.822
2024-07-08,0,ES01226,1.0,2.008
2024-07-08,0,ES01187,1.0,-3.471
2024-07-08,0,ES00476,1.0,1.824
2024-07-08,0,ES00098,1.0,-2.787
2024-07-08,0,ES01196,1.0,3.252
2024-07-08,0,ES00907,1.0,-0.855
2024-07-08,0,ES01131,1.0,-1.997
2024-07-08,0,ES00177,1.0,0.17
2024-07-08,0,ES01208,1.0,3.724
2024-07-08,0,ES00612,1.0,0.276
2024-07-08,0,ES00961,1.0,-3.29
2024-07-08,0,ES00340,1.0,0.222
2024-07-08,0,ES00357,1.0,0.693
2024-07-08,0,ES00097,1.0,-5.162
2024-07-08,0,ES00833,1.0,0.073
2024-07-08,0,ES00238,1.0,2.061
2024-07-08,0,ES00137,1.0,0.578
2024-07-08,0,ES00857,1.0,0.804
2024-07-08,0,ES00151,1.0,-1.94
2024-07-08,0,ES00828,1.0,0.383
2024-07-08,0,ES00196,1.0,1.456
2024-07-08,0,ES00521,1.0,-5.704
2024-07-08,0,ES01082,1.0,-5.578
2024-07-08,0,ES00511,1.0,-0.656
2024-07-08,0,ES01218,1.0,3.902
2024-07-08,0,ES01042,1.0,20.316
2024-07-08,0,ES01126,1.0,4.273
2024-07-08,0,ES00940,1.0,4.435
2024-07-08,0,ES00635,1.0,-4.668
2024-07-08,0,ES00780,1.0,-2.419
2024-07-08,0,ES00381,1.0,-1.865
2024-07-08,0,ES00116,1.0,-0.181
2024-07-08,0,ES00379,1.0,1.401
2024-07-08,0,ES00244,1.0,5.859
2024-07-08,0,ES00458,1.0,1.478
2024-07-08,0,ES01136,1.0,2.62
2024-07-08,0,ES00029,1.0,-0.0
2024-07-08,0,ES00795,1.0,13.682
2024-07-08,0,ES00556,1.0,-0.472
2024-07-08,0,ES00958,1.0,4.503
2024-07-08,0,ES00370,1.0,0.585
2024-07-08,0,ES01252,1.0,4.729
2024-07-08,0,ES00959,1.0,5.547
2024-07-08,0,ES00518,1.0,0.017
2024-07-08,0,ES00713,1.0,-0.034
2024-07-08,0,ES00500,1.0,1.548
2024-07-08,0,ES00507,1.0,-0.215
2024-07-08,0,ES01206,1.0,-5.476
2024-07-08,0,ES01209,1.0,2.352
2024-07-08,0,ES00925,1.0,1.779
2024-07-08,0,ES00620,1.0,3.184
2024-07-08,0,ES00987,1.0,-2.176
2024-07-08,0,ES00377,1.0,1.879
2024-07-08,0,ES01146,1.0,2.431
2024-07-08,0,ES00895,1.0,5.552
2024-07-08,0,ES00367,1.0,-0.677
2024-07-08,0,ES00812,1.0,3.386
2024-07-08,0,ES00575,1.0,2.625
2024-07-08,0,ES00044,1.0,-2.531
2024-07-08,0,ES00172,1.0,-7.623
2024-07-08,0,ES00192,1.0,0.061
2024-07-08,0,ES00432,1.0,2.132
2024-07-08,0,ES00094,1.0,11.164
2024-07-08,0,ES00291,1.0,-232.593
2024-07-08,0,ES00073,1.0,-2.272
2024-07-08,0,ES00082,1.0,2.632
2024-07-08,0,ES00911,1.0,-1.001
2024-07-08,0,ES00079,1.0,-1.456
2024-07-08,0,ES00985,1.0,-2.212
2024-07-08,0,ES01110,1.0,-5.158
2024-07-08,0,ES01083,1.0,-1.668
2024-07-08,0,ES00510,1.0,4.022
2024-07-08,0,ES00430,1.0,-5.814
2024-07-08,0,ES01203,1.0,-4.261
2024-07-08,0,ES00394,1.0,-0.83
