date,hour,load_mw,solar_mw,wind_mw
2024-07-08,0,34429.83115128451,1958.4509533206299,8800.052341127384
2024-07-08,1,32842.22470523509,2325.5496019649277,8901.03852846998
2024-07-08,2,31162.383065387636,2110.5516593315847,8884.615312331955
2024-07-08,3,30780.69823442684,2521.7532408721127,8868.804028267037
2024-07-08,4,30683.88481983053,2286.921397746665,8651.961476762253
2024-07-08,5,31187.92108553642,2355.322431237362,8368.002352366504
2024-07-08,6,34041.33201873627,2069.3803166996586,8139.251695058723
2024-07-08,7,37315.95625236994,6377.944943484686,7520.497173487378
2024-07-08,8,40534.41303575472,21459.11841499481,6876.154187392719
2024-07-08,9,45091.72684288686,41837.77262659787,6445.893151250516
2024-07-08,10,48823.288226331875,53580.86073280971,5912.535235521306
2024-07-08,11,52345.997898129484,56491.04245662788,6290.679768605729
2024-07-08,12,53839.891865763435,58464.63107383281,6962.888095250339
2024-07-08,13,53918.866887234035,58190.04381451202,8331.835945770052
2024-07-08,14,54996.68121947079,58275.38303824903,9527.875322990038
2024-07-08,15,55557.554130785116,57848.9561284717,10393.001555848276
2024-07-08,16,55278.04180033037,56333.309978189944,10975.207278215586
2024-07-08,17,53840.387331582446,52781.098441250724,11376.299815057286
2024-07-08,18,51791.95719058957,47264.46950491435,12216.721642939397
2024-07-08,19,48770.92081732766,37582.37113992617,12958.48320381494
2024-07-08,20,46384.2608522494,19177.365748041095,13730.613873992346
2024-07-08,21,43790.02814939702,5132.467825066026,13802.681501247544
2024-07-08,22,42761.69005876671,2532.1789857105186,13781.281507128098
2024-07-08,23,40727.7615747964,2466.761221142407,13425.34925199435
2024-12-02,0,32781.81130543094,0.0,6186.817910516562
2024-12-02,1,31195.231402599617,0.0,6200.793680140439
2024-12-02,2,30688.66061168069,0.0,6153.751614626076
2024-12-02,3,30287.282804210918,0.0,6131.721902807934
2024-12-02,4,30363.575404710267,0.0,6225.793081166466
2024-12-02,5,31350.647541224367,0.0,6527.840502420274
2024-12-02,6,35133.196568037645,0.0,6506.803987866186
2024-12-02,7,40216.63382014819,0.0,5773.845402617626
2024-12-02,8,42709.25436464724,3501.6628169904384,5382.852964170605
2024-12-02,9,45064.38952898544,13083.387883774893,5212.243860837836
2024-12-02,10,45978.801932216455,24619.838114170932,4496.390066929689
2024-12-02,11,45966.52002492804,30953.63284112307,3974.713552447817
2024-12-02,12,46620.181811909955,32873.742517242885,4007.2419382641947
2024-12-02,13,46916.55696884277,33122.117957356335,4643.48401812416
2024-12-02,14,46752.915721460566,31599.203166567007,5434.497036054018
2024-12-02,15,46117.82844773658,27204.906166380657,6151.86889774931
2024-12-02,16,44903.954451082136,16527.542469671047,7077.890702109212
2024-12-02,17,45565.628096014174,5091.278862189808,8788.001996889738
2024-12-02,18,47059.58311555562,0.0,10005.44136822917
2024-12-02,19,47838.40740153281,0.0,10898.26171112434
2024-12-02,20,48147.77608468109,0.0,11431.688035131148
2024-12-02,21,47470.463397861946,0.0,11552.849766542724
2024-12-02,22,43614.58653404546,0.0,11305.648363883522
2024-12-02,23,39330.626441846856,0.0,11043.183730124421
