date,hour,status,objective_eur_h,total_gen_mw,total_load_mw,load_shed_mw,mismatch_mw
2024-07-08,0,LOCALLY_SOLVED,195013.87,34407.8,34407.8,-0.0,0.0
2024-07-08,1,LOCALLY_SOLVED,96771.49,32654.3,32654.3,-0.0,-0.0
2024-07-08,2,LOCALLY_SOLVED,80786.24,30864.5,30864.5,-0.0,0.0
2024-07-08,3,LOCALLY_SOLVED,77586.86,30263.1,30263.1,-0.0,-0.0
2024-07-08,4,LOCALLY_SOLVED,77323.56,29777.0,29777.0,-0.0,0.0
2024-07-08,5,LOCALLY_SOLVED,87605.07,30314.3,30314.3,-0.0,0.0
2024-07-08,6,LOCALLY_SOLVED,192939.74,33755.9,33755.9,-0.0,-0.0
2024-07-08,7,LOCALLY_SOLVED,167772.54,37038.2,37038.2,-0.0,-0.0
2024-07-08,8,LOCALLY_SOLVED,76211.24,40099.4,40099.4,-0.0,0.0
2024-07-08,9,LOCALLY_SOLVED,75986.07,44988.4,44988.4,-0.0,0.0
2024-07-08,10,LOCALLY_SOLVED,75999.89,48669.7,48669.7,-0.0,0.0
2024-07-08,11,LOCALLY_SOLVED,76009.98,51819.3,51819.3,-0.0,-0.0
2024-07-08,12,LOCALLY_SOLVED,76017.34,53999.4,53999.4,-0.0,-0.0
2024-07-08,13,LOCALLY_SOLVED,76021.89,54854.9,54854.9,-0.0,0.0
2024-07-08,14,LOCALLY_SOLVED,76027.65,55428.5,55428.5,-0.0,-0.0
2024-07-08,15,LOCALLY_SOLVED,76030.78,55762.7,55762.7,-0.0,-0.0
2024-07-08,16,LOCALLY_SOLVED,76029.61,55438.4,55438.4,-0.0,-0.0
2024-07-08,17,LOCALLY_SOLVED,76024.82,54108.3,54108.3,-0.0,-0.0
2024-07-08,18,LOCALLY_SOLVED,76019.32,52580.2,52580.2,-0.0,0.0
2024-07-08,19,LOCALLY_SOLVED,76044.35,49459.2,49459.2,-0.0,-0.0
2024-07-08,20,LOCALLY_SOLVED,77607.69,46984.5,46984.5,-0.0,0.0
2024-07-08,21,LOCALLY_SOLVED,270886.44,44236.0,44236.0,-0.0,-0.0
2024-07-08,22,LOCALLY_SOLVED,317427.71,43047.1,43047.1,-0.0,-0.0
2024-07-08,23,LOCALLY_SOLVED,173258.37,41155.8,41155.8,-0.0,-0.0
2024-12-02,0,LOCALLY_SOLVED,269895.88,33063.1,33063.1,-0.0,0.0
2024-12-02,1,LOCALLY_SOLVED,233464.22,31619.3,31619.3,-0.0,0.0
2024-12-02,2,LOCALLY_SOLVED,206042.67,31104.2,31104.2,-0.0,0.0
2024-12-02,3,LOCALLY_SOLVED,143955.74,30270.5,30270.5,-0.0,0.0
2024-12-02,4,LOCALLY_SOLVED,96479.24,30024.5,30024.5,-0.0,0.0
2024-12-02,5,LOCALLY_SOLVED,96503.5,30172.0,30172.0,-0.0,0.0
2024-12-02,6,LOCALLY_SOLVED,193828.15,33124.7,33124.7,-0.0,0.0
2024-12-02,7,LOCALLY_SOLVED,558050.01,39448.7,39448.7,-0.0,0.0
2024-12-02,8,LOCALLY_SOLVED,614092.75,42502.7,42502.7,-0.0,0.0
2024-12-02,9,LOCALLY_SOLVED,298572.54,45195.3,45195.3,-0.0,-0.0
2024-12-02,10,LOCALLY_SOLVED,76257.73,45944.6,45944.6,-0.0,0.0
2024-12-02,11,LOCALLY_SOLVED,76062.54,46468.5,46468.5,-0.0,-0.0
2024-12-02,12,LOCALLY_SOLVED,76043.29,46585.8,46585.8,-0.0,0.0
2024-12-02,13,LOCALLY_SOLVED,76126.3,47066.9,47066.9,-0.0,0.0
2024-12-02,14,LOCALLY_SOLVED,76245.9,47096.3,47096.3,-0.0,-0.0
2024-12-02,15,LOCALLY_SOLVED,123272.09,45276.2,45276.2,-0.0,0.0
2024-12-02,16,LOCALLY_SOLVED,426329.27,44424.8,44424.8,-0.0,0.0
2024-12-02,17,LOCALLY_SOLVED,296237.57,45402.2,45402.2,-0.0,-0.0
2024-12-02,18,LOCALLY_SOLVED,902998.01,46679.3,46679.3,-0.0,-0.0
2024-12-02,19,LOCALLY_SOLVED,945813.03,47801.1,47801.1,-0.0,-0.0
2024-12-02,20,LOCALLY_SOLVED,988697.85,48962.7,48962.7,-0.0,0.0
2024-12-02,21,LOCALLY_SOLVED,1.00226421e6,48515.8,48515.8,-0.0,0.0
2024-12-02,22,LOCALLY_SOLVED,819291.86,44843.2,44843.2,-0.0,0.0
2024-12-02,23,LOCALLY_SOLVED,555015.56,39260.7,39260.7,-0.0,0.0
