date,hour,branch_id,branch_name,from_bus,to_bus,flow_mw,flow_mvar,limit_mw,loading_pct
2024-07-08,0,306,LTGES0220a,156,14,235.07,-89.11,7149.91,3.5
2024-07-08,0,1886,LTGES1236b,679,648,75.69,-1.9,1966.22,3.9
2024-07-08,0,1,LTGES0001a,1,2,-8.18,-10.14,1966.22,0.7
2024-07-08,0,519,LTGES0361a,806,511,-24.37,-0.58,1966.22,1.2
2024-07-08,0,2243,TR_71979234,1103,1104,-153.48,13.14,1200.0,12.8
2024-07-08,0,788,LTGES0543b,865,436,-180.86,12.94,1966.22,9.2
2024-07-08,0,1164,LTGES0766b,22,992,42.85,-0.36,1966.22,2.2
2024-07-08,0,774,LTGES0535,424,430,-79.93,-1.63,1966.22,4.1
2024-07-08,0,1881,LTGES1234a,448,621,-37.64,-0.5,1966.22,1.9
2024-07-08,0,1907,LTGES1249b,447,1148,104.74,11.44,7149.91,1.5
2024-07-08,0,599,LTGES0415,1064,350,-213.38,4.4,7149.91,3.0
2024-07-08,0,2057,LTGES1360a,667,57,-5.58,-5.5,1966.22,0.4
2024-07-08,0,491,LTGES0340,313,303,-208.54,34.86,1966.22,10.8
2024-07-08,0,1470,LTGES0964,582,575,-56.78,9.1,1966.22,2.9
2024-07-08,0,1195,LTGES0784,952,1118,21.52,-21.3,7149.91,0.4
2024-07-08,0,1377,LTGES0905b,771,567,91.68,-3.41,7149.91,1.3
2024-07-08,0,228,LTGES0163b,675,198,-6.29,-0.47,1966.22,0.3
2024-07-08,0,332,LTGES0231b,254,114,-0.06,8.64,1966.22,0.4
2024-07-08,0,190,LTGES0139a,173,130,101.65,-26.39,7149.91,1.5
2024-07-08,0,227,LTGES0163a,675,198,-6.29,-0.47,1966.22,0.3
2024-07-08,0,980,LTGES0654a,677,142,7.11,-0.59,1966.22,0.4
2024-07-08,0,1935,LTGES1267a,416,1067,11.66,-1.58,1966.22,0.6
2024-07-08,0,1894,LTGES1242,494,191,-73.29,-37.46,7149.91,1.2
2024-07-08,0,1305,LTGES0859b,557,451,-170.66,41.49,1966.22,8.9
2024-07-08,0,1880,LTGES1233b,647,80,88.99,-11.48,7149.91,1.3
2024-07-08,0,297,LTGES0214,237,749,61.8,-3.19,7149.91,0.9
2024-07-08,0,605,LTGES0421a,353,829,3.32,-0.08,1966.22,0.2
2024-07-08,0,2078,LTGES1376,904,477,-99.65,0.35,7149.91,1.4
2024-07-08,0,1106,LTGES0730b,365,508,-42.0,-4.3,1966.22,2.1
2024-07-08,0,24,LTGES0015a,13,24,139.87,2.19,1966.22,7.1
