date,hour,bus_id,vm_pu,va_deg
2024-07-08,0,ES00001,1.0237,-3.418
2024-07-08,0,ES00522,1.03,2.456
2024-07-08,0,ES00797,1.0283,11.624
2024-07-08,0,ES01184,1.0381,8.107
2024-07-08,0,ES00783,1.0292,6.26
2024-07-08,0,ES00604,1.0245,-3.241
2024-07-08,0,ES00494,1.0245,0.718
2024-07-08,0,ES01215,1.0264,1.244
2024-07-08,0,ES00231,1.0229,1.233
2024-07-08,0,ES00335,1.0247,1.916
2024-07-08,0,ES00193,1.0278,5.861
2024-07-08,0,ES00230,1.0298,6.41
2024-07-08,0,ES00994,1.021,-1.173
2024-07-08,0,ES00300,1.0298,4.941
2024-07-08,0,ES00610,1.0295,5.854
2024-07-08,0,ES01124,1.0239,1.407
2024-07-08,0,ES00024,1.0235,-2.893
2024-07-08,0,ES00939,1.0263,1.414
2024-07-08,0,ES00419,1.0178,-4.403
2024-07-08,0,ES00868,1.0203,3.582
2024-07-08,0,ES00023,1.0251,-2.231
2024-07-08,0,ES00163,1.03,2.295
2024-07-08,0,ES00207,1.03,5.479
2024-07-08,0,ES00566,1.0238,-2.855
2024-07-08,0,ES00900,1.0244,5.389
2024-07-08,0,ES00995,1.0265,-1.386
2024-07-08,0,ES00824,1.0248,1.791
2024-07-08,0,ES00256,1.0304,0.574
2024-07-08,0,ES00927,1.0232,2.961
2024-07-08,0,ES00039,1.0278,-0.162
2024-07-08,0,ES00852,1.0297,8.98
2024-07-08,0,ES00112,1.0292,5.214
2024-07-08,0,ES00800,1.0248,8.606
2024-07-08,0,ES00375,1.0336,-6.617
2024-07-08,0,ES00034,1.0277,3.193
2024-07-08,0,ES00140,1.0229,2.262
2024-07-08,0,ES00595,1.024,0.431
2024-07-08,0,ES00055,1.0306,1.879
2024-07-08,0,ES00326,1.03,6.991
2024-07-08,0,ES00017,1.0333,4.308
2024-07-08,0,ES00246,1.03,7.294
2024-07-08,0,ES00175,1.0257,5.282
2024-07-08,0,ES00336,1.0264,2.437
2024-07-08,0,ES00366,1.03,10.018
2024-07-08,0,ES00555,1.0207,-0.98
2024-07-08,0,ES00344,1.0215,1.0
2024-07-08,0,ES00671,1.0282,-1.211
2024-07-08,0,ES00923,1.0256,-0.297
2024-07-08,0,ES00603,1.0263,-3.788
2024-07-08,0,ES00649,1.0343,4.925
2024-07-08,0,ES01066,1.0243,-3.279
2024-07-08,0,ES00014,1.0286,1.06
2024-07-08,0,ES00170,1.0259,0.778
2024-07-08,0,ES01141,1.03,8.698
2024-07-08,0,ES00618,1.0261,1.353
2024-07-08,0,ES00096,1.0233,-1.651
2024-07-08,0,ES00459,1.0323,4.497
2024-07-08,0,ES01094,1.0325,-2.068
2024-07-08,0,ES00260,1.03,0.805
2024-07-08,0,ES00513,1.0272,0.434
2024-07-08,0,ES00019,1.0272,0.256
2024-07-08,0,ES00680,1.0275,7.223
2024-07-08,0,ES00936,1.0264,1.488
2024-07-08,0,ES00200,1.0272,4.418
2024-07-08,0,ES00404,1.0265,-0.919
2024-07-08,0,ES00279,1.0281,5.759
2024-07-08,0,ES00787,1.0301,1.793
2024-07-08,0,ES00021,1.0274,0.362
2024-07-08,0,ES00247,1.0338,-0.206
2024-07-08,0,ES00083,1.0212,2.299
2024-07-08,0,ES00587,1.0192,-4.233
2024-07-08,0,ES01057,1.0226,1.551
2024-07-08,0,ES00877,1.0259,-9.193
2024-07-08,0,ES00563,1.0283,2.616
2024-07-08,0,ES00880,1.0278,-3.232
2024-07-08,0,ES00550,1.0229,6.026
2024-07-08,0,ES00003,1.0273,-6.646
2024-07-08,0,ES00081,1.0251,6.005
2024-07-08,0,ES01001,1.0273,2.4
2024-07-08,0,ES00975,1.0226,0.692
2024-07-08,0,ES00760,1.0273,3.166
2024-07-08,0,ES01085,1.024,-0.577
2024-07-08,0,ES01189,1.0298,2.07
2024-07-08,0,ES01033,1.0176,-4.187
2024-07-08,0,ES00306,1.0154,6.373
2024-07-08,0,ES01231,1.0279,1.671
2024-07-08,0,ES00711,1.0313,4.849
2024-07-08,0,ES00117,1.03,1.259
2024-07-08,0,ES01186,1.0236,-3.44
2024-07-08,0,ES01064,1.0112,1.533
2024-07-08,0,ES00502,1.0297,4.3
2024-07-08,0,ES01165,1.0297,5.864
2024-07-08,0,ES00861,1.0191,-4.453
2024-07-08,0,ES00185,1.0297,3.14
2024-07-08,0,ES00179,1.03,4.414
2024-07-08,0,ES01219,1.0378,8.027
2024-07-08,0,ES00903,1.0297,1.632
2024-07-08,0,ES01254,1.0232,-3.051
2024-07-08,0,ES01101,1.0266,4.679
2024-07-08,0,ES00559,1.0269,-1.122
2024-07-08,0,ES00629,1.0313,11.995
2024-07-08,0,ES00252,1.0311,0.677
2024-07-08,0,ES00488,1.0247,-3.174
2024-07-08,0,ES00642,1.0268,-1.256
2024-07-08,0,ES00349,1.0263,3.58
2024-07-08,0,ES01243,1.0157,-4.427
2024-07-08,0,ES00547,1.03,4.692
2024-07-08,0,ES00644,1.0286,1.823
2024-07-08,0,ES00977,1.0225,0.64
2024-07-08,0,ES00392,1.0323,4.59
2024-07-08,0,ES01246,1.0134,1.691
2024-07-08,0,ES01169,1.0293,0.071
