date,hour,gen_id,unit_name,fuel,technology,bus_i,capacity_mw,dispatch_mw,dispatch_mvar,utilization_pct,cost_eur_per_mwh
2024-07-08,0,306,G0576,Wind,Onshore,752,47.21,8.89,0.02,100.0,0.18
2024-07-08,0,1886,LS_ES00884,LoadShed,LoadShed,875,22.03,-0.0,3.15,-0.0,10000.0
2024-07-08,0,1,G0001,Solar,PV,7,433.43,8.54,-0.0,100.0,0.0
2024-07-08,0,519,G0212,Solar,PV,301,24.23,0.48,0.14,100.0,0.0
2024-07-08,0,788,G0836,Solar,PV,1141,90.45,1.78,-0.53,100.0,0.0
2024-07-08,0,1164,LS_ES00101,LoadShed,LoadShed,101,52.56,-0.0,0.21,-0.0,10000.0
2024-07-08,0,774,G0813,Solar,PV,1121,43.88,0.86,-0.0,100.0,0.0
2024-07-08,0,1881,LS_ES00323,LoadShed,LoadShed,320,31.01,-0.0,4.46,-0.0,10000.0
2024-07-08,0,1907,LS_ES00463,LoadShed,LoadShed,460,1.84,-0.0,0.06,-0.0,10000.0
2024-07-08,0,599,G0384,Solar,PV,481,533.84,10.52,2.97,100.0,0.0
2024-07-08,0,491,G0131,Solar,PV,196,278.9,5.49,0.04,100.0,0.0
2024-07-08,0,1470,LS_ES00699,LoadShed,LoadShed,692,11.26,-0.0,5.04,-0.0,10000.0
2024-07-08,0,1195,LS_ES00655,LoadShed,LoadShed,649,127.63,-0.0,19.61,-0.0,10000.0
2024-07-08,0,1377,LS_ES01135,LoadShed,LoadShed,1117,3.11,-0.0,0.22,-0.0,10000.0
2024-07-08,0,228,G0356,Wind,Onshore,458,283.24,53.34,0.95,100.0,0.18
2024-07-08,0,332,G0660,Wind,Onshore,885,28.32,5.33,0.29,100.0,0.18
2024-07-08,0,190,G0181,Wind,Onshore,275,132.18,24.89,-3.28,100.0,0.18
2024-07-08,0,227,G0354,Wind,Onshore,457,157.35,29.63,-7.84,100.0,0.18
2024-07-08,0,980,BESS_ES00551,Battery,Li-Ion,546,0.0,0.0,0.0,100.0,0.0
2024-07-08,0,1935,LS_ES00960,LoadShed,LoadShed,949,11.31,-0.0,0.11,-0.0,10000.0
2024-07-08,0,1894,LS_ES00581,LoadShed,LoadShed,576,9.6,-0.0,1.71,-0.0,10000.0
2024-07-08,0,1305,LS_ES00875,LoadShed,LoadShed,866,16.57,-0.0,3.35,-0.0,10000.0
2024-07-08,0,1880,LS_ES00858,LoadShed,LoadShed,849,22.43,-0.0,-3.56,-0.0,10000.0
2024-07-08,0,297,G0549,Wind,Onshore,703,62.94,11.85,-1.3,100.0,0.18
2024-07-08,0,605,G0399,Solar,PV,495,309.59,6.1,-0.0,100.0,0.0
2024-07-08,0,1106,LS_ES01073,LoadShed,LoadShed,1058,0.95,-0.0,0.1,-0.0,10000.0
2024-07-08,0,24,G0006,Gas,Combined_cycle,7,689.46,4.09,-65.43,0.6,44.98
