date,hour,status,objective_eur_h,total_gen_mw,total_load_mw,load_shed_mw,mismatch_mw
2024-07-08,0,LOCALLY_SOLVED,218823.05,34937.1,34407.8,-0.0,529.32
2024-07-08,1,LOCALLY_SOLVED,103988.82,33183.0,32654.3,-0.0,528.72
2024-07-08,2,LOCALLY_SOLVED,92720.15,31361.6,30864.5,-0.0,497.11
2024-07-08,3,LOCALLY_SOLVED,77674.91,30752.1,30263.1,-0.0,489.0
2024-07-08,4,LOCALLY_SOLVED,77410.63,30260.6,29777.0,-0.0,483.66
2024-07-08,5,LOCALLY_SOLVED,87693.02,30802.8,30314.3,-0.0,488.51
2024-07-08,6,LOCALLY_SOLVED,216846.59,34287.4,33755.9,-0.0,531.49
2024-07-08,7,LOCALLY_SOLVED,197374.82,37696.3,37038.2,-0.0,658.11
2024-07-08,8,LOCALLY_SOLVED,76484.47,41629.8,40099.4,-0.0,1530.4
2024-07-08,9,LOCALLY_SOLVED,76350.43,48596.5,44988.4,-0.0,3608.15
2024-07-08,10,LOCALLY_SOLVED,76326.55,52473.4,48669.7,-0.0,3803.66
2024-07-08,11,LOCALLY_SOLVED,76546.55,57258.9,51819.3,-0.0,5439.53
2024-07-08,12,LOCALLY_SOLVED,76606.61,59798.8,53999.4,-0.0,5799.39
2024-07-08,13,LOCALLY_SOLVED,76548.83,59848.6,54854.9,-0.0,4993.77
2024-07-08,14,LOCALLY_SOLVED,76784.51,62011.7,55428.5,-0.0,6583.21
2024-07-08,15,LOCALLY_SOLVED,76725.49,62414.9,55762.7,-0.0,6652.18
2024-07-08,16,LOCALLY_SOLVED,76802.93,62249.1,55438.4,-0.0,6810.68
2024-07-08,17,LOCALLY_SOLVED,76664.61,60062.0,54108.3,-0.0,5953.7
2024-07-08,18,LOCALLY_SOLVED,76602.06,58159.3,52580.2,-0.0,5579.07
2024-07-08,19,LOCALLY_SOLVED,76754.32,53578.0,49459.2,-0.0,4118.81
2024-07-08,20,LOCALLY_SOLVED,77943.83,48865.2,46984.5,-0.0,1880.68
2024-07-08,21,LOCALLY_SOLVED,307324.99,45044.7,44236.0,-0.0,808.62
2024-07-08,22,LOCALLY_SOLVED,351325.62,43800.4,43047.1,-0.0,753.29
2024-07-08,23,LOCALLY_SOLVED,205376.72,41869.8,41155.8,-0.0,714.04
2024-12-02,0,LOCALLY_SOLVED,292879.51,33574.0,33063.1,-0.0,510.85
2024-12-02,1,LOCALLY_SOLVED,256639.08,32134.4,31619.3,-0.0,515.11
2024-12-02,2,LOCALLY_SOLVED,229241.01,31619.8,31104.2,-0.0,515.63
2024-12-02,3,LOCALLY_SOLVED,166409.35,30769.6,30270.5,-0.0,499.08
2024-12-02,4,LOCALLY_SOLVED,117306.18,30533.5,30024.5,-0.0,508.94
2024-12-02,5,LOCALLY_SOLVED,96596.54,30689.0,30172.0,-0.0,516.94
2024-12-02,6,LOCALLY_SOLVED,218546.65,33674.2,33124.7,-0.0,549.42
2024-12-02,7,LOCALLY_SOLVED,586529.1,40081.6,39448.7,-0.0,632.97
2024-12-02,8,LOCALLY_SOLVED,650369.5,43308.1,42502.7,-0.0,805.34
2024-12-02,9,LOCALLY_SOLVED,343053.23,46177.4,45195.3,-0.0,982.12
2024-12-02,10,LOCALLY_SOLVED,76628.63,48127.8,45944.6,-0.0,2183.17
2024-12-02,11,LOCALLY_SOLVED,76546.78,49333.5,46468.5,-0.0,2864.95
2024-12-02,12,LOCALLY_SOLVED,76740.84,49472.2,46585.8,-0.0,2886.38
2024-12-02,13,LOCALLY_SOLVED,76597.78,49832.7,47066.9,-0.0,2765.81
2024-12-02,14,LOCALLY_SOLVED,76666.75,49454.8,47096.3,-0.0,2358.58
2024-12-02,15,LOCALLY_SOLVED,193850.04,46818.0,45276.2,-0.0,1541.82
2024-12-02,16,LOCALLY_SOLVED,475946.44,45517.2,44424.8,-0.0,1092.46
2024-12-02,17,LOCALLY_SOLVED,348839.89,46558.9,45402.2,-0.0,1156.73
2024-12-02,18,LOCALLY_SOLVED,945283.47,47587.6,46679.3,-0.0,908.33
2024-12-02,19,LOCALLY_SOLVED,991978.32,48778.8,47801.1,-0.0,977.65
2024-12-02,20,LOCALLY_SOLVED,1.03220856e6,49879.6,48962.7,-0.0,916.84
2024-12-02,21,LOCALLY_SOLVED,1.04560215e6,49430.6,48515.8,-0.0,914.79
2024-12-02,22,LOCALLY_SOLVED,853532.62,45603.4,44843.2,-0.0,760.21
2024-12-02,23,LOCALLY_SOLVED,587224.65,39976.6,39260.7,-0.0,715.87
