date,hour,gen_id,fuel,technology,dispatch_mw
2024-07-08,0,G0225,Hydro,run_of_river,1474.76
2024-07-08,0,G0155,Hydro,pumped_storage,1338.0
2024-07-08,0,G0070,Hydro,pumped_storage,1229.0
2024-07-08,0,G0160,Nuclear,Nuclear,987.89
2024-07-08,0,G0285,Nuclear,Nuclear,974.45
2024-07-08,0,G0281,Hydro,pumped_storage,963.0
2024-07-08,0,G0307,Nuclear,Nuclear,955.62
2024-07-08,0,G0093,Nuclear,Nuclear,940.38
2024-07-08,0,G0092,Nuclear,Nuclear,935.9
2024-07-08,0,G0139,Nuclear,Nuclear,926.04
2024-07-08,0,G0138,Nuclear,Nuclear,920.66
2024-07-08,0,XB_ES01126,CrossBorder,Interconnector,821.38
2024-07-08,0,G0656,Hydro,pumped_storage,667.0
2024-07-08,0,G0162,Hydro,pumped_storage,657.0
2024-07-08,0,G0931,Hydro,run_of_river,647.55
2024-07-08,0,G0936,Hydro,run_of_river,617.15
2024-07-08,0,G0104,Hydro,pumped_storage,572.0
2024-07-08,0,G0853,Hydro,pumped_storage,546.0
2024-07-08,0,XB_ES00859,CrossBorder,Interconnector,513.36
2024-07-08,0,G0095,Hydro,pumped_storage,378.0
2024-07-08,0,G0412,Gas,Combined_cycle,364.42
2024-07-08,0,G0447,Gas,Combined_cycle,356.88
2024-07-08,0,G0259,Gas,Combined_cycle,350.18
2024-07-08,0,G0065,Gas,Combined_cycle,345.15
2024-07-08,0,G0302,Hydro,pumped_storage,334.0
2024-07-08,0,G0657,Hydro,pumped_storage,332.0
2024-07-08,0,G0077,Gas,Combined_cycle,330.91
2024-07-08,0,G0276,Wind,Onshore,330.28
2024-07-08,0,G0107,Gas,Combined_cycle,326.72
2024-07-08,0,G0740,Hydro,pumped_storage,326.0
2024-07-08,0,G0019,Hydro,pumped_storage,314.0
2024-07-08,0,G0169,Gas,Combined_cycle,313.84
2024-07-08,0,G0930,Hydro,run_of_river,224.58
