date,hour,branch_id,branch_name,from_bus,to_bus,flow_mw,flow_mvar,limit_mw,loading_pct
2024-07-08,9,306,LTGES0220a,156,14,1315.31,0.0,8937.38,14.7
2024-07-08,9,1886,LTGES1236b,679,648,46.69,0.0,2457.78,1.9
2024-07-08,9,1,LTGES0001a,1,2,-75.72,0.0,2457.78,3.1
2024-07-08,9,519,LTGES0361a,806,511,-31.86,0.0,2457.78,1.3
2024-07-08,9,2243,TR_71979234,1103,1104,-207.11,0.0,750.0,27.6
2024-07-08,9,788,LTGES0543b,865,436,-239.53,0.0,2457.78,9.7
2024-07-08,9,1164,LTGES0766b,22,992,56.02,0.0,2457.78,2.3
2024-07-08,9,774,LTGES0535,424,430,-120.67,0.0,1228.89,9.8
2024-07-08,9,1881,LTGES1234a,448,621,-49.22,0.0,2457.78,2.0
2024-07-08,9,1907,LTGES1249b,447,1148,79.11,0.0,8937.38,0.9
2024-07-08,9,599,LTGES0415,1064,350,159.9,0.0,4468.69,3.6
2024-07-08,9,2057,LTGES1360a,667,57,211.14,0.0,2457.78,8.6
2024-07-08,9,491,LTGES0340,313,303,-108.0,0.0,1228.89,8.8
2024-07-08,9,1470,LTGES0964,582,575,-84.14,0.0,1228.89,6.8
2024-07-08,9,1195,LTGES0784,952,1118,1377.28,0.0,4468.69,30.8
2024-07-08,9,1377,LTGES0905b,771,567,76.55,0.0,8937.38,0.9
2024-07-08,9,228,LTGES0163b,675,198,-8.23,0.0,2457.78,0.3
2024-07-08,9,332,LTGES0231b,254,114,304.43,0.0,2457.78,12.4
2024-07-08,9,190,LTGES0139a,173,130,-876.63,0.0,8937.38,9.8
2024-07-08,9,227,LTGES0163a,675,198,-8.23,0.0,2457.78,0.3
2024-07-08,9,980,LTGES0654a,677,142,-15.32,0.0,3686.67,0.4
2024-07-08,9,1935,LTGES1267a,416,1067,34.25,0.0,2457.78,1.4
2024-07-08,9,1894,LTGES1242,494,191,-829.35,0.0,4468.69,18.6
2024-07-08,9,1305,LTGES0859b,557,451,-184.23,0.0,2457.78,7.5
2024-07-08,9,1880,LTGES1233b,647,80,488.23,0.0,8937.38,5.5
2024-07-08,9,297,LTGES0214,237,749,-1035.59,0.0,4468.69,23.2
2024-07-08,9,605,LTGES0421a,353,829,2.86,0.0,2457.78,0.1
2024-07-08,9,2078,LTGES1376,904,477,575.85,0.0,4468.69,12.9
2024-07-08,9,1106,LTGES0730b,365,508,39.39,0.0,2457.78,1.6
2024-07-08,9,24,LTGES0015a,13,24,179.83,0.0,2457.78,7.3
2024-07-08,9,1783,LTGES1175a,909,485,183.64,0.0,2457.78,7.5
2024-07-08,9,928,LTGES0624a,14,683,165.82,0.0,8937.38,1.9
2024-07-08,9,416,LTGES0286b,153,159,-60.05,0.0,2457.78,2.4
2024-07-08,9,859,LTGES0583a,882,452,9.25,0.0,2457.78,0.4
2024-07-08,9,23,LTGES0014,23,15,-213.5,0.0,1228.89,17.4
2024-07-08,9,160,LTGES0118,156,810,-935.43,0.0,4468.69,20.9
2024-07-08,9,1825,LTGES1201,473,1122,3.46,0.0,4468.69,0.1
