date,hour,bus_id,vm_pu,va_deg
2024-07-08,9,ES00001,1.0,-1.095
2024-07-08,9,ES00522,1.0,30.553
2024-07-08,9,ES00797,1.0,-18.8
2024-07-08,9,ES01184,1.0,-30.529
2024-07-08,9,ES00783,1.0,-27.799
2024-07-08,9,ES00604,1.0,-1.226
2024-07-08,9,ES00494,1.0,18.096
2024-07-08,9,ES01215,1.0,-30.464
2024-07-08,9,ES00231,1.0,-17.168
2024-07-08,9,ES00335,1.0,40.224
2024-07-08,9,ES00193,1.0,23.291
2024-07-08,9,ES00230,1.0,23.155
2024-07-08,9,ES00994,1.0,-28.461
2024-07-08,9,ES00300,1.0,-31.7
2024-07-08,9,ES00610,1.0,1.138
2024-07-08,9,ES01124,1.0,3.167
2024-07-08,9,ES00024,1.0,2.321
2024-07-08,9,ES00939,1.0,30.288
2024-07-08,9,ES00419,1.0,-32.592
2024-07-08,9,ES00868,1.0,-18.574
2024-07-08,9,ES00023,1.0,2.406
2024-07-08,9,ES00163,1.0,-18.014
2024-07-08,9,ES00207,1.0,-36.159
2024-07-08,9,ES00566,1.0,1.769
2024-07-08,9,ES00900,1.0,-30.216
2024-07-08,9,ES00995,1.0,-25.386
2024-07-08,9,ES00824,1.0,40.293
2024-07-08,9,ES00256,1.0,-24.365
2024-07-08,9,ES00927,1.0,-9.755
2024-07-08,9,ES00039,1.0,-24.068
2024-07-08,9,ES00852,1.0,21.43
2024-07-08,9,ES00112,1.0,-2.801
2024-07-08,9,ES00800,1.0,-22.193
2024-07-08,9,ES00375,1.0,-51.166
2024-07-08,9,ES00034,1.0,39.564
2024-07-08,9,ES00140,1.0,-12.94
2024-07-08,9,ES00595,1.0,-29.439
2024-07-08,9,ES00055,1.0,-13.632
2024-07-08,9,ES00326,1.0,4.583
2024-07-08,9,ES00017,1.0,18.475
2024-07-08,9,ES00246,1.0,3.066
2024-07-08,9,ES00175,1.0,-13.023
2024-07-08,9,ES00336,1.0,39.355
2024-07-08,9,ES00366,1.0,-9.251
2024-07-08,9,ES00555,1.0,-28.037
2024-07-08,9,ES00344,1.0,40.955
2024-07-08,9,ES00671,1.0,32.68
2024-07-08,9,ES00923,1.0,0.378
2024-07-08,9,ES00603,1.0,-2.011
2024-07-08,9,ES00649,1.0,26.695
2024-07-08,9,ES01066,1.0,-1.093
2024-07-08,9,ES00014,1.0,4.067
2024-07-08,9,ES00170,1.0,-30.644
2024-07-08,9,ES01141,1.0,-27.791
2024-07-08,9,ES00618,1.0,30.233
2024-07-08,9,ES00096,1.0,-27.442
2024-07-08,9,ES00459,1.0,-9.146
2024-07-08,9,ES01094,1.0,-45.473
2024-07-08,9,ES00260,1.0,-24.982
2024-07-08,9,ES00513,1.0,-11.207
2024-07-08,9,ES00019,1.0,3.435
2024-07-08,9,ES00680,1.0,28.347
