branch_id,branch_name,peak_pct,limit_mw,peak_flow,nominal_mw,req_factor
1722,LTGES1133,29.9,4915.56,1471.18,491.55600000000004,2.99
483,LTGES0333,29.8,4915.56,1464.67,491.55600000000004,2.98
1520,LTGES1001,27.3,4915.56,1343.28,491.55600000000004,2.73
1046,LTGES0690,24.7,4915.56,1212.51,491.55600000000004,2.47
1741,LTGES1146,24.0,4915.56,1180.27,491.55600000000004,2.4
2005,LTGES1322,23.6,4915.56,1157.65,491.55600000000004,2.36
1047,LTGES0691,22.7,4915.56,1113.53,491.55600000000004,2.27
dc1,LTGES0254,20.3,3464.1,702.79,346.40999999999997,2.03
501,LTGES0348,20.2,17874.76,3611.5,1787.4759999999999,2.02
1038,LTGES0685b,19.3,4915.56,948.16,491.55600000000004,1.93
1037,LTGES0685a,19.3,4915.56,948.16,491.55600000000004,1.93
2289,TR_9af01115,18.8,7500.0,1408.46,750.0,1.88
1554,LTGES1021b,18.7,4915.56,919.4,491.55600000000004,1.87
1553,LTGES1021a,18.7,4915.56,919.4,491.55600000000004,1.87
2148,LTGES1428,18.3,4915.56,899.33,491.55600000000004,1.83
12,LTGES0008,18.2,4915.56,893.7,491.55600000000004,1.82
1095,LTGES0723,18.2,17874.76,3260.98,1787.4759999999999,1.82
1551,LTGES1020a,17.9,4915.56,882.24,491.55600000000004,1.79
1552,LTGES1020b,17.9,4915.56,882.24,491.55600000000004,1.79
1147,LTGES0755b,17.4,4915.56,854.31,491.55600000000004,1.74
1146,LTGES0755a,17.4,4915.56,854.31,491.55600000000004,1.74
1143,LTGES0753b,17.3,4915.56,848.42,491.55600000000004,1.73
1142,LTGES0753a,17.3,4915.56,848.42,491.55600000000004,1.73
1144,LTGES0754a,17.1,4915.56,838.19,491.55600000000004,1.71
1145,LTGES0754b,17.1,4915.56,838.19,491.55600000000004,1.71
1111,LTGES0734,16.8,4915.56,825.11,491.55600000000004,1.68
1057,LTGES0699,16.7,17874.76,2988.18,1787.4759999999999,1.67
2286,TR_4cb0b32d,16.6,4800.0,794.56,480.0,1.66
1750,LTGES1152a,16.3,4915.56,801.75,491.55600000000004,1.63
963,LTGES0645,16.3,4915.56,802.29,491.55600000000004,1.63
1751,LTGES1152b,16.3,4915.56,801.75,491.55600000000004,1.63
721,LTGES0497,16.2,4915.56,797.22,491.55600000000004,1.62
1245,LTGES0818,15.8,4915.56,776.47,491.55600000000004,1.58
1242,LTGES0816,15.7,4915.56,773.27,491.55600000000004,1.57
298,LTGES0215,15.6,17874.76,2792.7,1787.4759999999999,1.56
418,LTGES0287b,15.5,4915.56,761.41,491.55600000000004,1.55
417,LTGES0287a,15.5,4915.56,761.41,491.55600000000004,1.55
2132,LTGES1416,15.5,4915.56,762.7,491.55600000000004,1.55
635,LTGES0440,15.5,17874.76,2764.84,1787.4759999999999,1.55
110,LTGES0077,15.4,17874.76,2748.13,1787.4759999999999,1.54
2299,TR_2ab84c9d,15.4,3000.0,461.21,300.0,1.54
1865,LTGES1224,15.3,17874.76,2732.01,1787.4759999999999,1.53
171,LTGES0126b,15.2,4915.56,745.35,491.55600000000004,1.52
170,LTGES0126a,15.2,4915.56,745.35,491.55600000000004,1.52
1109,LTGES0732,15.2,4915.56,748.81,491.55600000000004,1.52
604,LTGES0420,15.0,4915.56,736.06,491.55600000000004,1.5
541,LTGES0376,15.0,4915.56,738.12,491.55600000000004,1.5
123,LTGES0086,14.8,17874.76,2639.9,1787.4759999999999,1.48
945,LTGES0634,14.8,4915.56,725.09,491.55600000000004,1.48
634,LTGES0439b,14.6,17874.76,2615.05,1787.4759999999999,1.46
633,LTGES0439a,14.6,17874.76,2615.05,1787.4759999999999,1.46
603,LTGES0419,14.5,4915.56,712.71,491.55600000000004,1.45
2115,LTGES1403,14.0,4915.56,689.57,491.55600000000004,1.4
11,LTGES0007,14.0,4915.56,687.31,491.55600000000004,1.4
62,LTGES0041b,13.9,17874.76,2483.49,1787.4759999999999,1.39
61,LTGES0041a,13.9,17874.76,2483.49,1787.4759999999999,1.39
2176,TR_2ba8192a,13.9,4800.0,665.39,480.0,1.39
