line_id,factor
NEWES_ES412_ES416,3.568
LTGES0589,2.304
LTGES1367,2.258
LTGES1433,2.258
LTGES1368,2.258
LTGES1369,2.234
TR_24f95bfa,2.218
LTGES0668,1.972
TR_2ba8192a,1.553
LTGES0290,1.544
LTGES0645,1.517
TR_14c8e677,1.481
LTGES0193,1.452
LTGES0304,1.447
LTGES1190,1.442
LTGES0617,1.414
LTGES1342,1.375
LTGES0017,1.37
TR_65a15878,1.342
LTGES0862a,1.32
LTGES0862b,1.32
LTGES0460,1.31
LTGES0172,1.3
LTGES1023,1.256
LTGES0134,1.231
TR_871b5827,1.224
LTGES0024,1.205
TR_df0161bf,1.164
LTGES0807,1.142
LTGES0967,1.133
LTGES0804,1.116
LTGES0808,1.109
LTGES1328,1.102
LTGES1000,1.102
LTGES1340,1.099
LTGES0666,1.092
TR_b592de8e,1.087
LTGES0809,1.075
LTGES0348,1.075
LTGES1186,1.073
LTGES1374,1.063
LTGES0815,1.052
LTGES0814,1.051
TR_ad3ea85c,1.049
LTGES1133,1.049
LTGES0497,1.044
LTGES0333,1.032
LTGES0829,1.015
LTGES0790,1.008
TR_4cb0b32d,1.001
TR_59f3a3c3,0.972
TR_5b9e4f80,0.955
TR_a4e0ba25,0.955
LTGES0313,0.929
LTGES0441,0.926
LTGES0813,0.924
LTGES0315,0.922
LTGES0109,0.919
LTGES0426,0.917
LTGES0314,0.914
LTGES0779,0.914
TR_65fab876,0.902
TR_cdc06a8b,0.9
TR_10cbc112,0.895
LTGES0964,0.892
LTGES0965,0.888
LTGES1416,0.886
TR_cc6607e7,0.886
LTGES1126,0.872
LTGES0970,0.857
LTGES1170,0.857
LTGES0969,0.857
LTGES0070,0.854
LTGES0993,0.852
TR_519b8abe,0.845
LTGES1134,0.842
LTGES0542a,0.83
LTGES0542b,0.83
LTGES0343,0.828
TR_023fe59e,0.828
LTGES0992,0.828
LTGES0996,0.828
TR_1567d725,0.826
LTGES1110,0.816
