date,hour,branch_id,branch_name,from_bus,to_bus,flow_mw,flow_mvar,limit_mw,loading_pct
2024-07-08,0,306,LTGES0220a,156,14,185.06,-90.77,1429.98,14.4
2024-07-08,0,1886,LTGES1236b,679,648,50.09,-2.07,393.24,12.7
2024-07-08,0,1,LTGES0001a,1,2,-7.65,-10.2,393.24,3.2
2024-07-08,0,519,LTGES0361a,806,511,-16.96,-0.59,393.24,4.3
2024-07-08,0,2243,TR_71979234,1103,1104,-106.97,6.51,240.0,44.7
2024-07-08,0,788,LTGES0543b,865,436,-127.72,-4.37,393.24,32.5
2024-07-08,0,1164,LTGES0766b,22,992,29.81,-0.36,393.24,7.6
2024-07-08,0,774,LTGES0535,424,430,-58.07,-2.02,393.24,14.8
2024-07-08,0,1881,LTGES1234a,448,621,-26.19,2.24,393.24,6.7
2024-07-08,0,1907,LTGES1249b,447,1148,134.78,30.74,1429.98,9.7
2024-07-08,0,599,LTGES0415,1064,350,-288.95,-3.08,1429.98,20.2
2024-07-08,0,2057,LTGES1360a,667,57,-7.27,-5.46,393.24,2.3
2024-07-08,0,491,LTGES0340,313,303,-51.09,4.71,393.24,13.0
2024-07-08,0,1470,LTGES0964,582,575,-32.65,5.01,393.24,8.4
2024-07-08,0,1195,LTGES0784,952,1118,-234.12,-43.73,1429.98,16.7
2024-07-08,0,1377,LTGES0905b,771,567,33.8,7.64,1429.98,2.4
2024-07-08,0,228,LTGES0163b,675,198,-4.38,-0.47,393.24,1.1
2024-07-08,0,332,LTGES0231b,254,114,21.0,-21.76,393.24,7.7
2024-07-08,0,190,LTGES0139a,173,130,-68.57,-7.03,1429.98,4.8
2024-07-08,0,227,LTGES0163a,675,198,-4.38,-0.47,393.24,1.1
2024-07-08,0,980,LTGES0654a,677,142,3.17,0.26,393.24,0.8
2024-07-08,0,1935,LTGES1267a,416,1067,-6.88,-1.54,393.24,1.8
2024-07-08,0,1894,LTGES1242,494,191,41.86,-18.96,1429.98,3.2
2024-07-08,0,1305,LTGES0859b,557,451,-98.28,29.24,393.24,26.1
2024-07-08,0,1880,LTGES1233b,647,80,-11.62,-6.06,1429.98,0.9
2024-07-08,0,297,LTGES0214,237,749,108.99,-11.63,1429.98,7.7
2024-07-08,0,605,LTGES0421a,353,829,2.34,-0.08,393.24,0.6
2024-07-08,0,2078,LTGES1376,904,477,15.51,-4.84,1429.98,1.1
2024-07-08,0,1106,LTGES0730b,365,508,-50.04,-3.15,393.24,12.7
2024-07-08,0,24,LTGES0015a,13,24,100.38,7.59,393.24,25.6
2024-07-08,0,1783,LTGES1175a,909,485,79.38,4.54,393.24,20.2
2024-07-08,0,928,LTGES0624a,14,683,-94.89,13.1,1429.98,6.7
2024-07-08,0,416,LTGES0286b,153,159,-68.4,9.19,393.24,17.5
2024-07-08,0,859,LTGES0583a,882,452,165.4,-45.37,393.24,43.6
