date,hour,fuel,dispatch_mw,capacity_mw,utilization_pct
2024-07-08,0,Hydro,9400.0,20504.6,45.8
2024-07-08,0,Nuclear,7079.0,7408.0,95.6
2024-07-08,0,Wind,5385.4,30433.9,17.7
2024-07-08,0,CrossBorder,1623.5,1623.5,100.0
2024-07-08,0,Solar,638.0,33185.9,1.9
2024-07-08,0,Gas,87.5,27986.0,0.3
2024-07-08,0,Biomass,0.0,493.0,0.0
2024-07-08,0,Coal,0.0,2900.0,0.0
2024-07-08,0,Slack,-0.0,999900.0,-0.0
2024-07-08,0,Oil,-0.0,226.0,-0.0
2024-07-08,0,LoadShed,-0.0,23938.6,-0.0
2024-07-08,1,Hydro,8959.1,20504.6,43.7
2024-07-08,1,Nuclear,5941.2,7408.0,80.2
2024-07-08,1,Wind,5871.4,30433.9,19.3
2024-07-08,1,CrossBorder,1666.3,1666.3,100.0
2024-07-08,1,Solar,839.3,33185.9,2.5
2024-07-08,1,Gas,73.1,27986.0,0.3
2024-07-08,1,Biomass,0.0,493.0,0.0
2024-07-08,1,Coal,0.0,2900.0,0.0
2024-07-08,1,Slack,-0.0,999900.0,-0.0
2024-07-08,1,Oil,-0.0,226.0,-0.0
2024-07-08,1,LoadShed,-0.0,23117.2,-0.0
2024-07-08,2,Hydro,8844.6,20504.6,43.1
2024-07-08,2,Wind,5875.9,30433.9,19.3
2024-07-08,2,Nuclear,5196.3,7408.0,70.1
2024-07-08,2,CrossBorder,1366.8,1366.8,100.0
2024-07-08,2,Solar,730.1,33185.9,2.2
2024-07-08,2,Gas,54.7,27986.0,0.2
2024-07-08,2,Biomass,0.0,493.0,0.0
2024-07-08,2,Coal,0.0,2900.0,0.0
2024-07-08,2,Slack,-0.0,999900.0,-0.0
2024-07-08,2,Oil,-0.0,226.0,-0.0
2024-07-08,2,LoadShed,-0.0,21866.0,-0.0
2024-07-08,3,Hydro,8844.6,20504.6,43.1
2024-07-08,3,Wind,5603.6,30433.9,18.4
2024-07-08,3,Nuclear,4761.1,7408.0,64.3
2024-07-08,3,CrossBorder,1545.8,1545.8,100.0
2024-07-08,3,Solar,873.6,33185.9,2.6
2024-07-08,3,Gas,47.6,27986.0,0.2
2024-07-08,3,Biomass,0.0,493.0,0.0
2024-07-08,3,Coal,0.0,2900.0,0.0
2024-07-08,3,Slack,-0.0,999900.0,-0.0
2024-07-08,3,Oil,-0.0,226.0,-0.0
2024-07-08,3,LoadShed,-0.0,21485.4,-0.0
2024-07-08,4,Hydro,8844.6,20504.6,43.1
2024-07-08,4,Wind,5214.5,30433.9,17.1
2024-07-08,4,Nuclear,4857.3,7408.0,65.6
2024-07-08,4,CrossBorder,1607.3,1607.3,100.0
2024-07-08,4,Solar,953.4,33185.9,2.9
2024-07-08,4,Gas,44.4,27986.0,0.2
2024-07-08,4,Biomass,0.0,493.0,0.0
2024-07-08,4,Coal,0.0,2900.0,0.0
2024-07-08,4,Slack,-0.0,999900.0,-0.0
2024-07-08,4,Oil,-0.0,226.0,-0.0
2024-07-08,4,LoadShed,-0.0,21323.9,-0.0
2024-07-08,5,Hydro,8844.6,20504.6,43.1
2024-07-08,5,Nuclear,5389.1,7408.0,72.7
2024-07-08,5,Wind,4437.4,30433.9,14.6
2024-07-08,5,CrossBorder,1662.5,1662.5,100.0
2024-07-08,5,Solar,1277.6,33185.9,3.8
2024-07-08,5,Gas,43.4,27986.0,0.2
2024-07-08,5,Biomass,0.0,493.0,0.0
2024-07-08,5,Coal,0.0,2900.0,0.0
2024-07-08,5,Slack,-0.0,999900.0,-0.0
2024-07-08,5,Oil,-0.0,226.0,-0.0
2024-07-08,5,LoadShed,-0.0,21426.9,-0.0
2024-07-08,6,Hydro,8989.5,20504.6,43.8
2024-07-08,6,Nuclear,7408.0,7408.0,100.0
2024-07-08,6,Wind,4904.5,30433.9,16.1
2024-07-08,6,CrossBorder,1654.2,1654.2,100.0
2024-07-08,6,Solar,741.1,33185.9,2.2
2024-07-08,6,Gas,79.1,27986.0,0.3
2024-07-08,6,Biomass,0.0,493.0,0.0
2024-07-08,6,Coal,0.0,2900.0,0.0
2024-07-08,6,Slack,-0.0,999900.0,-0.0
2024-07-08,6,Oil,-0.0,226.0,-0.0
2024-07-08,6,LoadShed,-0.0,23456.9,-0.0
2024-07-08,7,Hydro,9822.9,20504.6,47.9
2024-07-08,7,Nuclear,7408.0,7408.0,100.0
2024-07-08,7,Wind,4981.4,30433.9,16.4
2024-07-08,7,Solar,2242.3,33185.9,6.8
2024-07-08,7,CrossBorder,1813.0,1813.0,100.0
2024-07-08,7,Gas,107.1,27986.0,0.4
2024-07-08,7,Biomass,0.0,493.0,0.0
2024-07-08,7,Coal,0.0,2900.0,0.0
2024-07-08,7,Slack,-0.0,999900.0,-0.0
2024-07-08,7,Oil,-0.0,226.0,-0.0
2024-07-08,7,LoadShed,-0.0,26066.8,-0.0
2024-07-08,8,Hydro,8844.6,20504.6,43.1
2024-07-08,8,Solar,7924.6,33185.9,23.9
2024-07-08,8,Nuclear,6228.5,7408.0,84.1
2024-07-08,8,Wind,4277.8,30433.9,14.1
2024-07-08,8,CrossBorder,1466.3,1466.2,100.0
2024-07-08,8,Gas,95.7,27986.0,0.3
2024-07-08,8,Biomass,0.0,493.0,0.0
2024-07-08,8,Coal,0.0,2900.0,0.0
2024-07-08,8,Slack,-0.0,999900.0,-0.0
2024-07-08,8,Oil,-0.0,226.0,-0.0
2024-07-08,8,LoadShed,-0.0,28369.8,-0.0
2024-07-08,9,Solar,15158.8,33185.9,45.7
2024-07-08,9,Hydro,8918.0,20504.6,43.5
2024-07-08,9,Wind,4115.8,30433.9,13.5
2024-07-08,9,Nuclear,2152.4,7408.0,29.1
2024-07-08,9,CrossBorder,1644.5,1644.5,100.0
2024-07-08,9,Gas,82.6,27986.0,0.3
2024-07-08,9,Biomass,0.0,493.0,0.0
2024-07-08,9,Coal,0.0,2900.0,0.0
2024-07-08,9,Slack,-0.0,999900.0,-0.0
2024-07-08,9,Oil,-0.0,226.0,-0.0
2024-07-08,9,LoadShed,-0.0,31386.5,-0.0
2024-07-08,10,Solar,19595.4,33185.9,59.0
2024-07-08,10,Hydro,9196.9,20504.6,44.9
2024-07-08,10,Wind,3162.3,30433.9,10.4
2024-07-08,10,CrossBorder,1486.2,1486.2,100.0
2024-07-08,10,Gas,1099.8,27986.0,3.9
2024-07-08,10,Nuclear,1019.7,7408.0,13.8
2024-07-08,10,Biomass,0.0,493.0,0.0
2024-07-08,10,Coal,0.0,2900.0,0.0
2024-07-08,10,Slack,-0.0,999900.0,-0.0
2024-07-08,10,Oil,-0.0,226.0,-0.0
2024-07-08,10,LoadShed,-0.0,34258.6,-0.0
2024-07-08,11,Solar,20761.8,33185.9,62.6
2024-07-08,11,Hydro,9509.3,20504.6,46.4
2024-07-08,11,Wind,3092.9,30433.9,10.2
2024-07-08,11,CrossBorder,1834.2,1834.2,100.0
2024-07-08,11,Gas,1436.2,27986.0,5.1
2024-07-08,11,Nuclear,1379.4,7408.0,18.6
