date,hour,gen_id,unit_name,fuel,technology,bus_i,capacity_mw,dispatch_mw,dispatch_mvar,utilization_pct,cost_eur_per_mwh
2024-12-02,0,1,G0001,Solar,PV,7,161.0,6.79,-0.05,100.0,0.0
2024-12-02,0,519,G0212,Solar,PV,301,9.0,0.38,-0.38,100.0,0.0
2024-12-02,0,788,G0836,Solar,PV,1141,33.6,1.42,-1.42,100.0,0.0
2024-12-02,0,774,G0813,Solar,PV,1121,16.3,0.69,0.0,100.0,0.0
2024-12-02,0,599,G0384,Solar,PV,481,198.3,8.36,-8.36,100.0,0.0
2024-12-02,0,491,G0131,Solar,PV,196,103.6,4.37,-4.37,100.0,0.0
2024-12-02,0,228,G0356,Wind,Onshore,458,180.0,25.1,-13.87,100.0,0.18
2024-12-02,0,332,G0660,Wind,Onshore,885,18.0,2.51,-2.51,100.0,0.18
2024-12-02,0,190,G0181,Wind,Onshore,275,84.0,11.71,-11.71,100.0,0.18
2024-12-02,0,227,G0354,Wind,Onshore,457,100.0,13.94,-13.94,100.0,0.18
2024-12-02,0,297,G0549,Wind,Onshore,703,40.0,5.58,-5.58,100.0,0.18
2024-12-02,0,605,G0399,Solar,PV,495,115.0,4.85,-4.85,100.0,0.0
2024-12-02,0,24,G0006,Gas,Combined_cycle,7,823.0,0.0,-498.81,0.0,93.16
2024-12-02,0,928,G0240,Solar,Solar Thermal,330,50.0,2.11,-2.11,100.0,0.0
2024-12-02,0,416,G0893,Wind,Onshore,1200,40.0,5.58,-5.58,100.0,0.18
2024-12-02,0,859,G0437,Hydro,reservoir,542,478.0,0.0,-478.0,0.0,0.0
2024-12-02,0,23,G0005,Gas,Combined_cycle,7,373.0,0.0,-138.64,0.0,93.16
2024-12-02,0,160,G0060,Wind,Onshore,107,290.0,40.44,-40.44,100.0,0.18
2024-12-02,0,204,G0230,Wind,Onshore,320,139.4,19.44,-4.81,100.0,0.18
2024-12-02,0,561,G0311,Solar,PV,392,9.8,0.41,-0.41,100.0,0.0
2024-12-02,0,891,G0946,Hydro,run_of_river,635,0.05,0.05,-0.05,100.0,0.0
2024-12-02,0,815,G0889,Solar,PV,1197,321.1,13.53,-5.59,100.0,0.0
2024-12-02,0,253,G0438,Wind,Onshore,544,270.0,37.65,-37.65,100.0,0.18
2024-12-02,0,916,G0971,Hydro,run_of_river,776,9.6,9.6,-9.6,100.0,0.0
2024-12-02,0,39,G0114,Gas,Combined_cycle,187,393.0,0.0,-11.42,0.0,93.16
2024-12-02,0,843,G0156,Hydro,reservoir,239,185.0,0.0,3.53,0.0,0.0
2024-12-02,0,112,G0818,Gas,Combined_cycle,1124,95.0,0.0,-38.07,0.0,93.16
2024-12-02,0,791,G0841,Solar,PV,1146,4.7,0.2,-0.2,100.0,0.0
2024-12-02,0,372,G0765,Wind,Onshore,1045,122.0,17.01,-0.08,100.0,0.18
2024-12-02,0,34,G0088,Gas,Combined_cycle,150,418.0,0.0,-42.74,0.0,93.16
2024-12-02,0,137,G0092,Nuclear,Nuclear,155,1044.0,1044.0,-593.16,100.0,15.38
2024-12-02,0,590,G0363,Solar,PV,463,111.0,4.68,-4.68,100.0,0.0
2024-12-02,0,55,G0255,Gas,Combined_cycle,344,418.0,0.0,-22.22,0.0,93.16
2024-12-02,0,323,G0638,Wind,Onshore,844,20.0,2.79,0.02,100.0,0.18
2024-12-02,0,17,G0109,Coal,Coal,184,589.0,0.0,-53.19,0.0,94.01
2024-12-02,0,243,G0411,Wind,Onshore,516,92.0,12.83,-12.83,100.0,0.18
2024-12-02,0,172,G0105,Wind,Onshore,179,442.0,61.63,-58.47,100.0,0.18
2024-12-02,0,333,G0661,Wind,Onshore,886,75.0,10.46,-10.46,100.0,0.18
2024-12-02,0,363,G0747,Wind,Onshore,1019,26.0,3.63,-3.62,100.0,0.18
2024-12-02,0,550,G0291,Solar,PV,374,32.6,1.37,-1.35,100.0,0.0
2024-12-02,0,341,G0684,Wind,Onshore,906,49.0,6.83,-6.83,100.0,0.18
2024-12-02,0,664,G0553,Solar,PV,706,94.2,3.97,-3.97,100.0,0.0
2024-12-02,0,912,G0967,Hydro,run_of_river,212,1.1,1.1,-1.1,100.0,0.0
2024-12-02,0,598,G0382,Solar,PV,478,152.6,6.43,-6.43,100.0,0.0
2024-12-02,0,643,G0500,Solar,PV,646,66.0,2.78,-2.78,100.0,0.0
2024-12-02,0,14,G0040,Coal,Coal,72,369.0,0.0,-76.37,0.0,94.01
2024-12-02,0,167,G0089,Wind,Onshore,152,18.0,2.51,-2.51,100.0,0.18
2024-12-02,0,613,G0414,Solar,PV,519,24.7,1.04,-0.41,100.0,0.0
2024-12-02,0,96,G0565,Gas,Combined_cycle,728,25.0,25.0,-18.76,100.0,93.16
2024-12-02,0,456,G0034,Solar,PV,62,13.3,0.56,-0.56,100.0,0.0
2024-12-02,0,510,G0182,Solar,PV,277,2.9,0.12,-0.12,100.0,0.0
2024-12-02,0,257,G0449,Wind,Onshore,555,282.0,39.32,-39.32,100.0,0.18
2024-12-02,0,19,G0206,Coal,Coal,288,130.0,0.0,2.86,0.0,94.01
2024-12-02,0,673,G0571,Solar,PV,738,2.7,0.11,-0.11,100.0,0.0
2024-12-02,0,925,G0129,Solar,Solar Thermal,194,50.0,2.11,-2.11,100.0,0.0
2024-12-02,0,197,G0216,Wind,Onshore,304,11.0,1.53,1.53,100.0,0.18
2024-12-02,0,401,G0848,Wind,Onshore,1152,128.0,17.85,-2.9,100.0,0.18
2024-12-02,0,276,G0490,Wind,Onshore,634,171.0,23.84,-2.03,100.0,0.18
2024-12-02,0,778,G0821,Solar,PV,1127,5.5,0.23,-0.23,100.0,0.0
2024-12-02,0,21,G0742,Coal,Coal,999,50.0,0.0,-1.08,0.0,94.01
2024-12-02,0,244,G0415,Wind,Onshore,519,158.0,22.03,-20.95,100.0,0.18
2024-12-02,0,83,G0413,Gas,Combined_cycle,518,431.0,0.0,27.38,0.0,93.16
2024-12-02,0,582,G0347,Solar,PV,449,12.8,0.54,-0.54,100.0,0.0
2024-12-02,0,868,G0709,Hydro,reservoir,953,133.0,0.0,-12.52,0.0,0.0
2024-12-02,0,558,G0305,Solar,PV,388,1401.0,59.05,-0.72,100.0,0.0
2024-12-02,0,871,G0912,Hydro,reservoir,1220,127.0,0.0,5.69,0.0,0.0
2024-12-02,0,545,G0275,Solar,PV,359,630.1,26.56,-26.56,100.0,0.0
2024-12-02,0,3,G0190,Biomass,Biomass,284,38.0,38.0,0.14,100.0,85.42
2024-12-02,0,81,G0408,Gas,Combined_cycle,515,26.0,0.0,-26.0,0.0,93.16
2024-12-02,0,964,G0858,Solar,Solar Thermal,1161,50.0,2.11,-2.11,100.0,0.0
2024-12-02,0,751,G0757,Solar,PV,1035,1.1,0.05,0.0,100.0,0.0
2024-12-02,0,303,G0566,Wind,Onshore,731,171.0,23.84,5.71,100.0,0.18
2024-12-02,0,704,G0634,Solar,PV,840,18.6,0.78,-0.78,100.0,0.0
2024-12-02,0,117,G0117,Gas,Gas_turbine,187,41.0,-0.0,-0.06,-0.0,124.87
2024-12-02,0,499,G0149,Solar,PV,228,4.1,0.17,-0.17,100.0,0.0
2024-12-02,0,852,G0233,Hydro,reservoir,323,381.0,0.0,-85.96,0.0,0.0
2024-12-02,0,182,G0148,Wind,Onshore,227,29.0,4.04,-4.04,100.0,0.18
2024-12-02,0,176,G0124,Wind,Onshore,192,15.0,2.09,-2.09,100.0,0.18
2024-12-02,0,894,G0949,Hydro,run_of_river,211,0.45,0.45,-0.45,100.0,0.0
2024-12-02,0,554,G0298,Solar,PV,383,55.5,2.34,-2.34,100.0,0.0
2024-12-02,0,623,G0433,Solar,PV,535,44.3,1.87,1.04,100.0,0.0
2024-12-02,0,249,G0429,Wind,Onshore,533,30.0,4.18,-4.18,100.0,0.18
2024-12-02,0,485,G0106,Solar,PV,184,14.7,0.62,-0.0,100.0,0.0
