date,hour,load_mw,solar_mw,wind_mw
2024-07-08,0,24216.837923858264,727.4837114946255,5592.558164797487
2024-07-08,1,23100.16651696357,863.8457107306072,5656.736320183578
2024-07-08,2,21918.61983579676,783.9828471723353,5646.299133227803
2024-07-08,3,21650.154979005616,936.7272660225268,5636.25083778984
2024-07-08,4,21582.059531199546,849.4969268994741,5498.4443185915425
2024-07-08,5,21936.5824593171,874.9050881962935,5317.984264713641
2024-07-08,6,23943.58010609144,768.6893923659708,5172.609975261912
2024-07-08,7,26246.845666093657,2369.1433534894354,4779.38269461873
2024-07-08,8,28510.60484474602,7971.176956703338,4369.893581585565
2024-07-08,9,31716.073072299707,15541.006048407666,4096.456586282076
2024-07-08,10,34340.73355433186,19903.078688230762,3757.5000607134307
2024-07-08,11,36818.49444720072,20984.09110673296,3997.816278617186
2024-07-08,12,37869.25150524895,21717.19783568801,4425.014211071705
2024-07-08,13,37924.799999999996,21615.2,5295.0
2024-07-08,14,38682.9,21646.9,6055.1
2024-07-08,15,39077.4,21488.5,6604.9
2024-07-08,16,38880.8,20925.5,6974.9
2024-07-08,17,37869.6,19606.0,7229.8
2024-07-08,18,36428.8,17556.8,7763.9
2024-07-08,19,34303.9,13960.3,8235.3
2024-07-08,20,32625.2,7123.6,8726.0
2024-07-08,21,30800.5,1906.5,8771.8
2024-07-08,22,30077.2,940.6,8758.2
2024-07-08,23,28646.6,916.3,8532.0
2024-12-02,0,23057.673671005145,0.0,3931.8105936563175
2024-12-02,1,21941.724301654736,0.0,3940.692393614945
2024-12-02,2,21585.41866986872,0.0,3910.796493297199
2024-12-02,3,21303.10240560884,0.0,3896.7962987618903
2024-12-02,4,21356.764171563027,0.0,3956.579867791632
2024-12-02,5,22051.0390242071,0.0,4148.535291055921
2024-12-02,6,24711.56257771769,0.0,4135.166287478691
2024-12-02,7,28287.089146219947,0.0,3669.360703433141
2024-12-02,8,30040.318416110247,1300.723236488363,3420.8794593169464
2024-12-02,9,31696.84488331686,4859.938698221835,3312.454952638362
2024-12-02,10,32340.013212179983,9145.253894321891,2857.519706263523
2024-12-02,11,32331.374512881906,11497.997264277437,2525.986876985496
2024-12-02,12,32791.139229206114,12211.238773487546,2546.6591278577857
2024-12-02,13,32999.6,12303.5,2951.0
2024-12-02,14,32884.5,11737.8,3453.7
2024-12-02,15,32437.8,10105.5,3909.6
2024-12-02,16,31584.0,6139.299999999999,4498.1
2024-12-02,17,32049.399999999998,1891.2,5584.9
2024-12-02,18,33100.2,0.0,6358.6
2024-12-02,19,33648.00000000001,0.0,6926.0
2024-12-02,20,33865.600000000006,0.0,7265.0
2024-12-02,21,33389.2,0.0,7342.0
2024-12-02,22,30677.100000000002,0.0,7184.9
2024-12-02,23,27663.899999999998,0.0,7018.1
