date,hour,status,objective_eur_h,total_gen_mw,total_load_mw,load_shed_mw,mismatch_mw
2024-07-08,0,OPTIMAL,142806.26,24201.3,24201.3,0.0,-0.0
2024-07-08,1,OPTIMAL,103545.43,22968.0,22968.0,0.0,0.0
2024-07-08,2,OPTIMAL,101995.3,21709.1,21709.1,0.0,0.0
2024-07-08,3,OPTIMAL,102364.94,21286.1,21286.1,0.0,0.0
2024-07-08,4,OPTIMAL,102180.21,20944.2,20944.2,0.0,-0.0
2024-07-08,5,OPTIMAL,103189.81,21322.1,21322.1,0.0,0.0
2024-07-08,6,OPTIMAL,148313.0,23742.8,23742.8,0.0,-0.0
2024-07-08,7,OPTIMAL,181152.15,26051.5,26051.5,0.0,0.0
2024-07-08,8,OPTIMAL,106607.12,28204.6,28204.6,0.0,0.0
2024-07-08,9,OPTIMAL,98661.26,31643.4,31643.4,0.0,0.0
2024-07-08,10,OPTIMAL,98587.93,34232.7,34232.7,0.0,0.0
2024-07-08,11,OPTIMAL,101462.4,36448.1,36448.1,0.0,0.0
2024-07-08,12,OPTIMAL,151644.34,37981.4,37981.4,0.0,0.0
2024-07-08,13,OPTIMAL,153719.27,38583.2,38583.2,0.0,0.0
2024-07-08,14,OPTIMAL,174747.72,38986.6,38986.6,0.0,0.0
2024-07-08,15,OPTIMAL,187403.79,39221.7,39221.7,0.0,0.0
2024-07-08,16,OPTIMAL,183623.47,38993.6,38993.6,0.0,0.0
2024-07-08,17,OPTIMAL,161142.66,38058.0,38058.0,0.0,0.0
2024-07-08,18,OPTIMAL,140331.17,36983.2,36983.2,0.0,-0.0
2024-07-08,19,OPTIMAL,109219.06,34788.0,34788.0,0.0,0.0
2024-07-08,20,OPTIMAL,132073.24,33047.4,33047.4,0.0,0.0
2024-07-08,21,OPTIMAL,270856.0,31114.2,31114.2,0.0,-0.0
2024-07-08,22,OPTIMAL,248664.67,30278.0,30278.0,0.0,-0.0
2024-07-08,23,OPTIMAL,153670.74,28947.7,28947.6,0.0,0.0
2024-12-02,0,OPTIMAL,203716.32,23255.6,23255.6,0.0,0.0
2024-12-02,1,OPTIMAL,170714.15,22240.0,22240.0,0.0,0.0
2024-12-02,2,OPTIMAL,159019.21,21877.7,21877.7,0.0,0.0
2024-12-02,3,OPTIMAL,126085.06,21291.3,21291.3,0.0,-0.0
2024-12-02,4,OPTIMAL,123923.54,21118.3,21118.3,0.0,-0.0
2024-12-02,5,INFEASIBLE,NaN,NaN,21222.045519864583,NaN,NaN
2024-12-02,6,OPTIMAL,184176.93,23298.9,23298.9,0.0,0.0
2024-12-02,7,OPTIMAL,571386.13,27746.9,27746.9,0.0,0.0
2024-12-02,8,OPTIMAL,706084.66,29895.1,29895.1,0.0,-0.0
2024-12-02,9,OPTIMAL,559112.81,31788.9,31788.9,0.0,0.0
2024-12-02,10,OPTIMAL,280223.44,32315.9,32315.9,0.0,0.0
2024-12-02,11,OPTIMAL,187223.76,32684.5,32684.5,0.0,0.0
2024-12-02,12,OPTIMAL,207354.76,32767.0,32767.0,0.0,0.0
2024-12-02,13,OPTIMAL,299729.35,33105.3,33105.3,0.0,0.0
2024-12-02,14,OPTIMAL,411722.69,33126.0,33126.0,0.0,0.0
2024-12-02,15,OPTIMAL,490988.35,31845.8,31845.8,0.0,-0.0
2024-12-02,16,OPTIMAL,714542.42,31246.9,31246.9,0.0,-0.0
2024-12-02,17,OPTIMAL,606758.71,31934.4,31934.4,0.0,0.0
2024-12-02,18,OPTIMAL,1.06550055e6,32832.7,32832.7,0.0,-0.0
2024-12-02,19,OPTIMAL,1.11825955e6,33621.8,33621.8,0.0,-0.0
2024-12-02,20,OPTIMAL,1.17734113e6,34438.8,34438.8,0.0,-0.0
2024-12-02,21,OPTIMAL,1.19235467e6,34124.4,34124.4,0.0,0.0
2024-12-02,22,OPTIMAL,926283.35,31541.3,31541.3,0.0,0.0
2024-12-02,23,OPTIMAL,544537.61,27614.7,27614.7,0.0,-0.0
